"groep_100","jaar","groep_titel","log_index","n_soorten","msi","msi_variant","periode","post_break","log_msi","gam_fit_log","gam_fit_se","gam_fit_msi","gam_fit_lower","gam_fit_upper"
100,1958,"Watervogels",4.60517018598809,9,100,"robuust","1958-1983","pre",4.60517018598809,5.0960906314928,0.118047074437359,163.381936975991,129.634423956375,205.914883680973
100,1959,"Watervogels",5.2171795188013,10,184.413315576709,"robuust","1958-1983","pre",5.2171795188013,5.10889621413501,0.11117913053047,165.487591162329,133.084613583628,205.779932715521
100,1960,"Watervogels",5.13992791135611,11,170.703462096669,"robuust","1958-1983","pre",5.13992791135611,5.12170175894145,0.104488225085596,167.620376520316,136.579223441208,205.716432682069
100,1961,"Watervogels",5.06153567687196,11,157.832710352813,"robuust","1958-1983","pre",5.06153567687196,5.13450721013756,0.098010611447504,169.780633081554,140.106999340721,205.738924573451
100,1962,"Watervogels",5.04611042803332,11,155.416782567664,"robuust","1958-1983","pre",5.04611042803332,5.147312498081,0.0917913940193065,171.968702505844,143.65310005473,205.865620931789
100,1963,"Watervogels",4.8169235019084,11,123.584298468369,"robuust","1958-1983","pre",4.8169235019084,5.16011754811171,0.0858865971438683,174.184929511306,147.198176411577,206.119331152748
100,1964,"Watervogels",5.19657139821431,12,180.651795782047,"robuust","1958-1983","pre",5.19657139821431,5.17292228831984,0.0803653671688627,176.429663227186,150.717340997224,206.528498051406
100,1965,"Watervogels",5.77015280025373,12,320.586714636369,"robuust","1958-1983","pre",5.77015280025373,5.18572665602428,0.0753118782831811,178.703258420292,154.179171062421,207.128202531978
100,1966,"Watervogels",5.72641750809906,13,306.867944886843,"robuust","1958-1983","pre",5.72641750809906,5.19853060278621,0.0708260755970029,181.006076547189,157.545057168874,207.960822991022
100,1967,"Watervogels",5.51507587148233,13,248.408823678188,"robuust","1958-1983","pre",5.51507587148233,5.21133409783911,0.0670218151846432,183.338486590553,160.769448222606,209.075797901433
100,1968,"Watervogels",5.44641860946219,13,231.926058954075,"robuust","1958-1983","pre",5.44641860946219,5.22413712989123,0.064020528762386,185.700865648615,163.801756289065,210.52772744261
100,1969,"Watervogels",5.00342558778607,13,148.922433191227,"robuust","1958-1983","pre",5.00342558778607,5.23693970734115,0.0619389340128807,188.093599260432,166.590615177071,212.372119792818
100,1970,"Watervogels",5.25364370310104,14,191.261901933256,"robuust","1958-1983","pre",5.25364370310104,5.24974185703316,0.0608714000968168,190.517081465621,169.090472656764,214.658802236935
100,1971,"Watervogels",5.20668406552784,14,182.487935780988,"robuust","1958-1983","pre",5.20668406552784,5.26254362175886,0.060871299874033,192.971714613721,171.269077775442,217.424436008137
100,1972,"Watervogels",5.04602229669107,14,155.403086081561,"robuust","1958-1983","pre",5.04602229669107,5.27534505677835,0.0619386717990175,195.457908954237,173.113121108585,220.68687762148
100,1973,"Watervogels",5.37243669513868,15,215.387061400302,"robuust","1958-1983","pre",5.37243669513868,5.28814622568193,0.064020202498188,197.976082052238,174.629507340429,224.443907914984
