"groep_100","groep_titel","n_jaren","deviance_explained","r_sq_adj","aic","edf_pre","p_pre","edf_post","p_post"
100,"Watervogels",68,0.645253025594217,0.609843816275446,-24.0434157115796,2.89424705126016,0,2.89424705126016,0
200,"Rietvogels",68,0.577193381830466,0.532784254960617,31.2316400802548,1.00013525229684,3.29429728768149e-06,1.00013525229684,3.29429728768149e-06
300,"Vogels van pionierbegroeiingen",68,0.768134747341056,0.745527218911016,52.6333261357331,1.00001681481833,8.80615506639315e-05,1.00001681481833,8.80615506639315e-05
400,"Vogels van open heide",68,0.650060240881027,0.612446880320235,79.8211192486297,1.00006430950224,0.0404436859200782,1.00006430950224,0.0404436859200782
500,"Weidevogels",68,0.800727236885756,0.779050953695874,17.4361212820503,1.00001465419824,0.206266876287109,1.00001465419824,0.206266876287109
600,"Struweelvogels",68,0.830759856279879,0.821196457409517,-40.2779328226108,1.58351707818448,0,1.58351707818448,0
700,"Bosrandvogels",68,0.826836843571741,0.815149365396506,-50.6758446820406,1.08940951116698,5.17757156981435e-06,1.08940951116698,5.17757156981435e-06
800,"Bosvogels",68,0.635565232945599,0.594580330054693,-83.9903138747945,2.02033451446407,4.47438045947379e-07,2.02033451446407,4.47438045947379e-07
900,"Vogels van bebouwing/overige",68,0.69595409248938,0.664545492027813,52.9332233697902,2.55867282882389,0.0412380561702113,2.55867282882389,0.0412380561702113
