"groep_100","groep_titel","eerste_jaar","laatste_jaar","gemiddeld_n_soorten","overall_trend_pct_per_jaar","overall_p","overall_r2","overall_uitleg","trend_pre_pct_per_jaar","trend_pre_p","trend_pre_r2","trend_pre_uitleg","trend_post_pct_per_jaar","trend_post_p","trend_post_r2","trend_post_uitleg"
100,"Watervogels",1958,2025,14.25,-0.274408886014943,0.140940493094796,0.0325508319646084,"stabiel",4.00518398547509,2.53088945402751e-07,0.67648297263656,"matige toename",-1.23357768843069,2.1462370628855e-05,0.366712233664065,"lichte afname"
200,"Rietvogels",1958,2025,7.02941176470588,0.485237698369057,0.0581461219381837,0.0533235024413617,"stabiel",3.88954912361175,0.000135982183423533,0.461319294315581,"matige toename",-0.822827161035433,0.0925351749799425,0.0691219838532251,"stabiel"
300,"Vogels van pionierbegroeiingen",1958,2025,13.0441176470588,-2.20795276472097,4.17927425427007e-10,0.44876492804667,"matige afname",3.72025017268487,2.63585471328879e-07,0.675404863427253,"matige toename",-3.08778192007516,9.78157355307777e-06,0.390265140421239,"matige afname"
400,"Vogels van open heide",1958,2025,6.10294117647059,-1.77736467973365,1.55080267618259e-06,0.296957205041367,"lichte afname",2.24433021606802,0.00137053819553625,0.353074938556795,"matige toename",-1.35848968746654,0.0948023920403363,0.0682066050094431,"onzeker"
500,"Weidevogels",1958,2025,9.11764705882353,-1.9957732401826,1.46691845909586e-12,0.534374658303628,"lichte afname",0.860163220531507,0.0483718276873808,0.1527373475518,"lichte toename",-1.45508390960774,0.0087510531699083,0.159663334152856,"lichte afname"
600,"Struweelvogels",1958,2025,21.3676470588235,1.42954354959401,4.91039710868314e-11,0.482858825653222,"lichte toename",5.47870182787635,6.01874235909248e-12,0.865532805393177,"sterke toename",-0.109178544966548,0.62995209115041,0.00585886330303736,"stabiel"
700,"Bosrandvogels",1958,2025,18.3823529411765,1.58697869052977,2.77765617746712e-20,0.72713405415763,"lichte toename",3.79166261974528,4.6000416925177e-09,0.767242037096478,"matige toename",1.25031584835817,5.44083374271917e-07,0.470059626348546,"lichte toename"
800,"Bosvogels",1958,2025,25,0.390397627078864,0.000552078132057684,0.166503798124989,"lichte toename",2.3622161871107,1.3547570055984e-06,0.628946172004432,"matige toename",-0.0720681084846353,0.69728650492824,0.00382298707308446,"stabiel"
900,"Vogels van bebouwing/overige",1958,2025,7.41176470588235,-1.98356064437942,4.89234768784193e-11,0.482915661302591,"lichte afname",2.08446766360182,0.0418958528222935,0.161424183740065,"matige toename",-3.00388989232635,3.29938612797237e-08,0.53793353805341,"matige afname"
