"groep_100","jaar","groep_titel","log_index","n_soorten","msi","periode"
200,1964,"Rietvogels",5.75530099360241,5,315.860605239035,"1958-1983"
200,1965,"Rietvogels",6.26952149092759,5,528.22455715114,"1958-1983"
200,1966,"Rietvogels",5.90717766467581,6,367.667010100736,"1958-1983"
200,1967,"Rietvogels",5.83993000409051,6,343.755278359495,"1958-1983"
200,1968,"Rietvogels",6.06912665413064,5,432.302966650364,"1958-1983"
200,1969,"Rietvogels",5.9848833802161,5,397.376176623211,"1958-1983"
200,1970,"Rietvogels",5.70813086091551,6,301.30735626279,"1958-1983"
200,1971,"Rietvogels",5.77304924104946,6,321.516621134661,"1958-1983"
200,1972,"Rietvogels",5.93149933529038,6,376.718918572199,"1958-1983"
200,1973,"Rietvogels",5.92233809211127,6,373.283465487192,"1958-1983"
200,1974,"Rietvogels",5.81750779358083,6,336.133295328479,"1958-1983"
200,1975,"Rietvogels",6.19844248285313,6,491.982173372487,"1958-1983"
200,1976,"Rietvogels",6.0990486635071,6,445.433811011038,"1958-1983"
200,1977,"Rietvogels",5.63724297867548,6,280.687788498485,"1958-1983"
200,1978,"Rietvogels",6.31431310237638,5,552.422472553803,"1958-1983"
200,1979,"Rietvogels",5.92379922429513,6,373.829280629248,"1958-1983"
200,1980,"Rietvogels",6.26431036132364,6,525.479070280795,"1958-1983"
200,1981,"Rietvogels",6.58935340493695,6,727.31044248578,"1958-1983"
200,1982,"Rietvogels",6.48866134640445,6,657.642418318882,"1958-1983"
200,1983,"Rietvogels",6.52193065351182,6,679.889750570757,"1958-1983"
200,1984,"Rietvogels",6.20175293958783,8,493.613557895745,"1984-2025"
200,1985,"Rietvogels",6.02801255528405,7,414.889639223842,"1984-2025"
200,1986,"Rietvogels",5.79046340900131,8,327.164600273117,"1984-2025"
200,1987,"Rietvogels",6.18053523627076,6,483.250540361907,"1984-2025"
200,1988,"Rietvogels",5.7804249028161,9,323.896785839262,"1984-2025"
200,1989,"Rietvogels",6.0132011729391,8,408.789834925861,"1984-2025"
200,1990,"Rietvogels",6.46776248019675,7,644.041058944326,"1984-2025"
200,1991,"Rietvogels",5.69803160870693,9,298.279691587985,"1984-2025"
200,1992,"Rietvogels",6.15922015725133,8,473.059019305,"1984-2025"
200,1993,"Rietvogels",6.72648020295014,7,834.205857095003,"1984-2025"
200,1994,"Rietvogels",6.0977736372932,10,444.866233140664,"1984-2025"
200,1995,"Rietvogels",6.77482554420099,8,875.526609016292,"1984-2025"
200,1996,"Rietvogels",6.04989498693467,9,424.068494973854,"1984-2025"
200,1997,"Rietvogels",6.50017196256347,8,665.256022339709,"1984-2025"
200,1998,"Rietvogels",6.86066019032205,7,953.996679011354,"1984-2025"
200,1999,"Rietvogels",6.77803358149137,7,878.339841090732,"1984-2025"
200,2000,"Rietvogels",6.45924716929285,8,638.580132832213,"1984-2025"
200,2001,"Rietvogels",6.44077952718878,8,626.895291314648,"1984-2025"
200,2002,"Rietvogels",6.71215785130251,7,822.343220669303,"1984-2025"
200,2003,"Rietvogels",6.74070912319209,7,846.160555226929,"1984-2025"
200,2004,"Rietvogels",6.7886732218328,7,887.734952773551,"1984-2025"
200,2005,"Rietvogels",6.57766998523751,7,718.862416349617,"1984-2025"
200,2006,"Rietvogels",6.03112589651968,9,416.183345074777,"1984-2025"
200,2007,"Rietvogels",6.09960603944491,8,445.682154303039,"1984-2025"
200,2008,"Rietvogels",5.75111020696617,9,314.539670646469,"1984-2025"
200,2009,"Rietvogels",5.69150708853829,9,296.339894727515,"1984-2025"
200,2010,"Rietvogels",5.87147297643594,9,354.77116515676,"1984-2025"
200,2011,"Rietvogels",5.7807140219937,9,323.990444150162,"1984-2025"
200,2012,"Rietvogels",5.64435558900779,8,282.691328114949,"1984-2025"
200,2013,"Rietvogels",5.32112804433221,10,204.614566159167,"1984-2025"
200,2014,"Rietvogels",5.86498296136457,8,352.47615034392,"1984-2025"
200,2015,"Rietvogels",5.59150798953821,9,268.139666800004,"1984-2025"
200,2016,"Rietvogels",5.88806992199505,8,360.70841670286,"1984-2025"
200,2017,"Rietvogels",5.83860031709887,8,343.29849519417,"1984-2025"
200,2018,"Rietvogels",5.82924012378574,8,340.100146845889,"1984-2025"
200,2019,"Rietvogels",6.21927500871103,8,502.338908637682,"1984-2025"
200,2020,"Rietvogels",6.1837685650248,8,484.815577004994,"1984-2025"
200,2021,"Rietvogels",6.19658059827846,8,491.067011580062,"1984-2025"
200,2022,"Rietvogels",6.10078826703037,8,446.209363619497,"1984-2025"
200,2023,"Rietvogels",6.26282382378461,8,524.698506229471,"1984-2025"
200,2024,"Rietvogels",5.9048561612493,9,366.81445985902,"1984-2025"
200,2025,"Rietvogels",6.06491488999749,9,430.486037445269,"1984-2025"
300,1958,"Vogels van pionierbegroeiingen",4.60517018598809,13,100,"1958-1983"
300,1959,"Vogels van pionierbegroeiingen",4.6484030329424,12,104.418100091207,"1958-1983"
300,1960,"Vogels van pionierbegroeiingen",4.62754592175882,14,102.262795019455,"1958-1983"
300,1961,"Vogels van pionierbegroeiingen",4.94307080861217,13,140.200116928487,"1958-1983"
300,1962,"Vogels van pionierbegroeiingen",4.63187781349354,12,102.706747258245,"1958-1983"
300,1963,"Vogels van pionierbegroeiingen",4.63914908805993,11,103.456277936667,"1958-1983"
300,1964,"Vogels van pionierbegroeiingen",4.50688109100848,12,90.6386833990929,"1958-1983"
300,1965,"Vogels van pionierbegroeiingen",4.60450344679772,12,99.9333483030815,"1958-1983"
300,1966,"Vogels van pionierbegroeiingen",4.73757490267108,13,114.157023830801,"1958-1983"
300,1967,"Vogels van pionierbegroeiingen",4.90044269079488,14,134.349241694919,"1958-1983"
300,1968,"Vogels van pionierbegroeiingen",5.03449480531183,15,153.621964004512,"1958-1983"
300,1969,"Vogels van pionierbegroeiingen",5.0294013802382,12,152.841491367954,"1958-1983"
