"groep_100","jaar","groep_titel","log_index","n_soorten","msi","periode","log_msi","gam_fit_log","gam_fit_se","gam_fit_msi","gam_fit_lower","gam_fit_upper"
100,1990,"Watervogels",4.60517018598809,28,100,"Landelijk",4.60517018598809,4.57653569592709,0.0385494059726035,97.177159173659,90.1052886293529,104.80406210015
100,1991,"Watervogels",4.56645764591058,28,96.2027213670753,"Landelijk",4.56645764591058,4.64296366363907,0.0293171893704392,103.851673381446,98.0523943936304,109.993948957837
100,1992,"Watervogels",4.73932645286134,29,114.357150802665,"Landelijk",4.73932645286134,4.70972078930224,0.0237189453171948,111.021157282977,105.97801389151,116.304287199319
100,1993,"Watervogels",4.74856459324962,29,115.418493082485,"Landelijk",4.74856459324962,4.7772321851183,0.022253298308778,118.775147048923,113.705948902851,124.070338382618
100,1994,"Watervogels",4.95339176732617,28,141.654609514681,"Landelijk",4.95339176732617,4.84592456983454,0.0226611613533273,127.220852196695,121.693877863717,132.998845281098
100,1995,"Watervogels",4.9988908879813,29,148.248643534044,"Landelijk",4.9988908879813,4.91607632982459,0.0227443052173306,136.466113331689,130.516217568698,142.687249406803
100,1996,"Watervogels",4.88039367737523,29,131.68249410161,"Landelijk",4.88039367737523,4.98765429229331,0.0221724577075434,146.592157526233,140.357996301124,153.103216165133
100,1997,"Watervogels",4.91796457438783,29,136.7240381642,"Landelijk",4.91796457438783,5.06015598223823,0.0216960502352201,157.615099562052,151.053144281145,164.462115159402
100,1998,"Watervogels",5.0733965050734,29,159.715882931198,"Landelijk",5.0733965050734,5.132499952096,0.0217935998452569,169.440181342055,162.354870224067,176.834701746893
100,1999,"Watervogels",5.23551919611291,29,187.826599873433,"Landelijk",5.23551919611291,5.20301531538108,0.0220961597325328,181.819659758255,174.11340543805,189.866992673175
100,2000,"Watervogels",5.36116449829784,29,212.972808577099,"Landelijk",5.36116449829784,5.26956864101316,0.0220549273488804,194.332117457751,186.110574457965,202.916851906997
100,2001,"Watervogels",5.41252092500368,29,224.19605733544,"Landelijk",5.41252092500368,5.32983355850504,0.0216818632121347,206.403617170566,197.815960615704,215.364084113804
100,2002,"Watervogels",5.38785183126632,29,218.733005103964,"Landelijk",5.38785183126632,5.38166519932216,0.0214593464645378,217.383961827277,208.4303390738,226.722208819087
100,2003,"Watervogels",5.41535417893563,29,224.832162394473,"Landelijk",5.41535417893563,5.42350219816798,0.0216583622705782,226.671582817591,217.250661303955,236.501035939984
100,2004,"Watervogels",5.45377678187428,29,233.638904862301,"Landelijk",5.45377678187428,5.45469775010769,0.0219733460877879,233.854177986408,223.996402571099,244.145780619579
100,2005,"Watervogels",5.44723391717209,29,232.115227162737,"Landelijk",5.44723391717209,5.47568763128295,0.0219718410304241,238.814626891706,228.7484259098,249.323796614512
100,2006,"Watervogels",5.49035063684057,29,242.342166053614,"Landelijk",5.49035063684057,5.48793814671299,0.0216645143239807,241.7582226326,231.707476430781,252.244938794341
100,2007,"Watervogels",5.49764589427466,29,244.116579072364,"Landelijk",5.49764589427466,5.49367231407231,0.0214740005812117,243.148486936363,233.126977499372,253.600794440883
100,2008,"Watervogels",5.51945757344742,29,249.499665235059,"Landelijk",5.51945757344742,5.4954327023415,0.0216645143239806,243.576899656163,233.450544604363,254.142504343507
100,2009,"Watervogels",5.51036463858039,29,247.241264336505,"Landelijk",5.51036463858039,5.49558618262109,0.0219718410304239,243.614286775843,233.345776824561,254.334668186102
100,2010,"Watervogels",5.48049252799683,29,239.964867688826,"Landelijk",5.48049252799683,5.49589455003629,0.0219733460877877,243.68942106765,233.417055593337,254.413859301469
100,2011,"Watervogels",5.44457659459998,29,231.499240929803,"Landelijk",5.44457659459998,5.49725872505929,0.021658362270578,244.022082942161,233.880040157547,254.603928250221
