"group_code","groep_titel","analysis_mode","msi_variant","weggelaten_soort_id","weggelaten_soort","baseline_trend_pct_per_jaar","loso_trend_pct_per_jaar","verschil_procentpunt","richtingsomslag"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",171,"Paapje",-1.57028361760247,-1.31245999895194,0.257823618650532,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",172,"Roodborsttapuit",-1.57028361760247,-1.65604947848059,-0.0857658608781176,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",173,"Tapuit",-1.57028361760247,-1.21448144534524,0.355802172257236,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",175,"Merel",-1.57028361760247,-1.62779066417897,-0.0575070465764993,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",176,"Kramsvogel",-1.57028361760247,-1.54991224778493,0.0203713698175401,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",177,"Zanglijster",-1.57028361760247,-1.69085128356097,-0.120567665958493,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",179,"Grote Lijster",-1.57028361760247,-1.53506573230361,0.035217885298866,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",180,"Cetti's Zanger",-1.57028361760247,-1.59973104936471,-0.0294474317622306,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",182,"Sprinkhaanrietzanger",-1.57028361760247,-1.61747377912077,-0.0471901615182957,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",184,"Snor",-1.57028361760247,-1.55204365187044,0.0182399657320365,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",189,"Grote Karekiet",-1.57028361760247,-1.56347023968733,0.00681337791514913,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",190,"Spotvogel",-1.57028361760247,-1.55894420573028,0.011339411872191,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",194,"Tuinfluiter",-1.57028361760247,-1.71603789385307,-0.145754276250598,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",195,"Zwartkop",-1.57028361760247,-1.71512615264247,-0.144842535039991,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",198,"Tjiftjaf",-1.57028361760247,-1.76553002303454,-0.19524640543207,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",200,"Fitis",-1.57028361760247,-1.60422691020593,-0.0339432926034555,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",207,"Staartmees",-1.57028361760247,-1.68707434860981,-0.116790731007332,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",219,"Grauwe Klauwier",-1.57028361760247,-1.52881493816714,0.0414686794353303,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",223,"Ekster",-1.57028361760247,-1.6058596947013,-0.03557607709882,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",224,"Kauw",-1.57028361760247,-1.60806616296905,-0.0377825453665714,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",231,"Huismus",-1.57028361760247,-1.56144765217947,0.00883596542300413,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",233,"Vink",-1.57028361760247,-1.72976805092154,-0.159484433319068,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",239,"Kneu",-1.57028361760247,-1.59159733433522,-0.0213137167327404,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",240,"Barmsijs",-1.57028361760247,-1.38239063516696,0.187892982435511,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",248,"Appelvink",-1.57028361760247,-1.64836614845015,-0.0780825308476785,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",249,"Geelgors",-1.57028361760247,-1.57196828260721,-0.00168466500473086,FALSE
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","binair","volledig",251,"Rietgors",-1.57028361760247,-1.58470082822332,-0.0144172106208429,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",1,"Dodaars",-1.24144621969833,-1.30705506530365,-0.065608845605325,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",2,"Fuut",-1.24144621969833,-1.32007526896114,-0.0786290492628128,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",4,"Geoorde Fuut",-1.24144621969833,-1.33021760509461,-0.0887713853962802,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",5,"Aalscholver",-1.24144621969833,-1.46933174131797,-0.227885521619642,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",7,"Roerdomp",-1.24144621969833,-1.30622480302923,-0.0647785833309045,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",17,"Knobbelzwaan",-1.24144621969833,-1.35000714781751,-0.108560928119183,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",21,"Grauwe Gans",-1.24144621969833,-1.36466553498469,-0.12321931528636,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",22,"Soepgans",-1.24144621969833,-1.21696788931113,0.0244783303872009,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",25,"Grote Canadese Gans",-1.24144621969833,-1.31406821322946,-0.0726219935311301,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",29,"Bergeend",-1.24144621969833,-1.11584680871215,0.125599410986177,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",34,"Krakeend",-1.24144621969833,-1.30694531553478,-0.0654990958364521,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",35,"Wintertaling",-1.24144621969833,-1.12920407832416,0.112242141374164,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",36,"Wilde Eend",-1.24144621969833,-1.23135746105383,0.0100887586444998,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",37,"Soepeend",-1.24144621969833,-1.25864135556654,-0.0171951358682088,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",39,"Zomertaling",-1.24144621969833,-1.33218615208707,-0.0907399323887392,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",40,"Slobeend",-1.24144621969833,-1.1357260047025,0.10572021499583,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",41,"Krooneend",-1.24144621969833,-1.368012395645,-0.126566175946674,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",42,"Tafeleend",-1.24144621969833,-1.28933874098639,-0.0478925212880621,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",44,"Kuifeend",-1.24144621969833,-1.18231448391549,0.0591317357828358,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",69,"Patrijs",-1.24144621969833,-1.45512834252068,-0.213682122822356,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",70,"Kwartel",-1.24144621969833,-1.22329599263008,0.0181502270682476,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",71,"Gewone Fazant",-1.24144621969833,-1.07515931769377,0.166286902004553,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",77,"Waterhoen",-1.24144621969833,-1.23039978929709,0.0110464304012403,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",78,"Meerkoet",-1.24144621969833,-1.26318451734531,-0.0217382976469782,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",80,"Scholekster",-1.24144621969833,-1.13831490881491,0.10313131088342,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",84,"Kleine Plevier",-1.24144621969833,-1.28007905483173,-0.0386328351334009,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",88,"Kievit",-1.24144621969833,-1.23022027167735,0.0112259480209764,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",93,"Watersnip",-1.24144621969833,-1.24421909830195,-0.00277287860361852,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",94,"Houtsnip",-1.24144621969833,-1.21177303587247,0.0296731838258624,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",97,"Wulp",-1.24144621969833,-0.896597656264864,0.344848563433464,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",98,"Tureluur",-1.24144621969833,-1.2797117980225,-0.0382655783241703,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",105,"Kokmeeuw",-1.24144621969833,-1.22438169300232,0.017064526696009,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",107,"Kleine Mantelmeeuw",-1.24144621969833,-0.887938590776183,0.353507628922145,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",108,"Zilvermeeuw",-1.24144621969833,-0.797472459163762,0.443973760534566,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",116,"Visdief",-1.24144621969833,-1.22259584563406,0.018850374064272,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",132,"Ransuil",-1.24144621969833,-1.17245260312785,0.0689936165704785,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",135,"Nachtzwaluw",-1.24144621969833,-1.195335940248,0.0461102794503288,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",147,"Kuifleeuwerik",-1.24144621969833,-1.26813460277364,-0.0266883830753128,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",148,"Boomleeuwerik",-1.24144621969833,-1.3631935019638,-0.121747282265472,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",150,"Veldleeuwerik",-1.24144621969833,-1.18091711365069,0.0605291060476354,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",155,"Boompieper",-1.24144621969833,-1.25916931960899,-0.0177230999106603,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",156,"Graspieper",-1.24144621969833,-1.3658386946187,-0.124392474920376,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",158,"Gele Kwikstaart",-1.24144621969833,-1.21317114337004,0.028275076328288,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",166,"Roodborst",-1.24144621969833,-1.30201871166832,-0.0605724919699901,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",167,"Nachtegaal",-1.24144621969833,-1.28577366960869,-0.0443274499103641,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",168,"Blauwborst",-1.24144621969833,-1.33370958640942,-0.0922633667110873,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",170,"Gekraagde Roodstaart",-1.24144621969833,-1.27849980784424,-0.0370535881459078,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",171,"Paapje",-1.24144621969833,-0.986030477527,0.255415742171328,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",172,"Roodborsttapuit",-1.24144621969833,-1.31385049573712,-0.0724042760387955,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",175,"Merel",-1.24144621969833,-1.28387700504938,-0.0424307853510553,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",182,"Sprinkhaanrietzanger",-1.24144621969833,-1.27873536112546,-0.0372891414271326,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",184,"Snor",-1.24144621969833,-1.22383068414735,0.0176155355509744,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",186,"Rietzanger",-1.24144621969833,-1.33731534589084,-0.095869126192516,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",197,"Fluiter",-1.24144621969833,-1.15898657316795,0.0824596465303751,FALSE
