"chart_id","chart_title","serie","jaar","fit_1990","lower_1990","upper_1990"
"100","Watervogels","landelijk",1990,100,92.7227029433239,107.848452240574
"100","Watervogels","landelijk",1991,106.868398155023,100.900659401256,113.189096998888
"100","Watervogels","landelijk",1992,114.246144080605,109.056505451166,119.682740459082
"100","Watervogels","landelijk",1993,122.225374829766,117.008924596833,127.674382990451
"100","Watervogels","landelijk",1994,130.916414184682,125.228890099829,136.862248713635
"100","Watervogels","landelijk",1995,140.430235347608,134.307504642589,146.832085461375
"100","Watervogels","landelijk",1996,150.850424907223,144.435171283716,157.550619370888
"100","Watervogels","landelijk",1997,162.19356575385,155.440996182249,169.239476187509
"100","Watervogels","landelijk",1998,174.36214721945,167.071019161955,181.971466598322
"100","Watervogels","landelijk",1999,187.101229655558,179.171120990379,195.382324702326
"100","Watervogels","landelijk",2000,199.97715421015,191.516788554581,208.811261445066
"100","Watervogels","landelijk",2001,212.399311654826,203.562197431806,221.620065810877
"100","Watervogels","landelijk",2002,223.698617736709,214.484906583169,233.308125846657
"100","Watervogels","landelijk",2003,233.256029240905,223.561445046691,243.37101223277
"100","Watervogels","landelijk",2004,240.647267295088,230.503139293061,251.237824500798
"100","Watervogels","landelijk",2005,245.751809295985,235.393201298485,256.566253566809
"100","Watervogels","landelijk",2006,248.780911778425,238.43820749762,259.572250248199
"100","Watervogels","landelijk",2007,250.21156103344,239.898942798653,260.967491329613
"100","Watervogels","landelijk",2008,250.652418456566,240.23190900979,261.524937037257
"100","Watervogels","landelijk",2009,250.69089161219,240.12409789379,261.722682931693
"100","Watervogels","landelijk",2010,250.768208434832,240.197447196632,261.804174422122
"100","Watervogels","landelijk",2011,251.110533603977,240.673880720875,261.999764569403
"100","Watervogels","landelijk",2012,251.723491116148,241.355489913589,262.536874559545
"100","Watervogels","landelijk",2013,252.442833948725,241.939663571163,263.40197167927
"100","Watervogels","landelijk",2014,253.024287854201,242.319675102603,264.20178310745
"100","Watervogels","landelijk",2015,253.247446420387,242.513792916398,264.456171119948
"100","Watervogels","landelijk",2016,253.003213989179,242.423630853905,264.044499553882
"100","Watervogels","landelijk",2017,252.337207649355,241.831707371115,263.299081234867
"100","Watervogels","landelijk",2018,251.435923122072,240.743044942374,262.603737737808
"100","Watervogels","landelijk",2019,250.563547070521,239.639025585459,261.98608914879
"100","Watervogels","landelijk",2020,249.974639040138,239.1147572675,261.327744373978
"100","Watervogels","landelijk",2021,249.833854975244,239.171209245621,260.971858981954
"100","Watervogels","landelijk",2022,250.168911957802,238.804972633382,262.073623593388
"100","Watervogels","landelijk",2023,250.872934930253,236.863703371614,265.710738220524
"100","Watervogels","landelijk",2024,251.761967288112,233.440501052824,271.521385050648
"100","Watervogels","meijendel",1958,53.9366885873675,39.3976606772544,73.8410942619804
"100","Watervogels","meijendel",1959,56.3617505142371,42.8769480105786,74.0875241457336
"100","Watervogels","meijendel",1960,58.6156431117752,46.0359469409034,74.6328433694988
"100","Watervogels","meijendel",1961,60.6810972104114,48.8618606595893,75.3592988263895
"100","Watervogels","meijendel",1962,62.5504239359174,50.4787802380115,77.5089159467597
"100","Watervogels","meijendel",1963,64.226426042475,51.8832580822381,79.5060671720169
"100","Watervogels","meijendel",1964,65.7224645432606,53.1544097894425,81.2621636238743
"100","Watervogels","meijendel",1965,67.0617547957128,54.3089039626336,82.8092380463909
"100","Watervogels","meijendel",1966,68.2758688747709,55.3684437770655,84.1922574052156
"100","Watervogels","meijendel",1967,69.40271078204,56.3590838593202,85.4651270754989
"100","Watervogels","meijendel",1968,70.4841430981602,57.3105716832631,86.6858291998643
"100","Watervogels","meijendel",1969,71.5634985679675,58.2556129296601,87.9114315297165
"100","Watervogels","meijendel",1970,72.6831526955901,59.2288367179842,89.1937268821354
"100","Watervogels","meijendel",1971,73.8822870563476,60.2651533511886,90.5762623529257
"100","Watervogels","meijendel",1972,75.1948830079481,61.3972557132341,92.0932110872868
"100","Watervogels","meijendel",1973,76.6479526327027,62.6522812195734,93.770067560599
"100","Watervogels","meijendel",1974,78.2599595788827,64.0478393330901,95.6257281597959
"100","Watervogels","meijendel",1975,80.0393939647354,65.5879384061989,97.6750412029514
"100","Watervogels","meijendel",1976,81.9834996495155,67.2596292656847,99.9305867154289
"100","Watervogels","meijendel",1977,84.077186715131,69.0313337675531,102.402386570338
"100","Watervogels","meijendel",1978,86.2922798464876,70.8540046350132,105.094378214225
"100","Watervogels","meijendel",1979,88.5872473330407,72.6656176223458,107.997436020306
"100","Watervogels","meijendel",1980,90.9076651251261,74.3986243870151,111.08005889346
"100","Watervogels","meijendel",1981,93.1876033191805,75.9884273295573,114.279630695754
"100","Watervogels","meijendel",1982,95.3521045602085,77.3803555817984,117.497829723072
"100","Watervogels","meijendel",1983,97.320774437919,78.5332247679837,120.602880693848
"100","Watervogels","meijendel",1984,99.0123646125347,79.4193427797224,123.439051533785
"100","Watervogels","meijendel",1985,100.350033130736,80.0222069561481,125.841682357725
"100","Watervogels","meijendel",1986,101.266869657787,80.3335983923669,127.654917687115
"100","Watervogels","meijendel",1987,101.711130686078,80.3511038398119,128.749371334892
"100","Watervogels","meijendel",1988,101.650582400043,80.0763204149477,129.037408920942
"100","Watervogels","meijendel",1989,101.07551484173,79.5137813169899,128.484138614823
"100","Watervogels","meijendel",1990,100,78.6702972881101,127.112777563017
"100","Watervogels","meijendel",1991,98.4612441091602,77.5547396433785,125.003534743364
"100","Watervogels","meijendel",1992,96.5170875506226,76.1784802263337,122.285823523614
"100","Watervogels","meijendel",1993,94.2419377821047,74.5568727300522,119.124401436249
"100","Watervogels","meijendel",1994,91.7216084676349,72.7120555533143,115.700943892607
"100","Watervogels","meijendel",1995,89.0476521260107,70.6768150546642,112.193572149821
"100","Watervogels","meijendel",1996,86.3117941474226,68.4982990367334,108.757821927111
"100","Watervogels","meijendel",1997,83.6010024525344,66.2395306702109,105.512939786148
"100","Watervogels","meijendel",1998,80.9935841101946,63.9768772554503,102.536431104979
"100","Watervogels","meijendel",1999,78.5564803666847,61.7932023580358,99.867305336358
"100","Watervogels","meijendel",2000,76.3438420414113,59.7688641481707,97.5153585518213
"100","Watervogels","meijendel",2001,74.3966571531198,57.9732834351225,95.4726430451861
"100","Watervogels","meijendel",2002,72.7432562862138,56.4594595866494,93.7235562271135
"100","Watervogels","meijendel",2003,71.4003953326238,55.2618919698398,92.2519347769943
"100","Watervogels","meijendel",2004,70.3746459221463,54.3971664777904,91.0450140944296
"100","Watervogels","meijendel",2005,69.6638768061777,53.8660594909831,90.0948719383992
"100","Watervogels","meijendel",2006,69.2586493272297,53.656142163686,89.3981623203349
"100","Watervogels","meijendel",2007,69.1434223773236,53.7443246800191,88.9547479945613
"100","Watervogels","meijendel",2008,69.2975241499716,54.0991246418353,88.7657034214257
"100","Watervogels","meijendel",2009,69.6958805145798,54.6826619976704,88.831003891316
"100","Watervogels","meijendel",2010,70.3095202843141,55.452476704091,89.1471208579161
"100","Watervogels","meijendel",2011,71.1059162641651,56.3632494027089,89.7047523225916
"100","Watervogels","meijendel",2012,72.0492029644872,57.368411573535,90.4868638582387
"100","Watervogels","meijendel",2013,73.1003417170887,58.421558132737,91.4672619140704
"100","Watervogels","meijendel",2014,74.2172876922405,59.4775191093516,92.609878066127
"100","Watervogels","meijendel",2015,75.3552045490191,60.4929920649714,93.8688376750438
"100","Watervogels","meijendel",2016,76.466779806181,61.4267254408896,95.1893230830553
"100","Watervogels","meijendel",2017,77.5026719266427,62.2393599218742,96.5090926916451
"100","Watervogels","meijendel",2018,78.412136622821,62.8931534438416,97.7604529759509
"100","Watervogels","meijendel",2019,79.14383881017,63.3517389581994,98.8725380647104
"100","Watervogels","meijendel",2020,79.646894970149,63.5801278378825,99.7737515495567
"100","Watervogels","meijendel",2021,79.8721412266342,63.5450023136686,100.394345925693
"100","Watervogels","meijendel",2022,79.7736036850772,63.1201362656343,100.820882548832
"100","Watervogels","meijendel",2023,79.310158233299,60.8246738421987,103.413644523762
"100","Watervogels","meijendel",2024,78.4473006680849,57.7673410198093,106.53041793976
"100","Watervogels","meijendel",2025,77.1588782722708,53.9001260955063,110.454147837911
"200","Rietvogels","landelijk",1990,100,92.933879375374,107.603384978781
"200","Rietvogels","landelijk",1991,102.296915737064,96.4863008122726,108.457458532652
"200","Rietvogels","landelijk",1992,104.701657477871,99.7685987598507,109.878631301624
"200","Rietvogels","landelijk",1993,107.289521946302,102.724315947957,112.057611805349
"200","Rietvogels","landelijk",1994,110.139625981115,105.58169875113,114.894317431412
"200","Rietvogels","landelijk",1995,113.31371622426,108.656584120542,118.170457763587
"200","Rietvogels","landelijk",1996,116.837575393808,112.08561820587,121.790995512292
"200","Rietvogels","landelijk",1997,120.686172840729,115.816370145045,125.760739148544
"200","Rietvogels","landelijk",1998,124.774803793971,119.731674721716,130.030350765656
"200","Rietvogels","landelijk",1999,128.959518806736,123.72677269023,134.413572174085
"200","Rietvogels","landelijk",2000,133.050216717708,127.67422499496,138.652575876829
"200","Rietvogels","landelijk",2001,136.837857621531,131.370740135,142.532494368293
"200","Rietvogels","landelijk",2002,140.133036169886,134.575110317801,145.92050327744
"200","Rietvogels","landelijk",2003,142.807829757047,137.127888830094,148.723038135492
"200","Rietvogels","landelijk",2004,144.829110072041,139.033277763841,150.866551243134
"200","Rietvogels","landelijk",2005,146.272190279288,140.420745284948,152.367469676104
"200","Rietvogels","landelijk",2006,147.309469430041,141.457106115835,153.403956715972
"200","Rietvogels","landelijk",2007,148.17713805768,142.315212009947,154.280515293265
"200","Rietvogels","landelijk",2008,149.129801795536,143.205119665733,155.299599871063
"200","Rietvogels","landelijk",2009,150.395088151642,144.378711531739,156.66217200704
"200","Rietvogels","landelijk",2010,152.138042392496,146.049718153217,158.48016850494
"200","Rietvogels","landelijk",2011,154.440831527549,148.298207546229,160.837887642609
"200","Rietvogels","landelijk",2012,157.299424942377,151.060649530808,163.79586056365
"200","Rietvogels","landelijk",2013,160.636342550345,154.218398184698,167.321375735261
"200","Rietvogels","landelijk",2014,164.32656203375,157.686826608175,171.245877481765
"200","Rietvogels","landelijk",2015,168.23136544699,161.40509909331,175.346333412908
"200","Rietvogels","landelijk",2016,172.232477180545,165.271211071964,179.48695361608
"200","Rietvogels","landelijk",2017,176.257734009902,169.14556558155,183.668952192112
"200","Rietvogels","landelijk",2018,180.291258756265,172.958546312675,187.934847261934
"200","Rietvogels","landelijk",2019,184.36580239126,176.788468192417,192.267908868228
