"plot_id","jaar","oppervlakte_km2","plot_naam","kavel_nummer","geteld","referentie_oppervlakte_km2","oppervlakte_factor","analyse_reeks"
3581,1999,0.2709021,"Meijendel k 4-5","4-5",TRUE,0.2709021,1,"sandra_1997_2022"
3507,1999,0.39893068,"Meijendel k 45","45",TRUE,0.39893068,1,"sandra_1997_2022"
12381,1999,0.23652066,"Meijendel k 54a","54a",TRUE,0.23652066,1,"sandra_1997_2022"
3521,1999,0.28185771,"Meijendel k 6","6",TRUE,0.28185771,1,"sandra_1997_2022"
3520,1999,0.2051323,"Meijendel k 62","62",TRUE,0.2051323,1,"sandra_1997_2022"
3498,1999,0.31891561,"Meijendel k 7","7",TRUE,0.31891561,1,"sandra_1997_2022"
3501,1999,0.48463054,"Meijendel k 71","71",TRUE,0.48463054,1,"sandra_1997_2022"
3526,1999,0.08998431,"Meijendel k 72","72",TRUE,0.08998431,1,"sandra_1997_2022"
3527,1999,0.47182172,"Meijendel k 73","73",TRUE,0.47182172,1,"sandra_1997_2022"
3528,1999,0.12519234,"Meijendel k 74","74",TRUE,0.12519234,1,"sandra_1997_2022"
3531,1999,0.48348721,"Meijendel k 75","75",TRUE,0.48348721,1,"sandra_1997_2022"
3530,1999,0.46368324,"Meijendel k 8","8",TRUE,0.46368324,1,"sandra_1997_2022"
3497,1999,0.46461197,"Meijendel k 83","83",TRUE,0.46461197,1,"sandra_1997_2022"
3502,2000,0.62196178,"Meijendel k 10-12-76","10-12-76",TRUE,0.62196178,1,"sandra_1997_2022"
3519,2000,0.70955652,"Meijendel k 12a","12a",TRUE,0.70955652,1,"sandra_1997_2022"
3511,2000,0.14552799,"Meijendel k 13","13",TRUE,0.14552799,1,"sandra_1997_2022"
3506,2000,0.55621728,"Meijendel k 13s","13s",TRUE,0.55621728,1,"sandra_1997_2022"
3512,2000,0.40580915,"Meijendel k 14","14",TRUE,0.40580915,1,"sandra_1997_2022"
3524,2000,0.31589047,"Meijendel k 15","15",TRUE,0.31589047,1,"sandra_1997_2022"
3525,2000,0.38696592,"Meijendel k 16","16",TRUE,0.38696592,1,"sandra_1997_2022"
3513,2000,0.57219326,"Meijendel k 17a","17a",TRUE,0.57219326,1,"sandra_1997_2022"
3529,2000,0.22014556,"Meijendel k 17b","17b",TRUE,0.22014556,1,"sandra_1997_2022"
3534,2000,0.42910686,"Meijendel k 1a","1a",FALSE,0.42910686,1,"sandra_1997_2022"
3505,2000,0.29445564,"Meijendel k 1b","1b",TRUE,0.29445564,1,"sandra_1997_2022"
3504,2000,0.31860243,"Meijendel k 3","3",TRUE,0.31860243,1,"sandra_1997_2022"
3581,2000,0.2709021,"Meijendel k 4-5","4-5",TRUE,0.2709021,1,"sandra_1997_2022"
3507,2000,0.39893068,"Meijendel k 45","45",TRUE,0.39893068,1,"sandra_1997_2022"
12381,2000,0.23652066,"Meijendel k 54a","54a",TRUE,0.23652066,1,"sandra_1997_2022"
3521,2000,0.28185771,"Meijendel k 6","6",TRUE,0.28185771,1,"sandra_1997_2022"
3520,2000,0.2051323,"Meijendel k 62","62",TRUE,0.2051323,1,"sandra_1997_2022"
3498,2000,0.31891561,"Meijendel k 7","7",FALSE,0.31891561,1,"sandra_1997_2022"
3501,2000,0.48463054,"Meijendel k 71","71",FALSE,0.48463054,1,"sandra_1997_2022"
3526,2000,0.08998431,"Meijendel k 72","72",TRUE,0.08998431,1,"sandra_1997_2022"
3527,2000,0.47182172,"Meijendel k 73","73",TRUE,0.47182172,1,"sandra_1997_2022"
3528,2000,0.12519234,"Meijendel k 74","74",TRUE,0.12519234,1,"sandra_1997_2022"
3531,2000,0.48348721,"Meijendel k 75","75",TRUE,0.48348721,1,"sandra_1997_2022"
3530,2000,0.46368324,"Meijendel k 8","8",TRUE,0.46368324,1,"sandra_1997_2022"
3497,2000,0.46461197,"Meijendel k 83","83",TRUE,0.46461197,1,"sandra_1997_2022"
3502,2001,0.62196178,"Meijendel k 10-12-76","10-12-76",TRUE,0.62196178,1,"sandra_1997_2022"
3519,2001,0.70955652,"Meijendel k 12a","12a",TRUE,0.70955652,1,"sandra_1997_2022"
3511,2001,0.14552799,"Meijendel k 13","13",TRUE,0.14552799,1,"sandra_1997_2022"
3506,2001,0.55621728,"Meijendel k 13s","13s",TRUE,0.55621728,1,"sandra_1997_2022"
3512,2001,0.40580915,"Meijendel k 14","14",TRUE,0.40580915,1,"sandra_1997_2022"
3524,2001,0.31589047,"Meijendel k 15","15",TRUE,0.31589047,1,"sandra_1997_2022"
3525,2001,0.38696592,"Meijendel k 16","16",TRUE,0.38696592,1,"sandra_1997_2022"
3513,2001,0.57219326,"Meijendel k 17a","17a",TRUE,0.57219326,1,"sandra_1997_2022"
3529,2001,0.22014556,"Meijendel k 17b","17b",TRUE,0.22014556,1,"sandra_1997_2022"
3534,2001,0.42910686,"Meijendel k 1a","1a",TRUE,0.42910686,1,"sandra_1997_2022"
3505,2001,0.29445564,"Meijendel k 1b","1b",TRUE,0.29445564,1,"sandra_1997_2022"
3504,2001,0.31860243,"Meijendel k 3","3",TRUE,0.31860243,1,"sandra_1997_2022"
3581,2001,0.2709021,"Meijendel k 4-5","4-5",TRUE,0.2709021,1,"sandra_1997_2022"
3507,2001,0.39893068,"Meijendel k 45","45",TRUE,0.39893068,1,"sandra_1997_2022"
12381,2001,0.23652066,"Meijendel k 54a","54a",TRUE,0.23652066,1,"sandra_1997_2022"
3521,2001,0.28185771,"Meijendel k 6","6",TRUE,0.28185771,1,"sandra_1997_2022"
3520,2001,0.2051323,"Meijendel k 62","62",TRUE,0.2051323,1,"sandra_1997_2022"
3498,2001,0.31891561,"Meijendel k 7","7",TRUE,0.31891561,1,"sandra_1997_2022"
3501,2001,0.48463054,"Meijendel k 71","71",TRUE,0.48463054,1,"sandra_1997_2022"
3526,2001,0.08998431,"Meijendel k 72","72",TRUE,0.08998431,1,"sandra_1997_2022"
3527,2001,0.47182172,"Meijendel k 73","73",TRUE,0.47182172,1,"sandra_1997_2022"
3528,2001,0.12519234,"Meijendel k 74","74",TRUE,0.12519234,1,"sandra_1997_2022"
3531,2001,0.48348721,"Meijendel k 75","75",TRUE,0.48348721,1,"sandra_1997_2022"
3530,2001,0.46368324,"Meijendel k 8","8",TRUE,0.46368324,1,"sandra_1997_2022"
3497,2001,0.46461197,"Meijendel k 83","83",TRUE,0.46461197,1,"sandra_1997_2022"
3502,2002,0.62196178,"Meijendel k 10-12-76","10-12-76",TRUE,0.62196178,1,"sandra_1997_2022"
3519,2002,0.70955652,"Meijendel k 12a","12a",TRUE,0.70955652,1,"sandra_1997_2022"
3511,2002,0.14552799,"Meijendel k 13","13",TRUE,0.14552799,1,"sandra_1997_2022"
3506,2002,0.55621728,"Meijendel k 13s","13s",TRUE,0.55621728,1,"sandra_1997_2022"
3512,2002,0.40580915,"Meijendel k 14","14",TRUE,0.40580915,1,"sandra_1997_2022"
3524,2002,0.31589047,"Meijendel k 15","15",TRUE,0.31589047,1,"sandra_1997_2022"
3525,2002,0.38696592,"Meijendel k 16","16",TRUE,0.38696592,1,"sandra_1997_2022"
3513,2002,0.57219326,"Meijendel k 17a","17a",TRUE,0.57219326,1,"sandra_1997_2022"
3529,2002,0.22014556,"Meijendel k 17b","17b",TRUE,0.22014556,1,"sandra_1997_2022"
3534,2002,0.42910686,"Meijendel k 1a","1a",TRUE,0.42910686,1,"sandra_1997_2022"
3505,2002,0.29445564,"Meijendel k 1b","1b",TRUE,0.29445564,1,"sandra_1997_2022"
3504,2002,0.31860243,"Meijendel k 3","3",TRUE,0.31860243,1,"sandra_1997_2022"
3581,2002,0.2709021,"Meijendel k 4-5","4-5",TRUE,0.2709021,1,"sandra_1997_2022"
3507,2002,0.39893068,"Meijendel k 45","45",TRUE,0.39893068,1,"sandra_1997_2022"
12381,2002,0.23652066,"Meijendel k 54a","54a",TRUE,0.23652066,1,"sandra_1997_2022"
3521,2002,0.28185771,"Meijendel k 6","6",TRUE,0.28185771,1,"sandra_1997_2022"
3520,2002,0.2051323,"Meijendel k 62","62",TRUE,0.2051323,1,"sandra_1997_2022"
3498,2002,0.31891561,"Meijendel k 7","7",TRUE,0.31891561,1,"sandra_1997_2022"
3501,2002,0.48463054,"Meijendel k 71","71",TRUE,0.48463054,1,"sandra_1997_2022"
3526,2002,0.08998431,"Meijendel k 72","72",TRUE,0.08998431,1,"sandra_1997_2022"
3527,2002,0.47182172,"Meijendel k 73","73",TRUE,0.47182172,1,"sandra_1997_2022"
3528,2002,0.12519234,"Meijendel k 74","74",TRUE,0.12519234,1,"sandra_1997_2022"
3531,2002,0.48348721,"Meijendel k 75","75",TRUE,0.48348721,1,"sandra_1997_2022"
3530,2002,0.46368324,"Meijendel k 8","8",TRUE,0.46368324,1,"sandra_1997_2022"
3497,2002,0.46461197,"Meijendel k 83","83",TRUE,0.46461197,1,"sandra_1997_2022"
3502,2003,0.62196178,"Meijendel k 10-12-76","10-12-76",TRUE,0.62196178,1,"sandra_1997_2022"
3519,2003,0.70955652,"Meijendel k 12a","12a",TRUE,0.70955652,1,"sandra_1997_2022"
3511,2003,0.14552799,"Meijendel k 13","13",TRUE,0.14552799,1,"sandra_1997_2022"
3506,2003,0.55621728,"Meijendel k 13s","13s",TRUE,0.55621728,1,"sandra_1997_2022"
3512,2003,0.40580915,"Meijendel k 14","14",TRUE,0.40580915,1,"sandra_1997_2022"
3524,2003,0.31589047,"Meijendel k 15","15",TRUE,0.31589047,1,"sandra_1997_2022"
3525,2003,0.38696592,"Meijendel k 16","16",TRUE,0.38696592,1,"sandra_1997_2022"
3513,2003,0.57219326,"Meijendel k 17a","17a",TRUE,0.57219326,1,"sandra_1997_2022"
3529,2003,0.22014556,"Meijendel k 17b","17b",TRUE,0.22014556,1,"sandra_1997_2022"
3534,2003,0.42910686,"Meijendel k 1a","1a",TRUE,0.42910686,1,"sandra_1997_2022"
3505,2003,0.29445564,"Meijendel k 1b","1b",TRUE,0.29445564,1,"sandra_1997_2022"
3504,2003,0.31860243,"Meijendel k 3","3",TRUE,0.31860243,1,"sandra_1997_2022"
3581,2003,0.2709021,"Meijendel k 4-5","4-5",TRUE,0.2709021,1,"sandra_1997_2022"
3507,2003,0.39893068,"Meijendel k 45","45",TRUE,0.39893068,1,"sandra_1997_2022"
12381,2003,0.23652066,"Meijendel k 54a","54a",TRUE,0.23652066,1,"sandra_1997_2022"
3521,2003,0.28185771,"Meijendel k 6","6",TRUE,0.28185771,1,"sandra_1997_2022"
3520,2003,0.2051323,"Meijendel k 62","62",TRUE,0.2051323,1,"sandra_1997_2022"
3498,2003,0.31891561,"Meijendel k 7","7",TRUE,0.31891561,1,"sandra_1997_2022"
3501,2003,0.48463054,"Meijendel k 71","71",TRUE,0.48463054,1,"sandra_1997_2022"
3526,2003,0.08998431,"Meijendel k 72","72",TRUE,0.08998431,1,"sandra_1997_2022"
3527,2003,0.47182172,"Meijendel k 73","73",TRUE,0.47182172,1,"sandra_1997_2022"
3528,2003,0.12519234,"Meijendel k 74","74",TRUE,0.12519234,1,"sandra_1997_2022"
3531,2003,0.48348721,"Meijendel k 75","75",TRUE,0.48348721,1,"sandra_1997_2022"
3530,2003,0.46368324,"Meijendel k 8","8",TRUE,0.46368324,1,"sandra_1997_2022"
3497,2003,0.46461197,"Meijendel k 83","83",TRUE,0.46461197,1,"sandra_1997_2022"
3502,2004,0.62196178,"Meijendel k 10-12-76","10-12-76",TRUE,0.62196178,1,"sandra_1997_2022"
3519,2004,0.70955652,"Meijendel k 12a","12a",TRUE,0.70955652,1,"sandra_1997_2022"
3511,2004,0.14552799,"Meijendel k 13","13",TRUE,0.14552799,1,"sandra_1997_2022"
3506,2004,0.55621728,"Meijendel k 13s","13s",TRUE,0.55621728,1,"sandra_1997_2022"
3512,2004,0.40580915,"Meijendel k 14","14",TRUE,0.40580915,1,"sandra_1997_2022"
3524,2004,0.31589047,"Meijendel k 15","15",TRUE,0.31589047,1,"sandra_1997_2022"
3525,2004,0.38696592,"Meijendel k 16","16",TRUE,0.38696592,1,"sandra_1997_2022"
3513,2004,0.57219326,"Meijendel k 17a","17a",TRUE,0.57219326,1,"sandra_1997_2022"
3529,2004,0.22014556,"Meijendel k 17b","17b",TRUE,0.22014556,1,"sandra_1997_2022"
3534,2004,0.42910686,"Meijendel k 1a","1a",TRUE,0.42910686,1,"sandra_1997_2022"
3505,2004,0.29445564,"Meijendel k 1b","1b",TRUE,0.29445564,1,"sandra_1997_2022"
3504,2004,0.31860243,"Meijendel k 3","3",TRUE,0.31860243,1,"sandra_1997_2022"
3581,2004,0.2709021,"Meijendel k 4-5","4-5",TRUE,0.2709021,1,"sandra_1997_2022"
3507,2004,0.39893068,"Meijendel k 45","45",TRUE,0.39893068,1,"sandra_1997_2022"
12381,2004,0.23652066,"Meijendel k 54a","54a",TRUE,0.23652066,1,"sandra_1997_2022"
3521,2004,0.28185771,"Meijendel k 6","6",TRUE,0.28185771,1,"sandra_1997_2022"
3520,2004,0.2051323,"Meijendel k 62","62",TRUE,0.2051323,1,"sandra_1997_2022"
3498,2004,0.31891561,"Meijendel k 7","7",TRUE,0.31891561,1,"sandra_1997_2022"
3501,2004,0.48463054,"Meijendel k 71","71",TRUE,0.48463054,1,"sandra_1997_2022"
3526,2004,0.08998431,"Meijendel k 72","72",TRUE,0.08998431,1,"sandra_1997_2022"
3527,2004,0.47182172,"Meijendel k 73","73",TRUE,0.47182172,1,"sandra_1997_2022"
3528,2004,0.12519234,"Meijendel k 74","74",TRUE,0.12519234,1,"sandra_1997_2022"
3531,2004,0.48348721,"Meijendel k 75","75",TRUE,0.48348721,1,"sandra_1997_2022"
3530,2004,0.46368324,"Meijendel k 8","8",TRUE,0.46368324,1,"sandra_1997_2022"
3497,2004,0.46461197,"Meijendel k 83","83",TRUE,0.46461197,1,"sandra_1997_2022"
3502,2005,0.62196178,"Meijendel k 10-12-76","10-12-76",TRUE,0.62196178,1,"sandra_1997_2022"
3519,2005,0.70955652,"Meijendel k 12a","12a",TRUE,0.70955652,1,"sandra_1997_2022"
3511,2005,0.14552799,"Meijendel k 13","13",TRUE,0.14552799,1,"sandra_1997_2022"
3506,2005,0.55621728,"Meijendel k 13s","13s",TRUE,0.55621728,1,"sandra_1997_2022"
3512,2005,0.40580915,"Meijendel k 14","14",TRUE,0.40580915,1,"sandra_1997_2022"
3524,2005,0.31589047,"Meijendel k 15","15",TRUE,0.31589047,1,"sandra_1997_2022"
3525,2005,0.38696592,"Meijendel k 16","16",TRUE,0.38696592,1,"sandra_1997_2022"
3513,2005,0.57219326,"Meijendel k 17a","17a",TRUE,0.57219326,1,"sandra_1997_2022"
3529,2005,0.22014556,"Meijendel k 17b","17b",TRUE,0.22014556,1,"sandra_1997_2022"
3534,2005,0.42910686,"Meijendel k 1a","1a",TRUE,0.42910686,1,"sandra_1997_2022"
3505,2005,0.29445564,"Meijendel k 1b","1b",TRUE,0.29445564,1,"sandra_1997_2022"
3504,2005,0.31860243,"Meijendel k 3","3",TRUE,0.31860243,1,"sandra_1997_2022"
3581,2005,0.2709021,"Meijendel k 4-5","4-5",TRUE,0.2709021,1,"sandra_1997_2022"
3507,2005,0.39893068,"Meijendel k 45","45",TRUE,0.39893068,1,"sandra_1997_2022"
12381,2005,0.23652066,"Meijendel k 54a","54a",TRUE,0.23652066,1,"sandra_1997_2022"
3521,2005,0.28185771,"Meijendel k 6","6",TRUE,0.28185771,1,"sandra_1997_2022"
3520,2005,0.2051323,"Meijendel k 62","62",TRUE,0.2051323,1,"sandra_1997_2022"
3498,2005,0.31891561,"Meijendel k 7","7",TRUE,0.31891561,1,"sandra_1997_2022"
3501,2005,0.48463054,"Meijendel k 71","71",TRUE,0.48463054,1,"sandra_1997_2022"
3526,2005,0.08998431,"Meijendel k 72","72",TRUE,0.08998431,1,"sandra_1997_2022"
3527,2005,0.47182172,"Meijendel k 73","73",TRUE,0.47182172,1,"sandra_1997_2022"
3528,2005,0.12519234,"Meijendel k 74","74",TRUE,0.12519234,1,"sandra_1997_2022"
3531,2005,0.48348721,"Meijendel k 75","75",TRUE,0.48348721,1,"sandra_1997_2022"
3530,2005,0.46368324,"Meijendel k 8","8",TRUE,0.46368324,1,"sandra_1997_2022"
3497,2005,0.46461197,"Meijendel k 83","83",TRUE,0.46461197,1,"sandra_1997_2022"
3502,2006,0.62196178,"Meijendel k 10-12-76","10-12-76",TRUE,0.62196178,1,"sandra_1997_2022"
3519,2006,0.70955652,"Meijendel k 12a","12a",TRUE,0.70955652,1,"sandra_1997_2022"
3511,2006,0.14552799,"Meijendel k 13","13",TRUE,0.14552799,1,"sandra_1997_2022"
3506,2006,0.55621728,"Meijendel k 13s","13s",TRUE,0.55621728,1,"sandra_1997_2022"
3512,2006,0.40580915,"Meijendel k 14","14",TRUE,0.40580915,1,"sandra_1997_2022"
3524,2006,0.31589047,"Meijendel k 15","15",TRUE,0.31589047,1,"sandra_1997_2022"
3525,2006,0.38696592,"Meijendel k 16","16",TRUE,0.38696592,1,"sandra_1997_2022"
3513,2006,0.57219326,"Meijendel k 17a","17a",TRUE,0.57219326,1,"sandra_1997_2022"
3529,2006,0.22014556,"Meijendel k 17b","17b",TRUE,0.22014556,1,"sandra_1997_2022"
3534,2006,0.42910686,"Meijendel k 1a","1a",TRUE,0.42910686,1,"sandra_1997_2022"
3505,2006,0.29445564,"Meijendel k 1b","1b",TRUE,0.29445564,1,"sandra_1997_2022"
3504,2006,0.31860243,"Meijendel k 3","3",TRUE,0.31860243,1,"sandra_1997_2022"
3581,2006,0.2709021,"Meijendel k 4-5","4-5",TRUE,0.2709021,1,"sandra_1997_2022"
3507,2006,0.39893068,"Meijendel k 45","45",TRUE,0.39893068,1,"sandra_1997_2022"
12381,2006,0.23652066,"Meijendel k 54a","54a",TRUE,0.23652066,1,"sandra_1997_2022"
3521,2006,0.28185771,"Meijendel k 6","6",TRUE,0.28185771,1,"sandra_1997_2022"
3520,2006,0.2051323,"Meijendel k 62","62",TRUE,0.2051323,1,"sandra_1997_2022"
3498,2006,0.31891561,"Meijendel k 7","7",TRUE,0.31891561,1,"sandra_1997_2022"
3501,2006,0.48463054,"Meijendel k 71","71",TRUE,0.48463054,1,"sandra_1997_2022"
3526,2006,0.08998431,"Meijendel k 72","72",TRUE,0.08998431,1,"sandra_1997_2022"
3527,2006,0.47182172,"Meijendel k 73","73",TRUE,0.47182172,1,"sandra_1997_2022"
3528,2006,0.12519234,"Meijendel k 74","74",TRUE,0.12519234,1,"sandra_1997_2022"
3531,2006,0.48348721,"Meijendel k 75","75",TRUE,0.48348721,1,"sandra_1997_2022"
3530,2006,0.46368324,"Meijendel k 8","8",TRUE,0.46368324,1,"sandra_1997_2022"
3497,2006,0.46461197,"Meijendel k 83","83",TRUE,0.46461197,1,"sandra_1997_2022"
3502,2007,0.62196178,"Meijendel k 10-12-76","10-12-76",TRUE,0.62196178,1,"sandra_1997_2022"
3519,2007,0.70955652,"Meijendel k 12a","12a",TRUE,0.70955652,1,"sandra_1997_2022"
3511,2007,0.14552799,"Meijendel k 13","13",TRUE,0.14552799,1,"sandra_1997_2022"
3506,2007,0.55621728,"Meijendel k 13s","13s",TRUE,0.55621728,1,"sandra_1997_2022"
3512,2007,0.40580915,"Meijendel k 14","14",TRUE,0.40580915,1,"sandra_1997_2022"
3524,2007,0.31589047,"Meijendel k 15","15",TRUE,0.31589047,1,"sandra_1997_2022"
3525,2007,0.38696592,"Meijendel k 16","16",TRUE,0.38696592,1,"sandra_1997_2022"
3513,2007,0.57219326,"Meijendel k 17a","17a",TRUE,0.57219326,1,"sandra_1997_2022"
3529,2007,0.22014556,"Meijendel k 17b","17b",TRUE,0.22014556,1,"sandra_1997_2022"
3534,2007,0.42910686,"Meijendel k 1a","1a",TRUE,0.42910686,1,"sandra_1997_2022"
3505,2007,0.29445564,"Meijendel k 1b","1b",TRUE,0.29445564,1,"sandra_1997_2022"
3504,2007,0.31860243,"Meijendel k 3","3",TRUE,0.31860243,1,"sandra_1997_2022"
3581,2007,0.2709021,"Meijendel k 4-5","4-5",TRUE,0.2709021,1,"sandra_1997_2022"
3507,2007,0.39893068,"Meijendel k 45","45",TRUE,0.39893068,1,"sandra_1997_2022"
12381,2007,0.23652066,"Meijendel k 54a","54a",TRUE,0.23652066,1,"sandra_1997_2022"
3521,2007,0.28185771,"Meijendel k 6","6",TRUE,0.28185771,1,"sandra_1997_2022"
3520,2007,0.2051323,"Meijendel k 62","62",TRUE,0.2051323,1,"sandra_1997_2022"
3498,2007,0.31891561,"Meijendel k 7","7",FALSE,0.31891561,1,"sandra_1997_2022"
3501,2007,0.48463054,"Meijendel k 71","71",TRUE,0.48463054,1,"sandra_1997_2022"
3526,2007,0.08998431,"Meijendel k 72","72",TRUE,0.08998431,1,"sandra_1997_2022"
3527,2007,0.47182172,"Meijendel k 73","73",TRUE,0.47182172,1,"sandra_1997_2022"
3528,2007,0.12519234,"Meijendel k 74","74",TRUE,0.12519234,1,"sandra_1997_2022"
3531,2007,0.48348721,"Meijendel k 75","75",TRUE,0.48348721,1,"sandra_1997_2022"
3530,2007,0.46368324,"Meijendel k 8","8",TRUE,0.46368324,1,"sandra_1997_2022"
3497,2007,0.46461197,"Meijendel k 83","83",TRUE,0.46461197,1,"sandra_1997_2022"
3502,2008,0.62196178,"Meijendel k 10-12-76","10-12-76",TRUE,0.62196178,1,"sandra_1997_2022"
