"soort_id","euring_code","soort_naam","engelse_naam","analyse_categorie","basisjaar","basisjaar_toelichting","eerste_jaar","laatste_jaar","n_jaren_index","trend_pct_per_jaar","trend_p","trend_r2","trend_uitleg","trendduiding_type","model"
62,2870,"Buizerd","buzzard","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,1.70091364502809,0.00340171087283912,0.305609870687522,"lichte toename","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
64,3040,"Torenvalk","kestrel","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-20.4472684539309,0.000174868347960649,0.573159981572981,"sterke afname","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
66,3100,"Boomvalk","hobby","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-20.932021323728,2.77045759621423e-07,0.706205924522546,"sterke afname","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
70,3700,"Kwartel","Quail","trim_bruikbaar",2007,"index_100 = eerste analysejaar vanaf eerste positieve jaar",2007,2022,16,-5.36985901482905,0.754125269372479,0.0377679936194661,"onzeker","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
71,3940,"Gewone Fazant","pheasant","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-29.8102278936437,7.8857641899819e-11,0.85901288909917,"sterke afname","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
72,4070,"Waterral","water rail","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-2.3795506797639,0.0866591740521836,0.117373566407807,"onzeker","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
77,4240,"Waterhoen","moorhen","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-5.7409751512771,0.00370116417657108,0.301065774029865,"sterke afname","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
78,4290,"Meerkoet","Eurasian coot","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-2.8520764748295,7.87491040284443e-08,0.706006379175305,"matige afname","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
80,4500,"Scholekster","oystercatcher","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-23.7337192218144,9.43422675050068e-05,0.830661427055646,"sterke afname","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
84,4690,"Kleine Plevier","little ringed plover","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,6.35598105889421,0.0326645307662385,0.229327223074912,"sterke toename","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
