"soort_id","euring_code","soort_naam","engelse_naam","jaar","basisjaar","basisjaar_toelichting","trim_index","trim_se","index_100","model_config","model_overdispersion","model_serial_correlation","model_warnings"
2,90,"Fuut","great crested grebe",2002,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.794871794871795,0.134362276471608,79.4871794871795,"model3_overdisp",TRUE,FALSE,"Overdispersion 0.5 <1; consider setting overdisp=FALSE"
2,90,"Fuut","great crested grebe",2003,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.666666666666667,0.118574373522927,66.6666666666667,"model3_overdisp",TRUE,FALSE,"Overdispersion 0.5 <1; consider setting overdisp=FALSE"
2,90,"Fuut","great crested grebe",2004,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.564102564102564,0.105663196415322,56.4102564102564,"model3_overdisp",TRUE,FALSE,"Overdispersion 0.5 <1; consider setting overdisp=FALSE"
2,90,"Fuut","great crested grebe",2005,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.564102564102564,0.105663196415322,56.4102564102564,"model3_overdisp",TRUE,FALSE,"Overdispersion 0.5 <1; consider setting overdisp=FALSE"
2,90,"Fuut","great crested grebe",2006,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.666666666666667,0.118574373522927,66.6666666666667,"model3_overdisp",TRUE,FALSE,"Overdispersion 0.5 <1; consider setting overdisp=FALSE"
2,90,"Fuut","great crested grebe",2007,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.671145565695588,0.120866854681228,67.1145565695588,"model3_overdisp",TRUE,FALSE,"Overdispersion 0.5 <1; consider setting overdisp=FALSE"
2,90,"Fuut","great crested grebe",2008,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.620079616644259,0.118111744169096,62.0079616644259,"model3_overdisp",TRUE,FALSE,"Overdispersion 0.5 <1; consider setting overdisp=FALSE"
2,90,"Fuut","great crested grebe",2009,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.41025641025641,0.0855635554281734,41.025641025641,"model3_overdisp",TRUE,FALSE,"Overdispersion 0.5 <1; consider setting overdisp=FALSE"
2,90,"Fuut","great crested grebe",2010,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.487179487179487,0.0957498900028809,48.7179487179487,"model3_overdisp",TRUE,FALSE,"Overdispersion 0.5 <1; consider setting overdisp=FALSE"
2,90,"Fuut","great crested grebe",2011,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.538461538461538,0.102384157055574,53.8461538461538,"model3_overdisp",TRUE,FALSE,"Overdispersion 0.5 <1; consider setting overdisp=FALSE"
2,90,"Fuut","great crested grebe",2012,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.71332993837103,0.128559910651508,71.3329938371031,"model3_overdisp",TRUE,FALSE,"Overdispersion 0.5 <1; consider setting overdisp=FALSE"
2,90,"Fuut","great crested grebe",2013,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.461538461538462,0.0923891915532858,46.1538461538462,"model3_overdisp",TRUE,FALSE,"Overdispersion 0.5 <1; consider setting overdisp=FALSE"
2,90,"Fuut","great crested grebe",2014,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.692307692307692,0.121759073934791,69.2307692307692,"model3_overdisp",TRUE,FALSE,"Overdispersion 0.5 <1; consider setting overdisp=FALSE"
2,90,"Fuut","great crested grebe",2015,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.846153846153846,0.140595268225063,84.6153846153846,"model3_overdisp",TRUE,FALSE,"Overdispersion 0.5 <1; consider setting overdisp=FALSE"
2,90,"Fuut","great crested grebe",2016,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.666666666666667,0.118574373522927,66.6666666666667,"model3_overdisp",TRUE,FALSE,"Overdispersion 0.5 <1; consider setting overdisp=FALSE"
2,90,"Fuut","great crested grebe",2017,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.512820512820513,0.0990805685739338,51.2820512820513,"model3_overdisp",TRUE,FALSE,"Overdispersion 0.5 <1; consider setting overdisp=FALSE"
2,90,"Fuut","great crested grebe",2018,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.564102564102564,0.105663196415322,56.4102564102564,"model3_overdisp",TRUE,FALSE,"Overdispersion 0.5 <1; consider setting overdisp=FALSE"
2,90,"Fuut","great crested grebe",2019,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.512820512820513,0.0990805685739338,51.2820512820513,"model3_overdisp",TRUE,FALSE,"Overdispersion 0.5 <1; consider setting overdisp=FALSE"
