plot_id,jaar,bron,maatregel_id,intensiteit_code,uitvoerder_of_diersoort,deel_label,dekking_pct,opmerking
3581,2022,HANDMATIG,3,extensief,schaap,grote plas west,35.00,begrazing achter tijdelijk stroomdraad
3502,2024,HANDMATIG,2,,,zuidrand,20.00,aanvullend maaibeheer in zoomvegetatie
