"soort_id","euring_code","soort_naam","analyse_categorie","basisjaar_index_gebrugged","basisjaar_toelichting","eerste_jaar","laatste_jaar","n_jaren_index","overall_trend_pct_per_jaar","overall_p","overall_r2","overall_uitleg","trend_pre_pct_per_jaar","trend_pre_p","trend_pre_r2","trend_pre_uitleg","trend_post_pct_per_jaar","trend_post_p","trend_post_r2","trend_post_uitleg","trendduiding_type","brugfactor","brugmethode"
35,1840,"Wintertaling","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,-5.42519890345778,1.3467865459584e-10,0.511692439075366,"sterke afname",-5.30896026070268,0.0126891828868212,0.232145083679416,"sterke afname",-2.611882897137,0.124916209836487,0.0720073886055385,"onzeker","eigen_trendduiding_op_basis_van_trim_index",7.79346330849839,"1981_1983_naar_1984_1986"
36,1860,"Wilde Eend","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,-2.03892212349827,6.17371632252451e-21,0.739227518746748,"matige afname",-5.15227827708855,5.49541156503307e-09,0.763806669506461,"sterke afname",-1.73811300571742,1.29327351389143e-10,0.648244714846378,"lichte afname","eigen_trendduiding_op_basis_van_trim_index",0.446771331251579,"1981_1983_naar_1984_1986"
37,1869,"Soepeend","alleen_post_bruikbaar",1993,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1993,2025,33,-4.48610507241001,0.000369561838603962,0.339957481461629,"matige afname",NA,NA,NA,"onvoldoende_data",-4.48610507241001,0.000369561838603962,0.339957481461629,"matige afname","eigen_trendduiding_op_basis_van_trim_index",1,"alleen_post"
39,1910,"Zomertaling","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,64,-15.0688437649847,3.50237761640861e-12,0.724270999567761,"sterke afname",-26.7585524475484,1.80654796825958e-10,0.821814120653518,"sterke afname",-0.99386902778249,0.864047163198115,0.00254371809180157,"stabiel","eigen_trendduiding_op_basis_van_trim_index",0.00175017479649152,"1981_1983_naar_1984_1986"
40,1940,"Slobeend","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,-6.16022786177891,3.05888949733871e-18,0.685621031364655,"sterke afname",-4.64126207040816,6.02325782753962e-06,0.581047065271139,"matige afname",-7.08095592661251,2.96896219366002e-06,0.424466629514157,"sterke afname","eigen_trendduiding_op_basis_van_trim_index",0.768119315872243,"1981_1983_naar_1984_1986"
41,1960,"Krooneend","alleen_post_bruikbaar",1987,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1987,2025,39,16.5779420410023,3.51945487374766e-17,0.856535192222337,"sterke toename",NA,NA,NA,"onvoldoende_data",16.5779420410023,3.51945487374766e-17,0.856535192222337,"sterke toename","eigen_trendduiding_op_basis_van_trim_index",1,"alleen_post"
42,1980,"Tafeleend","brugbare_tijdreeks",1959,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1959,2025,67,1.23968282863354,0.0063667744781745,0.108981645981983,"lichte toename",12.2973888761636,9.70841365013837e-10,0.809117492991148,"sterke toename",-2.73492056589054,4.76965791989746e-11,0.665157225790009,"matige afname","eigen_trendduiding_op_basis_van_trim_index",7.12023800142101,"1981_1983_naar_1984_1986"
44,2030,"Kuifeend","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,-1.71435445038719,9.47070687423723e-05,0.207546413092644,"lichte afname",5.74384055928663,0.0246096918147609,0.193306937860727,"sterke toename",-3.32145699677354,2.36592892880483e-17,0.83708574926091,"matige afname","eigen_trendduiding_op_basis_van_trim_index",20.9125605622175,"1981_1983_naar_1984_1986"
53,2310,"Wespendief","alleen_post_bruikbaar",2005,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",2005,2025,21,2.2835998034705,0.73089658657382,0.0257850396882166,"onzeker",NA,NA,NA,"onvoldoende_data",2.2835998034705,0.73089658657382,0.0257850396882166,"onzeker","eigen_trendduiding_op_basis_van_trim_index",1,"alleen_post"
60,2670,"Havik","alleen_post_bruikbaar",1993,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1993,2025,33,4.40897480567808,6.16086516610852e-07,0.556968638996732,"matige toename",NA,NA,NA,"onvoldoende_data",4.40897480567808,6.16086516610852e-07,0.556968638996732,"matige toename","eigen_trendduiding_op_basis_van_trim_index",1,"alleen_post"
61,2690,"Sperwer","alleen_post_bruikbaar",1986,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1986,2025,40,2.31604500469629,0.000866777699447347,0.255972001114146,"matige toename",NA,NA,NA,"onvoldoende_data",2.31604500469629,0.000866777699447347,0.255972001114146,"matige toename","eigen_trendduiding_op_basis_van_trim_index",1,"alleen_post"
62,2870,"Buizerd","alleen_post_bruikbaar",1985,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1985,2025,41,6.56963452318942,7.39641359383103e-15,0.791627090736282,"sterke toename",NA,NA,NA,"onvoldoende_data",6.56963452318942,7.39641359383103e-15,0.791627090736282,"sterke toename","eigen_trendduiding_op_basis_van_trim_index",1,"alleen_post"
64,3040,"Torenvalk","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,-7.30282582417822,1.05975014189742e-20,0.73494510482703,"sterke afname",-9.3219515718078,9.94941876629236e-09,0.75197501617173,"sterke afname",-7.72054246235434,1.16514245574301e-06,0.450036938340418,"sterke afname","eigen_trendduiding_op_basis_van_trim_index",0.136838407385212,"1981_1983_naar_1984_1986"
66,3100,"Boomvalk","brugbare_tijdreeks",1959,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1959,2025,66,-5.40120567841025,2.36082959497257e-12,0.562067827021229,"sterke afname",6.20513466112083,0.018045129153779,0.249103994806204,"sterke toename",-10.1604484868297,4.7031643472521e-14,0.779835036431533,"sterke afname","eigen_trendduiding_op_basis_van_trim_index",0.443032981134435,"1981_1983_naar_1984_1986"
67,3200,"Slechtvalk","alleen_post_bruikbaar",2020,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",2020,2025,6,0,0.158302423375551,0,"stabiel",NA,NA,NA,"onvoldoende_data",0,0.158302423375551,0,"stabiel","eigen_trendduiding_op_basis_van_trim_index",1,"alleen_post"
69,3670,"Patrijs","alleen_pre_bruikbaar",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,1983,26,-34.5923229879029,8.09414125121526e-08,0.705343249217716,"sterke afname",-34.5923229879029,8.09414125121526e-08,0.705343249217716,"sterke afname",NA,NA,NA,"onvoldoende_data","eigen_trendduiding_op_basis_van_trim_index",1,"alleen_pre"
70,3700,"Kwartel","alleen_post_bruikbaar",2007,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",2007,2025,19,10.2099182259902,0.281263437966733,0.143007294621877,"onzeker",NA,NA,NA,"onvoldoende_data",10.2099182259902,0.281263437966733,0.143007294621877,"onzeker","eigen_trendduiding_op_basis_van_trim_index",1,"alleen_post"
71,3940,"Gewone Fazant","alleen_post_bruikbaar",1984,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1984,2025,42,-14.1459480309206,1.81706451893751e-24,0.928007469500761,"sterke afname",NA,NA,NA,"onvoldoende_data",-14.1459480309206,1.81706451893751e-24,0.928007469500761,"sterke afname","eigen_trendduiding_op_basis_van_trim_index",1,"alleen_post"
