"soort_id","euring_code","soort_naam","n_getelde_cellen","n_positieve_cellen","n_jaren_geteld","pre_model_gelukt","post_model_gelukt","pre_model","post_model","pre_model_overdispersion","post_model_overdispersion","pre_model_serial_correlation","post_model_serial_correlation","pre_model_aic","post_model_aic","pre_model_fallback_reden","post_model_fallback_reden","pre_fout","post_fout","pre_waarschuwingen","post_waarschuwingen","pre_modelpogingen","post_modelpogingen","pre_positieve_jaren","post_positieve_jaren","pre_actieve_plots","post_actieve_plots","n_actieve_plots","modelselectie_methode","analyse_categorie"
38,1890,"Pijlstaart",2153,1,68,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,"geen_model","geen_model","te_weinig_data_pre","te_weinig_data_post",NA,NA,NA,NA,0,1,0,1,1,"vaste_voorkeurhierarchie_eerste_werkende_model","te_zeldzaam"
39,1910,"Zomertaling",2153,38,68,TRUE,TRUE,"model2_basis","model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"model3_varianten_mislukt_fallback_naar_model2","model3_varianten_mislukt_fallback_naar_model2",NA,NA,"Data ends with 7 years without positive observations.","Data ends with 13 years without positive observations.","model3_overdisp:fout:Found zero or less counts for year 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26 || model3_overdisp_serialcor:fout:Found zero or less counts for year 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26 || model3_basis:fout:Found zero or less counts for year 12, 13, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26 || model2_basis:ok:aic=NA","model3_overdisp:fout:Found zero or less counts for year 2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38 || model3_overdisp_serialcor:fout:Found zero or less counts for year 2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38 || model3_basis:fout:Found zero or less counts for year 2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38 || model2_basis:ok:aic=NA",13,6,9,4,10,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
40,1940,"Slobeend",2153,469,68,TRUE,TRUE,"model3_overdisp","model2_basis",TRUE,FALSE,FALSE,FALSE,NA,NA,"voorkeursmodel_gekozen","model3_varianten_mislukt_fallback_naar_model2",NA,NA,NA,"Data ends with 1 years without positive observations.","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","model3_overdisp:fout:Found zero or less counts for year 22, 23, 24, 28, 42 || model3_overdisp_serialcor:fout:Found zero or less counts for year 22, 23, 24, 28, 42 || model3_basis:fout:Found zero or less counts for year 22, 23, 24, 28, 42 || model2_basis:ok:aic=NA",26,37,27,21,30,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
41,1960,"Krooneend",2153,297,68,FALSE,TRUE,NA,"model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"geen_model","model3_varianten_mislukt_fallback_naar_model2","te_weinig_data_pre",NA,NA,NA,NA,"model3_overdisp:fout:Found zero or less counts for year 2, 4, 5, 6, 7, 8, 9, 10, 11, 14, 18 || model3_overdisp_serialcor:fout:Found zero or less counts for year 2, 4, 5, 6, 7, 8, 9, 10, 11, 14, 18 || model3_basis:fout:Found zero or less counts for year 2, 4, 5, 6, 7, 8, 9, 10, 11, 14, 18 || model2_basis:ok:aic=NA",0,28,0,25,25,"vaste_voorkeurhierarchie_eerste_werkende_model","alleen_post_bruikbaar"
42,1980,"Tafeleend",2153,867,68,TRUE,TRUE,"model3_overdisp","model3_overdisp",TRUE,TRUE,FALSE,FALSE,NA,NA,"voorkeursmodel_gekozen","voorkeursmodel_gekozen",NA,NA,NA,NA,"model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA",25,42,22,27,28,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
44,2030,"Kuifeend",2153,1028,68,TRUE,TRUE,"model3_overdisp","model3_overdisp",TRUE,TRUE,FALSE,FALSE,NA,NA,"voorkeursmodel_gekozen","voorkeursmodel_gekozen",NA,NA,NA,NA,"model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA",26,42,27,29,31,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
53,2310,"Wespendief",2153,4,68,FALSE,TRUE,NA,"model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"geen_model","model3_varianten_mislukt_fallback_naar_model2","te_weinig_data_pre",NA,NA,NA,NA,"model3_overdisp:fout:Found zero or less counts for year 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20 || model3_overdisp_serialcor:fout:Found zero or less counts for year 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20 || model3_basis:fout:Found zero or less counts for year 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20 || model2_basis:ok:aic=NA",0,4,0,2,2,"vaste_voorkeurhierarchie_eerste_werkende_model","alleen_post_bruikbaar"
57,2600,"Bruine Kiekendief",2153,4,68,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,"geen_model","geen_model","te_weinig_data_pre","te_weinig_data_post",NA,NA,NA,NA,1,2,1,2,3,"vaste_voorkeurhierarchie_eerste_werkende_model","te_zeldzaam"
60,2670,"Havik",2153,130,68,FALSE,TRUE,NA,"model3_overdisp",FALSE,TRUE,FALSE,FALSE,NA,NA,"geen_model","voorkeursmodel_gekozen","te_weinig_data_pre",NA,NA,"Overdispersion 0.8 <1; consider setting overdisp=FALSE",NA,"model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA",0,33,0,23,23,"vaste_voorkeurhierarchie_eerste_werkende_model","alleen_post_bruikbaar"
61,2690,"Sperwer",2153,52,68,FALSE,TRUE,NA,"model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"geen_model","model3_varianten_mislukt_fallback_naar_model2","te_weinig_data_pre",NA,NA,NA,NA,"model3_overdisp:fout:Found zero or less counts for year 2, 3, 4, 5, 7, 9, 28 || model3_overdisp_serialcor:fout:Found zero or less counts for year 2, 3, 4, 5, 7, 9, 28 || model3_basis:fout:Found zero or less counts for year 2, 3, 4, 5, 7, 9, 28 || model2_basis:ok:aic=NA",0,33,0,19,19,"vaste_voorkeurhierarchie_eerste_werkende_model","alleen_post_bruikbaar"
62,2870,"Buizerd",2153,390,68,FALSE,TRUE,NA,"model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"geen_model","model3_varianten_mislukt_fallback_naar_model2","te_weinig_data_pre",NA,NA,NA,NA,"model3_overdisp:fout:Found zero or less counts for year 3, 4, 5, 6, 7 || model3_overdisp_serialcor:fout:Found zero or less counts for year 3, 4, 5, 6, 7 || model3_basis:fout:Found zero or less counts for year 3, 4, 5, 6, 7 || model2_basis:ok:aic=NA",0,36,0,45,45,"vaste_voorkeurhierarchie_eerste_werkende_model","alleen_post_bruikbaar"
64,3040,"Torenvalk",2153,164,68,TRUE,TRUE,"model2_basis","model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"model3_varianten_mislukt_fallback_naar_model2","model3_varianten_mislukt_fallback_naar_model2",NA,NA,NA,NA,"model3_overdisp:fout:Found zero or less counts for year 6, 7, 8, 9, 10, 11, 12, 13, 15, 23, 24, 25 || model3_overdisp_serialcor:fout:Found zero or less counts for year 6, 7, 8, 9, 10, 11, 12, 13, 15, 23, 24, 25 || model3_basis:fout:Found zero or less counts for year 6, 7, 8, 9, 10, 11, 12, 13, 15, 23, 24, 25 || model2_basis:ok:aic=NA","model3_overdisp:fout:Found zero or less counts for year 24, 27, 28, 30, 31, 32, 35 || model3_overdisp_serialcor:fout:Found zero or less counts for year 24, 27, 28, 30, 31, 32, 35 || model3_basis:fout:Found zero or less counts for year 24, 27, 28, 30, 31, 32, 35 || model2_basis:ok:aic=NA",14,35,16,28,31,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
66,3100,"Boomvalk",2153,98,68,TRUE,TRUE,"model2_basis","model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"model3_varianten_mislukt_fallback_naar_model2","model3_varianten_mislukt_fallback_naar_model2",NA,NA,NA,NA,"model3_overdisp:fout:Found zero or less counts for year 2, 5, 6, 7, 8, 9, 10, 12, 13, 14, 22, 23, 24 || model3_overdisp_serialcor:fout:Found zero or less counts for year 2, 5, 6, 7, 8, 9, 10, 12, 13, 14, 22, 23, 24 || model3_basis:fout:Found zero or less counts for year 2, 5, 6, 7, 8, 9, 10, 12, 13, 14, 22, 23, 24 || model2_basis:ok:aic=NA","model3_overdisp:fout:Found zero or less counts for year 25, 26, 27, 28, 29, 30, 31, 34, 35, 36, 37, 38, 39, 40 || model3_overdisp_serialcor:fout:Found zero or less counts for year 25, 26, 27, 28, 29, 30, 31, 34, 35, 36, 37, 38, 39, 40 || model3_basis:fout:Found zero or less counts for year 25, 26, 27, 28, 29, 30, 31, 34, 35, 36, 37, 38, 39, 40 || model2_basis:ok:aic=NA",12,27,7,21,23,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
67,3200,"Slechtvalk",2153,8,68,FALSE,TRUE,NA,"model3_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"geen_model","overdisp_varianten_mislukt_fallback_naar_basis","te_weinig_data_pre",NA,NA,NA,NA,"model3_overdisp:fout:Overdispersion apparently 0; consider setting overdisp=FALSE || model3_overdisp_serialcor:fout:Overdispersion apparently 0; consider setting overdisp=FALSE || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA",0,6,0,2,2,"vaste_voorkeurhierarchie_eerste_werkende_model","alleen_post_bruikbaar"
69,3670,"Patrijs",2153,19,68,TRUE,FALSE,"model2_basis",NA,FALSE,FALSE,FALSE,FALSE,NA,NA,"model3_varianten_mislukt_fallback_naar_model2","geen_model",NA,"te_weinig_data_post",NA,NA,"model3_overdisp:fout:Found zero or less counts for year 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 21, 22, 23, 25 || model3_overdisp_serialcor:fout:Found zero or less counts for year 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 21, 22, 23, 25 || model3_basis:fout:Found zero or less counts for year 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 21, 22, 23, 25 || model2_basis:ok:aic=NA",NA,11,1,7,1,8,"vaste_voorkeurhierarchie_eerste_werkende_model","alleen_pre_bruikbaar"
70,3700,"Kwartel",2153,5,68,FALSE,TRUE,NA,"model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"geen_model","model3_varianten_mislukt_fallback_naar_model2","te_weinig_data_pre",NA,NA,"Data ends with 1 years without positive observations.",NA,"model3_overdisp:fout:Found zero or less counts for year 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 19 || model3_overdisp_serialcor:fout:Found zero or less counts for year 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 19 || model3_basis:fout:Found zero or less counts for year 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 19 || model2_basis:ok:aic=NA",0,4,0,4,4,"vaste_voorkeurhierarchie_eerste_werkende_model","alleen_post_bruikbaar"
71,3940,"Gewone Fazant",2153,583,68,FALSE,TRUE,NA,"model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"geen_model","model3_varianten_mislukt_fallback_naar_model2","te_weinig_data_pre",NA,NA,"Data ends with 4 years without positive observations.",NA,"model3_overdisp:fout:Found zero or less counts for year 30, 31, 32, 34, 36, 37, 39, 40, 41, 42 || model3_overdisp_serialcor:fout:Found zero or less counts for year 30, 31, 32, 34, 36, 37, 39, 40, 41, 42 || model3_basis:fout:Found zero or less counts for year 30, 31, 32, 34, 36, 37, 39, 40, 41, 42 || model2_basis:ok:aic=NA",0,32,0,53,53,"vaste_voorkeurhierarchie_eerste_werkende_model","alleen_post_bruikbaar"
