"plot_id","jaar","oppervlakte_km2","plot_naam","kavel_nummer","in_hist_kern","in_analyse","geteld","referentie_oppervlakte_km2","oppervlakte_factor","analyse_reeks"
3513,1973,0.485,"Meijendel k 17a","17a",TRUE,TRUE,TRUE,0.57219326,1.17977991752577,"volledig_netwerk_1973_2025"
3529,1973,0.12,"Meijendel k 17b","17b",FALSE,TRUE,TRUE,0.22014556,1.83454633333333,"volledig_netwerk_1973_2025"
3534,1973,0.44,"Meijendel k 1a","1a",TRUE,TRUE,TRUE,0.42910686,0.975242863636364,"volledig_netwerk_1973_2025"
3505,1973,0.29,"Meijendel k 1b","1b",TRUE,TRUE,TRUE,0.29445564,1.01536427586207,"volledig_netwerk_1973_2025"
3523,1973,0.36,"Meijendel k 2","2",TRUE,TRUE,TRUE,0.35810495,0.994735972222222,"volledig_netwerk_1973_2025"
3504,1973,0.34,"Meijendel k 3","3",TRUE,TRUE,TRUE,0.31860243,0.937065970588235,"volledig_netwerk_1973_2025"
29459,1973,0.3837,"Meijendel k 31","31",FALSE,TRUE,FALSE,0.39178849,1.02108024498306,"volledig_netwerk_1973_2025"
3508,1973,0.365,"Meijendel k 32","32",FALSE,TRUE,TRUE,0.37302188,1.02197775342466,"volledig_netwerk_1973_2025"
3490,1973,0.305,"Meijendel k 33","33",FALSE,TRUE,TRUE,0.33959448,1.11342452459016,"volledig_netwerk_1973_2025"
3496,1973,0.175,"Meijendel k 34","34",FALSE,TRUE,TRUE,0.21211802,1.21210297142857,"volledig_netwerk_1973_2025"
3515,1973,0.215,"Meijendel k 35","35",FALSE,TRUE,TRUE,0.19137915,0.890135581395349,"volledig_netwerk_1973_2025"
3533,1973,0.505,"Meijendel k 36","36",FALSE,TRUE,TRUE,0.40029839,0.792670079207921,"volledig_netwerk_1973_2025"
3581,1973,0.21,"Meijendel k 4-5","4-5",TRUE,TRUE,TRUE,0.2709021,1.29001,"volledig_netwerk_1973_2025"
100425,1973,0.13,"Meijendel k 41","41",FALSE,TRUE,TRUE,0.18061456,1.38934276923077,"volledig_netwerk_1973_2025"
29457,1973,0.45,"Meijendel k 42","42",FALSE,TRUE,TRUE,0.39934582,0.887435155555556,"volledig_netwerk_1973_2025"
10626,1973,0.37,"Meijendel k 43","43",FALSE,TRUE,TRUE,0.3232999,0.873783513513513,"volledig_netwerk_1973_2025"
3507,1973,0.395,"Meijendel k 45","45",FALSE,TRUE,TRUE,0.39893068,1.00995108860759,"volledig_netwerk_1973_2025"
3500,1973,0.29,"Meijendel k 46","46",FALSE,TRUE,TRUE,0.29083889,1.00289272413793,"volledig_netwerk_1973_2025"
9917,1973,0.395,"Meijendel k 51","51",FALSE,TRUE,FALSE,0.40503516,1.02540546835443,"volledig_netwerk_1973_2025"
20247,1973,0.3,"Meijendel k 52","52",FALSE,TRUE,FALSE,0.28390529,0.946350966666667,"volledig_netwerk_1973_2025"
27371,1973,0.35,"Meijendel k 53","53",FALSE,TRUE,FALSE,0.44751061,1.27860174285714,"volledig_netwerk_1973_2025"
12381,1973,0.2365,"Meijendel k 54a","54a",FALSE,TRUE,FALSE,0.23652066,1.00008735729387,"volledig_netwerk_1973_2025"
12382,1973,0.0663,"Meijendel k 54b","54b",FALSE,TRUE,FALSE,0.06658184,1.00425098039216,"volledig_netwerk_1973_2025"
29455,1973,0.49,"Meijendel k 55","55",FALSE,TRUE,TRUE,0.46230733,0.943484346938776,"volledig_netwerk_1973_2025"
3521,1973,0.27,"Meijendel k 6","6",TRUE,TRUE,TRUE,0.28185771,1.04391744444444,"volledig_netwerk_1973_2025"
3522,1973,0.23,"Meijendel k 61","61",FALSE,TRUE,TRUE,0.19528551,0.849067434782609,"volledig_netwerk_1973_2025"
3520,1973,0.195,"Meijendel k 62","62",FALSE,TRUE,TRUE,0.2051323,1.05196051282051,"volledig_netwerk_1973_2025"
3509,1973,0.345,"Meijendel k 63","63",FALSE,TRUE,TRUE,0.33888858,0.982285739130435,"volledig_netwerk_1973_2025"
3516,1973,0.315,"Meijendel k 64","64",FALSE,TRUE,TRUE,0.30833684,0.978847111111111,"volledig_netwerk_1973_2025"
3518,1973,0.325,"Meijendel k 65","65",FALSE,TRUE,TRUE,0.30803665,0.947805076923077,"volledig_netwerk_1973_2025"
3503,1973,0.5769,"Meijendel k 66 HGC","66",FALSE,TRUE,FALSE,0.57690923,1.00001599930664,"volledig_netwerk_1973_2025"
3498,1973,0.32,"Meijendel k 7","7",TRUE,TRUE,TRUE,0.31891561,0.99661128125,"volledig_netwerk_1973_2025"
3501,1973,0.53,"Meijendel k 71","71",FALSE,TRUE,TRUE,0.48463054,0.914397245283019,"volledig_netwerk_1973_2025"
3526,1973,0.065,"Meijendel k 72","72",FALSE,TRUE,TRUE,0.08998431,1.384374,"volledig_netwerk_1973_2025"
3527,1973,0.48,"Meijendel k 73","73",FALSE,TRUE,TRUE,0.47182172,0.982961916666667,"volledig_netwerk_1973_2025"
3528,1973,0.125,"Meijendel k 74","74",FALSE,TRUE,TRUE,0.12519234,1.00153872,"volledig_netwerk_1973_2025"
3531,1973,0.47,"Meijendel k 75","75",FALSE,TRUE,FALSE,0.48348721,1.02869619148936,"volledig_netwerk_1973_2025"
3583,1973,0.0638,"Meijendel k 75a","75a",FALSE,TRUE,FALSE,0.06448681,1.01076504702194,"volledig_netwerk_1973_2025"
3532,1973,0.32,"Meijendel k 77","77",FALSE,TRUE,TRUE,0.33433729,1.04480403125,"volledig_netwerk_1973_2025"
20758,1973,0.255,"Meijendel k 78/79","78/79",FALSE,TRUE,FALSE,0.50079216,1.96389082352941,"volledig_netwerk_1973_2025"
3530,1973,0.46,"Meijendel k 8","8",TRUE,TRUE,TRUE,0.46368324,1.00800704347826,"volledig_netwerk_1973_2025"
3497,1973,0.49,"Meijendel k 83","83",FALSE,TRUE,FALSE,0.46461197,0.948187693877551,"volledig_netwerk_1973_2025"
3517,1973,0.2192,"Meijendel k 84","84",FALSE,TRUE,FALSE,0.21915317,0.999786359489051,"volledig_netwerk_1973_2025"
3510,1973,0.3732,"Meijendel k 85","85",FALSE,TRUE,FALSE,0.37324048,1.00010846730975,"volledig_netwerk_1973_2025"
3514,1973,0.4007,"Meijendel k 91 Voorlinden","91",FALSE,TRUE,FALSE,0.40069449,0.999986249064138,"volledig_netwerk_1973_2025"
3502,1974,0.445,"Meijendel k 10-12-76","10-12-76",TRUE,TRUE,TRUE,0.62196178,1.39766692134831,"volledig_netwerk_1973_2025"
3499,1974,0.1558,"Meijendel k 105 Hertenkamp","105",FALSE,TRUE,FALSE,0.15579624,0.999975866495507,"volledig_netwerk_1973_2025"
3519,1974,0.73,"Meijendel k 12a","12a",TRUE,TRUE,TRUE,0.70955652,0.971995232876712,"volledig_netwerk_1973_2025"
3511,1974,0.17,"Meijendel k 13","13",TRUE,TRUE,TRUE,0.14552799,0.856047,"volledig_netwerk_1973_2025"
3506,1974,0.535,"Meijendel k 13s","13s",TRUE,TRUE,TRUE,0.55621728,1.03965846728972,"volledig_netwerk_1973_2025"
3512,1974,0.38,"Meijendel k 14","14",TRUE,TRUE,TRUE,0.40580915,1.06791881578947,"volledig_netwerk_1973_2025"
3524,1974,0.3252,"Meijendel k 15","15",TRUE,TRUE,FALSE,0.31589047,0.97137290897909,"volledig_netwerk_1973_2025"
3525,1974,0.795,"Meijendel k 16","16",TRUE,TRUE,TRUE,0.38696592,0.48674958490566,"volledig_netwerk_1973_2025"
29456,1974,0.11,"Meijendel k 16s","16s",TRUE,TRUE,TRUE,0.12250244,1.11365854545455,"volledig_netwerk_1973_2025"
3513,1974,0.605,"Meijendel k 17a","17a",TRUE,TRUE,TRUE,0.57219326,0.945773983471074,"volledig_netwerk_1973_2025"
3529,1974,0.12,"Meijendel k 17b","17b",FALSE,TRUE,FALSE,0.22014556,1.83454633333333,"volledig_netwerk_1973_2025"
3534,1974,0.415,"Meijendel k 1a","1a",TRUE,TRUE,TRUE,0.42910686,1.03399243373494,"volledig_netwerk_1973_2025"
3505,1974,0.29,"Meijendel k 1b","1b",TRUE,TRUE,TRUE,0.29445564,1.01536427586207,"volledig_netwerk_1973_2025"
3523,1974,0.35,"Meijendel k 2","2",TRUE,TRUE,TRUE,0.35810495,1.023157,"volledig_netwerk_1973_2025"
3504,1974,0.315,"Meijendel k 3","3",TRUE,TRUE,TRUE,0.31860243,1.01143628571429,"volledig_netwerk_1973_2025"
29459,1974,0.3837,"Meijendel k 31","31",FALSE,TRUE,FALSE,0.39178849,1.02108024498306,"volledig_netwerk_1973_2025"
3508,1974,0.425,"Meijendel k 32","32",FALSE,TRUE,TRUE,0.37302188,0.87769854117647,"volledig_netwerk_1973_2025"
3490,1974,0.305,"Meijendel k 33","33",FALSE,TRUE,TRUE,0.33959448,1.11342452459016,"volledig_netwerk_1973_2025"
3496,1974,0.215,"Meijendel k 34","34",FALSE,TRUE,TRUE,0.21211802,0.986595441860465,"volledig_netwerk_1973_2025"
3515,1974,0.215,"Meijendel k 35","35",FALSE,TRUE,TRUE,0.19137915,0.890135581395349,"volledig_netwerk_1973_2025"
3533,1974,0.505,"Meijendel k 36","36",FALSE,TRUE,TRUE,0.40029839,0.792670079207921,"volledig_netwerk_1973_2025"
3581,1974,0.28,"Meijendel k 4-5","4-5",TRUE,TRUE,TRUE,0.2709021,0.9675075,"volledig_netwerk_1973_2025"
100425,1974,0.13,"Meijendel k 41","41",FALSE,TRUE,TRUE,0.18061456,1.38934276923077,"volledig_netwerk_1973_2025"
29457,1974,0.45,"Meijendel k 42","42",FALSE,TRUE,TRUE,0.39934582,0.887435155555556,"volledig_netwerk_1973_2025"
10626,1974,0.37,"Meijendel k 43","43",FALSE,TRUE,TRUE,0.3232999,0.873783513513513,"volledig_netwerk_1973_2025"
3507,1974,0.395,"Meijendel k 45","45",FALSE,TRUE,TRUE,0.39893068,1.00995108860759,"volledig_netwerk_1973_2025"
3500,1974,0.3,"Meijendel k 46","46",FALSE,TRUE,TRUE,0.29083889,0.969462966666667,"volledig_netwerk_1973_2025"
9917,1974,0.395,"Meijendel k 51","51",FALSE,TRUE,FALSE,0.40503516,1.02540546835443,"volledig_netwerk_1973_2025"
20247,1974,0.3,"Meijendel k 52","52",FALSE,TRUE,TRUE,0.28390529,0.946350966666667,"volledig_netwerk_1973_2025"
27371,1974,0.35,"Meijendel k 53","53",FALSE,TRUE,FALSE,0.44751061,1.27860174285714,"volledig_netwerk_1973_2025"
12381,1974,0.2365,"Meijendel k 54a","54a",FALSE,TRUE,FALSE,0.23652066,1.00008735729387,"volledig_netwerk_1973_2025"
12382,1974,0.0663,"Meijendel k 54b","54b",FALSE,TRUE,FALSE,0.06658184,1.00425098039216,"volledig_netwerk_1973_2025"
29455,1974,0.49,"Meijendel k 55","55",FALSE,TRUE,TRUE,0.46230733,0.943484346938776,"volledig_netwerk_1973_2025"
3521,1974,0.275,"Meijendel k 6","6",TRUE,TRUE,TRUE,0.28185771,1.02493712727273,"volledig_netwerk_1973_2025"
3522,1974,0.21,"Meijendel k 61","61",FALSE,TRUE,TRUE,0.19528551,0.929931,"volledig_netwerk_1973_2025"
3520,1974,0.215,"Meijendel k 62","62",FALSE,TRUE,TRUE,0.2051323,0.954103720930233,"volledig_netwerk_1973_2025"
3509,1974,0.355,"Meijendel k 63","63",FALSE,TRUE,TRUE,0.33888858,0.954615718309859,"volledig_netwerk_1973_2025"
3516,1974,0.295,"Meijendel k 64","64",FALSE,TRUE,TRUE,0.30833684,1.04520962711864,"volledig_netwerk_1973_2025"
3518,1974,0.325,"Meijendel k 65","65",FALSE,TRUE,TRUE,0.30803665,0.947805076923077,"volledig_netwerk_1973_2025"
3503,1974,0.5769,"Meijendel k 66 HGC","66",FALSE,TRUE,FALSE,0.57690923,1.00001599930664,"volledig_netwerk_1973_2025"
3498,1974,0.325,"Meijendel k 7","7",TRUE,TRUE,TRUE,0.31891561,0.9812788,"volledig_netwerk_1973_2025"
3501,1974,0.495,"Meijendel k 71","71",FALSE,TRUE,TRUE,0.48463054,0.979051595959596,"volledig_netwerk_1973_2025"
3526,1974,0.75,"Meijendel k 72","72",FALSE,TRUE,TRUE,0.08998431,0.11997908,"volledig_netwerk_1973_2025"
3527,1974,0.505,"Meijendel k 73","73",FALSE,TRUE,TRUE,0.47182172,0.934300435643564,"volledig_netwerk_1973_2025"
3528,1974,0.105,"Meijendel k 74","74",FALSE,TRUE,TRUE,0.12519234,1.192308,"volledig_netwerk_1973_2025"
3531,1974,0.47,"Meijendel k 75","75",FALSE,TRUE,TRUE,0.48348721,1.02869619148936,"volledig_netwerk_1973_2025"
3583,1974,0.0638,"Meijendel k 75a","75a",FALSE,TRUE,FALSE,0.06448681,1.01076504702194,"volledig_netwerk_1973_2025"
3532,1974,0.34,"Meijendel k 77","77",FALSE,TRUE,TRUE,0.33433729,0.983344970588235,"volledig_netwerk_1973_2025"
20758,1974,0.255,"Meijendel k 78/79","78/79",FALSE,TRUE,FALSE,0.50079216,1.96389082352941,"volledig_netwerk_1973_2025"
3530,1974,0.48,"Meijendel k 8","8",TRUE,TRUE,TRUE,0.46368324,0.96600675,"volledig_netwerk_1973_2025"
3497,1974,0.49,"Meijendel k 83","83",FALSE,TRUE,FALSE,0.46461197,0.948187693877551,"volledig_netwerk_1973_2025"
3517,1974,0.2192,"Meijendel k 84","84",FALSE,TRUE,FALSE,0.21915317,0.999786359489051,"volledig_netwerk_1973_2025"
3510,1974,0.3732,"Meijendel k 85","85",FALSE,TRUE,FALSE,0.37324048,1.00010846730975,"volledig_netwerk_1973_2025"
3514,1974,0.4007,"Meijendel k 91 Voorlinden","91",FALSE,TRUE,FALSE,0.40069449,0.999986249064138,"volledig_netwerk_1973_2025"
3502,1975,0.445,"Meijendel k 10-12-76","10-12-76",TRUE,TRUE,TRUE,0.62196178,1.39766692134831,"volledig_netwerk_1973_2025"
3499,1975,0.1558,"Meijendel k 105 Hertenkamp","105",FALSE,TRUE,FALSE,0.15579624,0.999975866495507,"volledig_netwerk_1973_2025"
3519,1975,0.73,"Meijendel k 12a","12a",TRUE,TRUE,TRUE,0.70955652,0.971995232876712,"volledig_netwerk_1973_2025"
3511,1975,0.17,"Meijendel k 13","13",TRUE,TRUE,TRUE,0.14552799,0.856047,"volledig_netwerk_1973_2025"
3506,1975,0.535,"Meijendel k 13s","13s",TRUE,TRUE,TRUE,0.55621728,1.03965846728972,"volledig_netwerk_1973_2025"
3512,1975,0.38,"Meijendel k 14","14",TRUE,TRUE,TRUE,0.40580915,1.06791881578947,"volledig_netwerk_1973_2025"
3524,1975,0.3252,"Meijendel k 15","15",TRUE,TRUE,FALSE,0.31589047,0.97137290897909,"volledig_netwerk_1973_2025"
3525,1975,0.795,"Meijendel k 16","16",TRUE,TRUE,TRUE,0.38696592,0.48674958490566,"volledig_netwerk_1973_2025"
29456,1975,0.11,"Meijendel k 16s","16s",TRUE,TRUE,TRUE,0.12250244,1.11365854545455,"volledig_netwerk_1973_2025"
3513,1975,0.605,"Meijendel k 17a","17a",TRUE,TRUE,TRUE,0.57219326,0.945773983471074,"volledig_netwerk_1973_2025"
3529,1975,0.12,"Meijendel k 17b","17b",FALSE,TRUE,FALSE,0.22014556,1.83454633333333,"volledig_netwerk_1973_2025"
3534,1975,0.415,"Meijendel k 1a","1a",TRUE,TRUE,TRUE,0.42910686,1.03399243373494,"volledig_netwerk_1973_2025"
