"soort_id","euring_code","soort_naam","n_getelde_cellen","n_positieve_cellen","n_jaren_geteld","pre_model_gelukt","post_model_gelukt","pre_model","post_model","pre_model_overdispersion","post_model_overdispersion","pre_model_serial_correlation","post_model_serial_correlation","pre_model_aic","post_model_aic","pre_model_fallback_reden","post_model_fallback_reden","pre_fout","post_fout","pre_waarschuwingen","post_waarschuwingen","pre_modelpogingen","post_modelpogingen","pre_positieve_jaren","post_positieve_jaren","pre_actieve_plots","post_actieve_plots","n_actieve_plots","modelselectie_methode","analyse_categorie"
40,1940,"Slobeend",2153,469,68,TRUE,TRUE,"model3_overdisp","model2_basis",TRUE,FALSE,FALSE,FALSE,NA,NA,"voorkeursmodel_gekozen","model3_varianten_mislukt_fallback_naar_model2",NA,NA,NA,"Data ends with 1 years without positive observations.","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","model3_overdisp:fout:Found zero or less counts for year 22, 23, 24, 28, 42 || model3_overdisp_serialcor:fout:Found zero or less counts for year 22, 23, 24, 28, 42 || model3_basis:fout:Found zero or less counts for year 22, 23, 24, 28, 42 || model2_basis:ok:aic=NA",26,37,27,21,30,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
42,1980,"Tafeleend",2153,867,68,TRUE,TRUE,"model3_overdisp","model3_overdisp",TRUE,TRUE,FALSE,FALSE,NA,NA,"voorkeursmodel_gekozen","voorkeursmodel_gekozen",NA,NA,NA,NA,"model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA",25,42,22,27,28,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
44,2030,"Kuifeend",2153,1028,68,TRUE,TRUE,"model3_overdisp","model3_overdisp",TRUE,TRUE,FALSE,FALSE,NA,NA,"voorkeursmodel_gekozen","voorkeursmodel_gekozen",NA,NA,NA,NA,"model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA",26,42,27,29,31,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
64,3040,"Torenvalk",2153,164,68,TRUE,TRUE,"model2_basis","model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"model3_varianten_mislukt_fallback_naar_model2","model3_varianten_mislukt_fallback_naar_model2",NA,NA,NA,NA,"model3_overdisp:fout:Found zero or less counts for year 6, 7, 8, 9, 10, 11, 12, 13, 15, 23, 24, 25 || model3_overdisp_serialcor:fout:Found zero or less counts for year 6, 7, 8, 9, 10, 11, 12, 13, 15, 23, 24, 25 || model3_basis:fout:Found zero or less counts for year 6, 7, 8, 9, 10, 11, 12, 13, 15, 23, 24, 25 || model2_basis:ok:aic=NA","model3_overdisp:fout:Found zero or less counts for year 24, 27, 28, 30, 31, 32, 35 || model3_overdisp_serialcor:fout:Found zero or less counts for year 24, 27, 28, 30, 31, 32, 35 || model3_basis:fout:Found zero or less counts for year 24, 27, 28, 30, 31, 32, 35 || model2_basis:ok:aic=NA",14,35,16,28,31,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
66,3100,"Boomvalk",2153,98,68,TRUE,TRUE,"model2_basis","model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"model3_varianten_mislukt_fallback_naar_model2","model3_varianten_mislukt_fallback_naar_model2",NA,NA,NA,NA,"model3_overdisp:fout:Found zero or less counts for year 2, 5, 6, 7, 8, 9, 10, 12, 13, 14, 22, 23, 24 || model3_overdisp_serialcor:fout:Found zero or less counts for year 2, 5, 6, 7, 8, 9, 10, 12, 13, 14, 22, 23, 24 || model3_basis:fout:Found zero or less counts for year 2, 5, 6, 7, 8, 9, 10, 12, 13, 14, 22, 23, 24 || model2_basis:ok:aic=NA","model3_overdisp:fout:Found zero or less counts for year 25, 26, 27, 28, 29, 30, 31, 34, 35, 36, 37, 38, 39, 40 || model3_overdisp_serialcor:fout:Found zero or less counts for year 25, 26, 27, 28, 29, 30, 31, 34, 35, 36, 37, 38, 39, 40 || model3_basis:fout:Found zero or less counts for year 25, 26, 27, 28, 29, 30, 31, 34, 35, 36, 37, 38, 39, 40 || model2_basis:ok:aic=NA",12,27,7,21,23,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
72,4070,"Waterral",2153,268,68,TRUE,TRUE,"model2_basis","model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"model3_varianten_mislukt_fallback_naar_model2","model3_varianten_mislukt_fallback_naar_model2",NA,NA,NA,NA,"model3_overdisp:fout:Found zero or less counts for year 2, 4, 5, 6, 9, 10, 19 || model3_overdisp_serialcor:fout:Found zero or less counts for year 2, 4, 5, 6, 9, 10, 19 || model3_basis:fout:Found zero or less counts for year 2, 4, 5, 6, 9, 10, 19 || model2_basis:ok:aic=NA","model3_overdisp:fout:Found zero or less counts for year 8 || model3_overdisp_serialcor:fout:Found zero or less counts for year 8 || model3_basis:fout:Found zero or less counts for year 8 || model2_basis:ok:aic=NA",17,41,9,24,24,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
77,4240,"Waterhoen",2153,802,68,TRUE,TRUE,"model3_overdisp","model3_overdisp",TRUE,TRUE,FALSE,FALSE,NA,NA,"voorkeursmodel_gekozen","voorkeursmodel_gekozen",NA,NA,NA,"Overdispersion 1.0 <1; consider setting overdisp=FALSE","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA",26,42,28,36,41,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
78,4290,"Meerkoet",2153,1307,68,TRUE,TRUE,"model3_overdisp","model3_overdisp",TRUE,TRUE,FALSE,FALSE,NA,NA,"voorkeursmodel_gekozen","voorkeursmodel_gekozen",NA,NA,NA,NA,"model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA",26,42,28,36,39,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
80,4500,"Scholekster",2153,416,68,TRUE,TRUE,"model3_overdisp","model2_basis",TRUE,FALSE,FALSE,FALSE,NA,NA,"voorkeursmodel_gekozen","model3_varianten_mislukt_fallback_naar_model2",NA,NA,"Overdispersion 0.9 <1; consider setting overdisp=FALSE","Data ends with 4 years without positive observations.","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","model3_overdisp:fout:Found zero or less counts for year 23, 24, 29, 30, 39, 40, 41, 42 || model3_overdisp_serialcor:fout:Found zero or less counts for year 23, 24, 29, 30, 39, 40, 41, 42 || model3_basis:fout:Found zero or less counts for year 23, 24, 29, 30, 39, 40, 41, 42 || model2_basis:ok:aic=NA",26,34,34,34,43,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
84,4690,"Kleine Plevier",2153,89,68,TRUE,TRUE,"model2_basis","model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"model3_varianten_mislukt_fallback_naar_model2","model3_varianten_mislukt_fallback_naar_model2",NA,NA,"Data ends with 9 years without positive observations.",NA,"model3_overdisp:fout:Found zero or less counts for year 6, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26 || model3_overdisp_serialcor:fout:Found zero or less counts for year 6, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26 || model3_basis:fout:Found zero or less counts for year 6, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26 || model2_basis:ok:aic=NA","model3_overdisp:fout:Found zero or less counts for year 7, 9, 11, 12 || model3_overdisp_serialcor:fout:Found zero or less counts for year 7, 9, 11, 12 || model3_basis:fout:Found zero or less counts for year 7, 9, 11, 12 || model2_basis:ok:aic=NA",8,26,5,15,19,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
