"soort_id","euring_code","soort_naam","analyse_categorie","basisjaar_index_gebrugged","basisjaar_toelichting","eerste_jaar","laatste_jaar","n_jaren_index","overall_trend_pct_per_jaar","overall_p","overall_r2","overall_uitleg","trend_pre_pct_per_jaar","trend_pre_p","trend_pre_r2","trend_pre_uitleg","trend_post_pct_per_jaar","trend_post_p","trend_post_r2","trend_post_uitleg","trendduiding_type","brugfactor","brugmethode"
64,3040,"Torenvalk","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,-7.40983899069918,5.52943724944896e-21,0.740092579116753,"sterke afname",-9.3219515718078,9.94941876629236e-09,0.75197501617173,"sterke afname",-7.80741751441543,9.93635766260098e-07,0.454281895927564,"sterke afname","eigen_trendduiding_op_basis_van_trim_index",0.13629643015553,"1981_1983_naar_1984_1986"
66,3100,"Boomvalk","brugbare_tijdreeks",1959,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1959,2025,66,-5.61842637961649,7.23217227773364e-13,0.578806778767723,"sterke afname",6.20513466112083,0.018045129153779,0.249103994806204,"sterke toename",-10.3833981134394,2.66207506614407e-14,0.78628862812409,"sterke afname","eigen_trendduiding_op_basis_van_trim_index",0.449343900455686,"1981_1983_naar_1984_1986"
72,4070,"Waterral","brugbare_tijdreeks",1960,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1960,2025,66,5.06021848501788,5.53656909055851e-09,0.414382531038174,"sterke toename",16.5340087255872,0.000860207566586704,0.403056884377882,"sterke toename",-0.274037947976269,0.683739908475588,0.00419200517113056,"stabiel","eigen_trendduiding_op_basis_van_trim_index",3.87368917389285,"1981_1983_naar_1984_1986"
77,4240,"Waterhoen","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,-2.32778989720553,6.12135985356886e-12,0.514044913703924,"matige afname",-1.04298973459187,0.134604666339217,0.09082808138385,"onzeker",-4.3539452086698,2.96087773539456e-09,0.589539977204022,"matige afname","eigen_trendduiding_op_basis_van_trim_index",1.85719710045279,"1981_1983_naar_1984_1986"
78,4290,"Meerkoet","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,-0.206469756393746,0.38920261280677,0.0112553373128106,"stabiel",4.81605310192832,2.93724046570359e-06,0.604801756954509,"matige toename",-2.35098118765026,3.57874872017153e-14,0.765559886231111,"matige afname","eigen_trendduiding_op_basis_van_trim_index",5.17211689422229,"1981_1983_naar_1984_1986"
80,4500,"Scholekster","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,-7.50278924491659,4.23352171324009e-17,0.659755526928901,"sterke afname",2.31108696090954,0.202672069215202,0.0667109905042278,"onzeker",-12.9685889271412,2.69961597165005e-15,0.793803866602984,"sterke afname","eigen_trendduiding_op_basis_van_trim_index",0.775040111755361,"1981_1983_naar_1984_1986"
84,4690,"Kleine Plevier","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,56,2.73829979693498,0.0501372060165121,0.0972374077673244,"onzeker",-27.1166006162128,0.000827971292824379,0.771314603817318,"sterke afname",7.0557514508274,0.0192364652550539,0.180594184138586,"sterke toename","eigen_trendduiding_op_basis_van_trim_index",1,"fallback_1"
88,4930,"Kievit","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,-3.18155784081317,1.98012461731252e-12,0.53017569474917,"matige afname",-5.94592220064982,4.31871829838896e-10,0.80850966099007,"sterke afname",0.283957158340664,0.69201570521662,0.00396424031289992,"stabiel","eigen_trendduiding_op_basis_van_trim_index",0.52295059818713,"1981_1983_naar_1984_1986"
94,5290,"Houtsnip","brugbare_tijdreeks",1965,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1965,2025,61,-3.25892357594711,3.32751817994343e-12,0.563206657608342,"matige afname",5.3998620086527,0.000152700591674749,0.579677457236126,"sterke toename",-3.01891975016508,2.83677690813893e-05,0.358154475846168,"matige afname","eigen_trendduiding_op_basis_van_trim_index",2.61771860653453,"1981_1983_naar_1984_1986"
97,5410,"Wulp","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,-18.1105059193524,1.87402811143341e-25,0.814307413264355,"sterke afname",-0.125279160563252,0.844442411770103,0.00163658479445007,"stabiel",-28.2999082798895,8.85678499984922e-24,0.927058252621794,"sterke afname","eigen_trendduiding_op_basis_van_trim_index",0.797385659826857,"1981_1983_naar_1984_1986"
98,5460,"Tureluur","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,56,2.03904003179607,0.0419943831184232,0.161282409921719,"matige toename",-16.9566720781759,0.0103674917427585,0.63273662863004,"sterke afname",-1.84336114076089,0.271857617140684,0.079829530041455,"onzeker","eigen_trendduiding_op_basis_van_trim_index",1,"fallback_1"
106,5900,"Stormmeeuw","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,-9.66348012007812,4.21964133530073e-08,0.401540997239191,"sterke afname",11.4569672389921,8.61256656777826e-10,0.797279117064319,"sterke toename",-23.4873311221153,1.40298142473284e-10,0.717557395460904,"sterke afname","eigen_trendduiding_op_basis_van_trim_index",18.478977449566,"1981_1983_naar_1984_1986"
107,5910,"Kleine Mantelmeeuw","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,-21.7636032042021,2.28304966094567e-13,0.565161961609634,"sterke afname",21.9067862997167,3.29293793933251e-08,0.726319160170229,"sterke toename",-31.5074372164237,7.97040919366115e-08,0.526560689749029,"sterke afname","eigen_trendduiding_op_basis_van_trim_index",159.024827815411,"1981_1983_naar_1984_1986"
108,5920,"Zilvermeeuw","brugbare_tijdreeks",1978,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1978,2025,48,-32.812626716746,8.62080478191273e-45,0.986678720369501,"sterke afname",13.9593356148423,0.000303317655261643,0.971695133782523,"sterke toename",-34.6713493710508,2.86444766659311e-62,0.999071177696113,"sterke afname","eigen_trendduiding_op_basis_van_trim_index",2.55206004048651,"1981_1983_naar_1984_1986"
