"soort_id","euring_code","soort_naam","periode","jaar","basisjaar_index_100","basisjaar_toelichting","trim_index","trim_se","model_config","model_overdispersion","model_serial_correlation","model_warnings","index_100","index_gebrugged","brugfactor","brugmethode"
1,70,"Dodaars","1958-1983",1977,1958,"index_100 = eerste analysejaar vanaf eerste positieve jaar binnen deze modelperiode",1.14736859323222,0.381865095944936,"model3_overdisp",TRUE,FALSE,NA,114.736859323222,114.736859323222,1.64849582767863,"1981_1983_naar_1984_1986"
1,70,"Dodaars","1958-1983",1978,1958,"index_100 = eerste analysejaar vanaf eerste positieve jaar binnen deze modelperiode",1.06358396544875,0.355007692335098,"model3_overdisp",TRUE,FALSE,NA,106.358396544875,106.358396544875,1.64849582767863,"1981_1983_naar_1984_1986"
1,70,"Dodaars","1958-1983",1979,1958,"index_100 = eerste analysejaar vanaf eerste positieve jaar binnen deze modelperiode",1.31338810865249,0.419797984362647,"model3_overdisp",TRUE,FALSE,NA,131.338810865249,131.338810865249,1.64849582767863,"1981_1983_naar_1984_1986"
1,70,"Dodaars","1958-1983",1980,1958,"index_100 = eerste analysejaar vanaf eerste positieve jaar binnen deze modelperiode",1.08232139068172,0.359894491074365,"model3_overdisp",TRUE,FALSE,NA,108.232139068172,108.232139068172,1.64849582767863,"1981_1983_naar_1984_1986"
1,70,"Dodaars","1958-1983",1981,1958,"index_100 = eerste analysejaar vanaf eerste positieve jaar binnen deze modelperiode",1.30817904830796,0.414575843133858,"model3_overdisp",TRUE,FALSE,NA,130.817904830796,130.817904830796,1.64849582767863,"1981_1983_naar_1984_1986"
1,70,"Dodaars","1958-1983",1982,1958,"index_100 = eerste analysejaar vanaf eerste positieve jaar binnen deze modelperiode",0.735053248332733,0.263432779537563,"model3_overdisp",TRUE,FALSE,NA,73.5053248332732,73.5053248332732,1.64849582767863,"1981_1983_naar_1984_1986"
1,70,"Dodaars","1958-1983",1983,1958,"index_100 = eerste analysejaar vanaf eerste positieve jaar binnen deze modelperiode",0.695651409274402,0.252801575500124,"model3_overdisp",TRUE,FALSE,NA,69.5651409274402,69.5651409274402,1.64849582767863,"1981_1983_naar_1984_1986"
1,70,"Dodaars","1984-2025",1984,1984,"index_100 = eerste analysejaar vanaf eerste positieve jaar binnen deze modelperiode",1,0,"model3_overdisp",TRUE,FALSE,NA,100,164.849582767863,1.64849582767863,"1981_1983_naar_1984_1986"
1,70,"Dodaars","1984-2025",1985,1984,"index_100 = eerste analysejaar vanaf eerste positieve jaar binnen deze modelperiode",0.341661918904091,0.163338133072532,"model3_overdisp",TRUE,FALSE,NA,34.1661918904091,56.322824779007,1.64849582767863,"1981_1983_naar_1984_1986"
1,70,"Dodaars","1984-2025",1986,1984,"index_100 = eerste analysejaar vanaf eerste positieve jaar binnen deze modelperiode",0.319782204841079,0.153206841057311,"model3_overdisp",TRUE,FALSE,NA,31.9782204841079,52.7159630446394,1.64849582767863,"1981_1983_naar_1984_1986"
