"groep_100","groep_titel","soort_id","euring_code","soort_naam","engelse_naam","msi_variant"
300,"Vogels van pionierbegroeiingen",224,15600,"Kauw","jackdaw","robuust"
300,"Vogels van pionierbegroeiingen",88,4930,"Kievit","lapwing","robuust"
300,"Vogels van pionierbegroeiingen",84,4690,"Kleine Plevier","little ringed plover","robuust"
300,"Vogels van pionierbegroeiingen",70,3700,"Kwartel","Quail","robuust"
300,"Vogels van pionierbegroeiingen",80,4500,"Scholekster","oystercatcher","robuust"
300,"Vogels van pionierbegroeiingen",106,5900,"Stormmeeuw","common gull","robuust"
300,"Vogels van pionierbegroeiingen",173,11460,"Tapuit","Wheatear","robuust"
300,"Vogels van pionierbegroeiingen",150,9760,"Veldleeuwerik","Skylark","robuust"
300,"Vogels van pionierbegroeiingen",116,6150,"Visdief","Common Tern","robuust"
300,"Vogels van pionierbegroeiingen",162,10201,"Witte Kwikstaart","White Wagtail","robuust"
300,"Vogels van pionierbegroeiingen",97,5410,"Wulp","Curlew","robuust"
400,"Vogels van open heide",29,1730,"Bergeend","Common Shelduck","robuust"
400,"Vogels van open heide",156,10110,"Graspieper","meadow pipit","robuust"
400,"Vogels van open heide",88,4930,"Kievit","lapwing","robuust"
400,"Vogels van open heide",70,3700,"Kwartel","Quail","robuust"
400,"Vogels van open heide",80,4500,"Scholekster","oystercatcher","robuust"
400,"Vogels van open heide",98,5460,"Tureluur","Redshank","robuust"
400,"Vogels van open heide",150,9760,"Veldleeuwerik","Skylark","robuust"
400,"Vogels van open heide",97,5410,"Wulp","Curlew","robuust"
500,"Weidevogels",156,10110,"Graspieper","meadow pipit","robuust"
500,"Weidevogels",88,4930,"Kievit","lapwing","robuust"
500,"Weidevogels",34,1820,"Krakeend","gadwall","robuust"
500,"Weidevogels",70,3700,"Kwartel","Quail","robuust"
500,"Weidevogels",80,4500,"Scholekster","oystercatcher","robuust"
500,"Weidevogels",40,1940,"Slobeend","shoveler","robuust"
500,"Weidevogels",98,5460,"Tureluur","Redshank","robuust"
500,"Weidevogels",150,9760,"Veldleeuwerik","Skylark","robuust"
500,"Weidevogels",116,6150,"Visdief","Common Tern","robuust"
500,"Weidevogels",36,1860,"Wilde Eend","mallard","robuust"
500,"Weidevogels",35,1840,"Wintertaling","Teal","robuust"
500,"Weidevogels",97,5410,"Wulp","Curlew","robuust"
500,"Weidevogels",39,1910,"Zomertaling","Garganey","robuust"
600,"Struweelvogels",168,11060,"Blauwborst","bluethroat","robuust"
600,"Struweelvogels",187,12500,"Bosrietzanger","marsh warbler","robuust"
600,"Struweelvogels",192,12740,"Braamsluiper","lesser whitethroat","robuust"
600,"Struweelvogels",200,13120,"Fitis","willow warbler","robuust"
600,"Struweelvogels",71,3940,"Gewone Fazant","pheasant","robuust"
600,"Struweelvogels",246,17100,"Goudvink","bullfinch","robuust"
600,"Struweelvogels",193,12750,"Grasmus","whitethroat","robuust"
600,"Struweelvogels",165,10840,"Heggenmus","dunnock","robuust"
600,"Struweelvogels",239,16600,"Kneu","common linnet","robuust"
600,"Struweelvogels",209,14420,"Matkop","Willow Tit","robuust"
600,"Struweelvogels",175,11870,"Merel","blackbird","robuust"
600,"Struweelvogels",167,11040,"Nachtegaal","nightingale","robuust"
600,"Struweelvogels",251,18770,"Rietgors","reed bunting","robuust"
600,"Struweelvogels",166,10990,"Roodborst","robin","robuust"
600,"Struweelvogels",172,11390,"Roodborsttapuit","stonechat","robuust"
600,"Struweelvogels",190,12590,"Spotvogel","Icterine Warbler","robuust"
600,"Struweelvogels",182,12360,"Sprinkhaanrietzanger","grasshopper warbler","robuust"
600,"Struweelvogels",207,14370,"Staartmees","long-tailed tit","robuust"
600,"Struweelvogels",125,6870,"Tortelduif","turtle dove","robuust"
600,"Struweelvogels",194,12760,"Tuinfluiter","garden warbler","robuust"
600,"Struweelvogels",164,10660,"Winterkoning","wren","robuust"
600,"Struweelvogels",177,12000,"Zanglijster","song thrush","robuust"
600,"Struweelvogels",195,12770,"Zwartkop","blackcap","robuust"
700,"Bosrandvogels",5,720,"Aalscholver","Cormorant","robuust"
700,"Bosrandvogels",148,9740,"Boomleeuwerik","woodlark","robuust"
700,"Bosrandvogels",155,10090,"Boompieper","tree pipit","robuust"
700,"Bosrandvogels",187,12500,"Bosrietzanger","marsh warbler","robuust"
700,"Bosrandvogels",192,12740,"Braamsluiper","lesser whitethroat","robuust"
700,"Bosrandvogels",180,12200,"Cetti's Zanger","Cetti's warbler","robuust"
700,"Bosrandvogels",223,15490,"Ekster","magpie","robuust"
