"groep_100","groep_titel","eerste_jaar","laatste_jaar","gemiddeld_n_soorten","trend_pct_per_jaar","trend_p","trend_r2","trend_uitleg"
100,"Watervogels",1997,2022,15,-0.0689747777060434,0.873686106789084,0.00107466822082379,"stabiel"
200,"Rietvogels",1997,2022,7.92307692307692,-1.66956258452462,0.0100628759197109,0.245467472690831,"lichte afname"
300,"Vogels van pionierbegroeiingen",1997,2022,9.34615384615385,1.00723786144452,0.284164864059489,0.0476245383633971,"onzeker"
400,"Vogels van open heide",1997,2022,3.76923076923077,-1.92873330208394,0.0313394178073767,0.178883091390971,"lichte afname"
500,"Weidevogels",1997,2022,6.65384615384615,-1.55094283902029,0.00185212547312208,0.337657878069035,"lichte afname"
600,"Struweelvogels",1997,2022,21.3076923076923,-1.13483812123215,0.00798618387890224,0.258590728400298,"lichte afname"
700,"Bosrandvogels",1997,2022,18.5384615384615,0.462030036591643,0.104513231464573,0.106038202891986,"stabiel"
800,"Bosvogels",1997,2022,27.7692307692308,1.44997531119393,2.36466947868573e-05,0.531986232802391,"lichte toename"
900,"Vogels van bebouwing/overige",1997,2022,5.30769230769231,-1.37230849981435,0.060699311041453,0.138978688012935,"onzeker"
