plot_id,jaar,bron,klasse,area_m2,pct
3519,2022,CBS_NBBG2022,Hoofdweg,7702.973597425971,1.0856039498018257
3519,2022,CBS_NBBG2022,Open droog natuurlijk terrein,591863.82767975,83.41320412790611
3519,2022,CBS_NBBG2022,Overig binnenwater,15975.017199518159,2.2514086995889753
3520,2022,CBS_NBBG2022,Bos,134493.52672765788,65.56428463340087
3520,2022,CBS_NBBG2022,Hoofdweg,1025.1338095903307,0.4997427498157886
3520,2022,CBS_NBBG2022,Open droog natuurlijk terrein,69613.64202606214,33.93597261678333
3521,2022,CBS_NBBG2022,Bos,20964.363265718708,7.437924282340025
3521,2022,CBS_NBBG2022,Hoofdweg,5595.336633637846,1.9851635696112744
3521,2022,CBS_NBBG2022,Open droog natuurlijk terrein,224432.688576301,79.62623633994247
3521,2022,CBS_NBBG2022,Overig binnenwater,30865.324374346972,10.95067580810623
3522,2022,CBS_NBBG2022,Bos,4352.03674761211,2.2285508183736877
3522,2022,CBS_NBBG2022,Open droog natuurlijk terrein,190933.46949846318,97.77144918162631
3523,2022,CBS_NBBG2022,Bos,13321.522855967643,3.720005249764866
3523,2022,CBS_NBBG2022,Hoofdweg,2920.605302557952,0.8155724518491999
3523,2022,CBS_NBBG2022,Open droog natuurlijk terrein,241991.34913843,67.57553914261202
3523,2022,CBS_NBBG2022,Overig binnenwater,99871.47045304206,27.888883155773907
3524,2022,CBS_NBBG2022,Open droog natuurlijk terrein,329291.0724081812,98.14800079612785
3524,2022,CBS_NBBG2022,Overig binnenwater,6213.542802659104,1.8519992038721562
3525,2022,CBS_NBBG2022,Bos,44030.25153406518,11.378327875122883
3525,2022,CBS_NBBG2022,Open droog natuurlijk terrein,308215.6659567823,79.6493043150651
3525,2022,CBS_NBBG2022,Overig binnenwater,34720.005949723665,8.97236780981203
3526,2022,CBS_NBBG2022,Bos,86479.3138315217,96.10487778719204
3526,2022,CBS_NBBG2022,Open droog natuurlijk terrein,3504.9989554062277,3.8951222128079652
3527,2022,CBS_NBBG2022,Bos,61035.99857873027,12.936241853336936
3527,2022,CBS_NBBG2022,Hoofdweg,794.4356800797555,0.16837624244282032
3527,2022,CBS_NBBG2022,Open droog natuurlijk terrein,409991.2839087881,86.89538190422024
3528,2022,CBS_NBBG2022,Bos,896.4503798332737,0.7160584886304953
3528,2022,CBS_NBBG2022,Hoofdweg,1572.7764460985154,1.2562880782719963
3528,2022,CBS_NBBG2022,Open droog natuurlijk terrein,122723.11347406084,98.02765343309751
3529,2022,CBS_NBBG2022,Open droog natuurlijk terrein,201714.353210444,91.62771832544311
3529,2022,CBS_NBBG2022,Overig binnenwater,18431.206339555298,8.37228167455688
3530,2022,CBS_NBBG2022,Bos,84269.61795450044,18.173962276164453
3530,2022,CBS_NBBG2022,Hoofdweg,5537.048511508023,1.1941446183341233
3530,2022,CBS_NBBG2022,Open droog natuurlijk terrein,373876.5781339976,80.63189310550143
