plot_id,jaar,habitat_id,aandeel_m2,habitat_code,habitat_code_raw
3506,2014,10.0,482.38076972818607,H2190C,H2190C
3507,2014,,103246.8553249051,H0000,H0000
3507,2014,3.0,95130.89294049494,H2130A,H2130A
3507,2014,4.0,17467.82543559246,H2130B,H2130B
3507,2014,5.0,134653.67470615488,H2160,H2160
3507,2014,6.0,38203.32310630364,H2180A,H2180Ao
3507,2014,7.0,6370.754476017453,H2180C,H2180C
3507,2014,11.0,108.73819316037553,H2190D,H2190D
3508,2014,,63118.29605366525,H0000,H0000
3508,2014,2.0,9138.231348862124,H2120,H2120
3508,2014,3.0,133258.93371910183,H2130A,H2130A
3508,2014,4.0,15257.41453066576,H2130B,H2130B
3508,2014,5.0,145101.3074795048,H2160,H2160
3508,2014,6.0,5293.809866451179,H2180A,H2180Ao
3508,2014,11.0,1351.0870941961548,H2190D,H2190D
3509,2014,,7122.931715331524,H0000,H0000
3509,2014,3.0,91136.17265101941,H2130A,H2130A
3509,2014,4.0,62761.63292492513,H2130B,H2130B
3509,2014,5.0,62436.33294702785,H2160,H2160
3509,2014,6.0,5616.3834353420925,H2180A,H2180Abe
3509,2014,6.0,104367.50609378591,H2180A,H2180Ao
3509,2014,13.0,4712.282940026637,H2180B,H2180B
3509,2014,7.0,383.96806907439867,H2180C,H2180C
3510,2014,,35344.22965336553,H0000,H0000
3510,2014,3.0,42003.347918744446,H2130A,H2130A
3510,2014,4.0,120154.62407195492,H2130B,H2130B
3510,2014,5.0,78565.46203552092,H2160,H2160
3510,2014,6.0,94269.85255106227,H2180A,H2180Ao
3510,2014,7.0,2046.1727808052162,H2180C,H2180C
3511,2014,,11869.793442580216,H0000,H0000
3511,2014,2.0,2837.1098240175343,H2120,H2120
3511,2014,3.0,71647.13970856472,H2130A,H2130A
3511,2014,4.0,21101.581764724215,H2130B,H2130B
3511,2014,5.0,31344.987183089284,H2160,H2160
3511,2014,6.0,4790.195514789421,H2180A,H2180Ao
3511,2014,9.0,1937.1847340577426,H2190B,H2190B
3512,2014,,53129.27583352792,H0000,H0000
3512,2014,2.0,33129.642807715885,H2120,H2120
3512,2014,3.0,123804.88707537555,H2130A,H2130A
3512,2014,4.0,4438.036636683857,H2130B,H2130B
3512,2014,5.0,78096.32510060468,H2160,H2160
3512,2014,13.0,25550.161149600804,H2180B,H2180B
3512,2014,8.0,12356.180018868807,H2190A,H2190Ae
3512,2014,9.0,61039.891287287246,H2190B,H2190B
3512,2014,11.0,2603.73081814504,H2190D,H2190D
3513,2014,,94911.25412843423,H0000,H0000
3513,2014,1.0,242.46144444964148,H2110,H2110
3513,2014,2.0,54134.119594033546,H2120,H2120
3513,2014,3.0,180386.92178102204,H2130A,H2130A
3513,2014,4.0,291.9029112030443,H2130B,H2130B
3513,2014,5.0,194902.71775659252,H2160,H2160
3513,2014,6.0,3981.384033347915,H2180A,H2180Ao
3513,2014,13.0,5538.924142572865,H2180B,H2180B
3513,2014,8.0,34545.76447858588,H2190A,H2190Ae
3513,2014,9.0,2169.964186237599,H2190B,H2190B
3513,2014,10.0,196.5920129853343,H2190C,H2190C
3513,2014,11.0,891.2554305418615,H2190D,H2190D
3514,2014,,9623.235755093769,H0000,H0000
3514,2014,3.0,8567.404931039888,H2130A,H2130A
3514,2014,4.0,32319.457310816975,H2130B,H2130B
3514,2014,5.0,7734.9473506467675,H2160,H2160
3514,2014,6.0,47432.301866439586,H2180A,H2180Ao
3515,2014,,16729.159879061084,H0000,H0000
3515,2014,1.0,1884.0670088555994,H2110,H2110
3515,2014,2.0,21888.291370713945,H2120,H2120
3515,2014,3.0,114207.9958882953,H2130A,H2130A
3515,2014,4.0,844.3932509208453,H2130B,H2130B
3515,2014,5.0,35825.24455216947,H2160,H2160
3516,2014,,6266.419872667531,H0000,H0000
3516,2014,3.0,32803.95755513655,H2130A,H2130A
3516,2014,4.0,90108.75696877993,H2130B,H2130B
3516,2014,5.0,97528.41726781672,H2160,H2160
3516,2014,6.0,201.69398726929506,H2180A,H2180Abe
3516,2014,6.0,76476.19782435209,H2180A,H2180Ao
3517,2014,,25801.320792476716,H0000,H0000
3517,2014,3.0,15536.024631058906,H2130A,H2130A
3517,2014,4.0,62322.05292805675,H2130B,H2130B
3517,2014,5.0,23556.602236829727,H2160,H2160
3517,2014,6.0,86354.05300359179,H2180A,H2180Ao
3517,2014,13.0,1247.3457175501994,H2180B,H2180B
3517,2014,7.0,2588.2182586786485,H2180C,H2180C
3518,2014,,8738.538902502616,H0000,H0000
3518,2014,3.0,22495.165584403774,H2130A,H2130A
3518,2014,4.0,103458.33558674574,H2130B,H2130B
3518,2014,5.0,74029.77020747728,H2160,H2160
3518,2014,6.0,97153.82540597858,H2180A,H2180Ao
3519,2014,,49157.6174031487,H0000,H0000
3519,2014,3.0,80024.93870534543,H2130A,H2130A
3519,2014,4.0,184157.10557815398,H2130B,H2130B
3519,2014,5.0,151341.50773344658,H2160,H2160
3519,2014,6.0,223340.81114925237,H2180A,H2180Ao
3519,2014,13.0,2622.907032768914,H2180B,H2180B
3519,2014,7.0,15072.29967958328,H2180C,H2180C
3520,2014,,2496.6252010437724,H0000,H0000
3520,2014,3.0,9899.509922448822,H2130A,H2130A
3520,2014,4.0,19080.50467244166,H2130B,H2130B
3520,2014,5.0,16504.464970426285,H2160,H2160
3520,2014,6.0,83815.07594456265,H2180A,H2180Ao
3520,2014,13.0,73336.12185238543,H2180B,H2180B
3521,2014,,66449.64120297461,H0000,H0000
3521,2014,3.0,23512.63636226512,H2130A,H2130A
3521,2014,4.0,19471.45462608227,H2130B,H2130B
3521,2014,5.0,75255.70921138236,H2160,H2160
3521,2014,6.0,84251.89891018393,H2180A,H2180Ao
3521,2014,13.0,8267.324747592187,H2180B,H2180B
3521,2014,11.0,4649.047789525168,H2190D,H2190D
3522,2014,,5399.636202125574,H0000,H0000
3522,2014,3.0,66256.12039123727,H2130A,H2130A
3522,2014,4.0,9098.335973185365,H2130B,H2130B
3522,2014,5.0,41532.65995266387,H2160,H2160
3522,2014,6.0,59645.39195012788,H2180A,H2180Ao
3522,2014,13.0,12635.62279433301,H2180B,H2180B
3522,2014,8.0,516.7629933143395,H2190A,H2190Ae
3522,2014,11.0,200.9759890877654,H2190D,H2190D
3523,2014,,178331.7143197999,H0000,H0000
3523,2014,2.0,625.8033954868771,H2120,H2120
3523,2014,3.0,66088.99450330439,H2130A,H2130A
3523,2014,4.0,18841.532236595078,H2130B,H2130B
3523,2014,5.0,60811.07227759272,H2160,H2160
3523,2014,6.0,20779.537347325644,H2180A,H2180Ao
3523,2014,13.0,8333.835754683398,H2180B,H2180B
3523,2014,9.0,16.51273527339783,H2190B,H2190B
3523,2014,11.0,4275.945179936022,H2190D,H2190D
3524,2014,,28265.553784328094,H0000,H0000
3524,2014,2.0,11811.356619111488,H2120,H2120
3524,2014,3.0,166149.55553587788,H2130A,H2130A
3524,2014,4.0,0.6748420191863709,H2130B,H2130B
3524,2014,5.0,99436.55494577675,H2160,H2160
3524,2014,6.0,12920.980135288726,H2180A,H2180Ao
3524,2014,8.0,1825.1715490518502,H2190A,H2190Ae
3524,2014,9.0,5632.053616203325,H2190B,H2190B
3524,2014,11.0,109.61996007609656,H2190D,H2190D
3525,2014,,55899.38234965644,H0000,H0000
3525,2014,2.0,10985.133383452196,H2120,H2120
3525,2014,3.0,145037.36796863299,H2130A,H2130A
3525,2014,5.0,99122.57324550906,H2160,H2160
3525,2014,6.0,29439.509879472356,H2180A,H2180Ao
3525,2014,13.0,7042.611460450074,H2180B,H2180B
3525,2014,8.0,23902.815975218895,H2190A,H2190Ae
3525,2014,9.0,5427.0157286705735,H2190B,H2190B
3525,2014,10.0,649.3479493509287,H2190C,H2190C
3525,2014,11.0,2462.3699863474703,H2190D,H2190D
3526,2014,,52764.60078714459,H0000,H0000
3526,2014,3.0,510.6920113387884,H2130A,H2130A
3526,2014,4.0,2094.7406711400454,H2130B,H2130B
3526,2014,5.0,2972.627743805747,H2160,H2160
3526,2014,6.0,20562.56099278299,H2180A,H2180Ao
3526,2014,7.0,8145.069315663256,H2180C,H2180C
3527,2014,,57446.064969341445,H0000,H0000
3527,2014,3.0,45202.464309163784,H2130A,H2130A
3527,2014,4.0,146935.29216635108,H2130B,H2130B
3527,2014,5.0,96503.47938643691,H2160,H2160
3527,2014,6.0,5597.751671934453,H2180A,H2180Abe
3527,2014,6.0,97380.31218133813,H2180A,H2180Ao
3527,2014,13.0,6355.190761060464,H2180B,H2180B
3527,2014,7.0,15960.690848839542,H2180C,H2180C
3527,2014,8.0,140.0817820167277,H2190A,H2190Ae
3527,2014,12.0,77.0011685706783,H6430A,H6430A
3528,2014,,86133.30759639177,H0000,H0000
3528,2014,3.0,1605.6871129289066,H2130A,H2130A
3528,2014,4.0,6578.251565905893,H2130B,H2130B
3528,2014,5.0,10494.634285085622,H2160,H2160
3528,2014,6.0,867.0846696956221,H2180A,H2180Ao
3528,2014,13.0,5890.085569971285,H2180B,H2180B
3528,2014,7.0,1039.9143878290038,H2180C,H2180C
3528,2014,8.0,738.9724992017656,H2190A,H2190Ae
3528,2014,9.0,8980.282394353557,H2190B,H2190B
3528,2014,11.0,2445.9133692139085,H2190D,H2190D
3528,2014,12.0,141.89441355295799,H6430A,H6430A
3529,2014,,53192.405602470746,H0000,H0000
3529,2014,2.0,139.1595663472204,H2120,H2120
3529,2014,3.0,66784.70811448335,H2130A,H2130A
3529,2014,3.0,1586.8069627683055,H2130A,ZGH2130A
3529,2014,4.0,228.28417654915648,H2130B,H2130B
3529,2014,5.0,75235.14635332332,H2160,H2160
3529,2014,6.0,4401.5049396230315,H2180A,H2180Ao
3529,2014,13.0,10626.745076392748,H2180B,H2180B
3529,2014,8.0,1153.3510769174509,H2190A,H2190Ae
3529,2014,8.0,2216.8033271840213,H2190A,H2190Aom
3529,2014,9.0,4580.644353938287,H2190B,H2190B
3530,2014,,6723.480610033775,H0000,H0000
3530,2014,3.0,31291.484702192924,H2130A,H2130A
3530,2014,4.0,81033.86019429329,H2130B,H2130B
3530,2014,5.0,209331.3030050886,H2160,H2160
3530,2014,6.0,71601.90759456684,H2180A,H2180Ao
3531,2014,,33860.741202361925,H0000,H0000
3531,2014,2.0,154.90071656194115,H2120,H2120
3531,2014,3.0,111943.81897500367,H2130A,H2130A
3531,2014,4.0,117862.05686130413,H2130B,H2130B
3531,2014,5.0,89973.39027820811,H2160,H2160
3531,2014,6.0,1552.6604259370831,H2180A,H2180Abe
3531,2014,6.0,102684.87350857016,H2180A,H2180Ao
3531,2014,13.0,12.211632967780188,H2180B,H2180B
3531,2014,7.0,9498.182090472541,H2180C,H2180C
3532,2014,,132788.7997528486,H0000,H0000
3532,2014,2.0,11025.94972257994,H2120,H2120
3532,2014,3.0,58678.9108573429,H2130A,H2130A
3532,2014,3.0,837.4071109983729,H2130A,ZGH2130A
3532,2014,4.0,5635.694397816594,H2130B,H2130B
3532,2014,5.0,31818.265826663992,H2160,H2160
3532,2014,5.0,3221.1340400963604,H2160,ZGH2160
3532,2014,6.0,15626.696598698687,H2180A,H2180Ao
3532,2014,7.0,42351.07476357677,H2180C,H2180C
3532,2014,8.0,31213.684334197504,H2190A,H2190Ae
3532,2014,9.0,794.6308427193042,H2190B,H2190B
3532,2014,11.0,345.0412524701601,H2190D,H2190D
3533,2014,,49354.12511501197,H0000,H0000
3533,2014,1.0,111.03344309057627,H2110,H2110
3533,2014,2.0,54120.402547762606,H2120,H2120
3533,2014,3.0,155698.6246366878,H2130A,H2130A
3533,2014,4.0,46977.19172103895,H2130B,H2130B
3533,2014,5.0,85552.0819833992,H2160,H2160
3533,2014,6.0,3465.4429223099523,H2180A,H2180Ao
3533,2014,13.0,3454.0742359366595,H2180B,H2180B
3533,2014,8.0,398.98395622204544,H2190A,H2190Ae
3533,2014,9.0,1030.9527918027218,H2190B,H2190B
3533,2014,11.0,135.4805467368027,H2190D,H2190D
3534,2014,,116104.5680495369,H0000,H0000
3534,2014,2.0,420.48588584249114,H2120,H2120
3534,2014,3.0,34689.915063204324,H2130A,H2130A
3534,2014,4.0,21018.904827580343,H2130B,H2130B
3534,2014,5.0,100510.50923547389,H2160,H2160
3534,2014,6.0,83812.57534038406,H2180A,H2180Ao
3534,2014,13.0,24000.831829239956,H2180B,H2180B
