plot_id,jaar,habitat_id,aandeel_m2
3490,2014,1.0,1697.5758956565603
3490,2014,2.0,37978.91129326779
3490,2014,3.0,52931.68670811912
3490,2014,4.0,10477.213280185417
3490,2014,5.0,92704.8273772624
3490,2014,6.0,47640.47322127947
3490,2014,13.0,2240.448488809811
3490,2014,7.0,24940.42361987093
3496,2014,1.0,3769.162092041803
3496,2014,2.0,24683.659859807805
3496,2014,3.0,90978.69292838352
3496,2014,4.0,9280.972764173344
3496,2014,5.0,47203.1362492355
3496,2014,7.0,2121.361993703726
3496,2014,9.0,724.034137791991
3497,2014,3.0,87814.26398796812
3497,2014,4.0,86035.45557169785
3497,2014,5.0,126149.7215529608
3497,2014,5.0,751.7117437760458
3497,2014,6.0,119702.29796894678
3497,2014,13.0,11792.089276626872
3497,2014,7.0,1105.4431118015875
3497,2014,11.0,4362.070034959192
3498,2014,3.0,46738.20783855854
3498,2014,4.0,15756.924582067124
3498,2014,5.0,97963.85476800911
3498,2014,6.0,68068.84597208428
3498,2014,7.0,1162.8704312799537
3498,2014,11.0,547.2994987306437
3499,2014,3.0,10404.344400223112
3499,2014,4.0,3893.29609779942
3499,2014,5.0,459.83243033620727
3499,2014,6.0,1267.8664253109416
3499,2014,13.0,5076.9447496084085
3499,2014,7.0,173.84988950817865
3499,2014,8.0,5671.015594001161
3499,2014,11.0,7199.754097656795
3500,2014,3.0,70485.13623279148
3500,2014,4.0,28240.683338424395
3500,2014,5.0,52554.30993700445
3500,2014,5.0,351.1837149837106
3500,2014,6.0,88265.14518689098
3500,2014,13.0,1318.824431854845
3501,2014,3.0,57731.17427660804
3501,2014,4.0,164843.1965352276
3501,2014,5.0,106679.20870887376
3501,2014,6.0,2474.551937149792
3501,2014,6.0,85288.97756584536
3501,2014,13.0,9188.21729530182
3501,2014,7.0,20241.43458431394
3501,2014,11.0,179.95086657786942
3502,2014,2.0,488.5063579998954
3502,2014,3.0,144531.19588162508
3502,2014,4.0,93890.65591989964
3502,2014,5.0,178542.23209923125
3502,2014,6.0,51688.5875530606
3502,2014,13.0,1058.761829515685
3502,2014,8.0,209.76905470376408
3502,2014,11.0,4148.5416532723875
3502,2014,12.0,428.2972240382792
3503,2014,3.0,53.06543775573551
3503,2014,4.0,45.35988766364975
3503,2014,5.0,222.134042736848
3503,2014,6.0,203.65654216686724
3503,2014,7.0,21.5262619195566
3504,2014,2.0,1232.6233313192752
