"plot_id","plot_label","totaal_aantal","detecties","geldige_bezoeken","gemiddeld_per_bezoek","waarnemingsfrequentie","soort_id","soort_naam","modelstatus"
"3518","M65",5,3,12,0.416666666666667,0.25,248,"Appelvink","alleen_beschrijvend"
"3519","M12a",0,0,65,0,0,248,"Appelvink","alleen_beschrijvend"
"3520","M62",16,4,56,0.285714285714286,0.0714285714285714,248,"Appelvink","alleen_beschrijvend"
"3521","M6",0,0,102,0,0,248,"Appelvink","alleen_beschrijvend"
"3522","M61",0,0,46,0,0,248,"Appelvink","alleen_beschrijvend"
"3523","M2",0,0,94,0,0,248,"Appelvink","alleen_beschrijvend"
"3524","M15",0,0,139,0,0,248,"Appelvink","alleen_beschrijvend"
"3525","M16",0,0,131,0,0,248,"Appelvink","alleen_beschrijvend"
"3526","M72",0,0,123,0,0,248,"Appelvink","alleen_beschrijvend"
"3527","M73",0,0,106,0,0,248,"Appelvink","alleen_beschrijvend"
"3528","M74",1,1,140,0.00714285714285714,0.00714285714285714,248,"Appelvink","alleen_beschrijvend"
"3529","M17b",0,0,133,0,0,248,"Appelvink","alleen_beschrijvend"
"3530","M8",0,0,76,0,0,248,"Appelvink","alleen_beschrijvend"
"3531","M75",0,0,137,0,0,248,"Appelvink","alleen_beschrijvend"
"3532","M77",1,1,142,0.00704225352112676,0.00704225352112676,248,"Appelvink","alleen_beschrijvend"
"3533","M36",0,0,56,0,0,248,"Appelvink","alleen_beschrijvend"
"3534","M1a",0,0,91,0,0,248,"Appelvink","alleen_beschrijvend"
"3581","M4-5",0,0,98,0,0,248,"Appelvink","alleen_beschrijvend"
"3583","M75a",0,0,55,0,0,248,"Appelvink","alleen_beschrijvend"
"9917","M51",0,0,11,0,0,248,"Appelvink","alleen_beschrijvend"
"10626","M43",0,0,42,0,0,206,"Baardmannetje","alleen_beschrijvend"
"12381","M54a",0,0,39,0,0,206,"Baardmannetje","alleen_beschrijvend"
"12382","M54b",0,0,2,0,0,206,"Baardmannetje","alleen_beschrijvend"
"20247","M52",0,0,19,0,0,206,"Baardmannetje","alleen_beschrijvend"
"20758","M78/79",0,0,9,0,0,206,"Baardmannetje","alleen_beschrijvend"
"27371","M53",0,0,27,0,0,206,"Baardmannetje","alleen_beschrijvend"
"29455","M55",0,0,9,0,0,206,"Baardmannetje","alleen_beschrijvend"
"29456","M16s",0,0,33,0,0,206,"Baardmannetje","alleen_beschrijvend"
"29457","M42",0,0,62,0,0,206,"Baardmannetje","alleen_beschrijvend"
"29459","M31",0,0,3,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3490","M33",0,0,76,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3496","M34",0,0,37,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3497","M83",0,0,135,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3498","M7",0,0,128,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3500","M46",0,0,31,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3501","M71",0,0,118,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3502","M10-12-76",18,2,85,0.211764705882353,0.0235294117647059,206,"Baardmannetje","alleen_beschrijvend"
"3504","M3",17,6,118,0.14406779661017,0.0508474576271186,206,"Baardmannetje","alleen_beschrijvend"
"3505","M1b",4,3,62,0.0645161290322581,0.0483870967741935,206,"Baardmannetje","alleen_beschrijvend"
"3506","M13s",0,0,151,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3507","M45",4,1,49,0.0816326530612245,0.0204081632653061,206,"Baardmannetje","alleen_beschrijvend"
"3508","M32",0,0,90,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3509","M63",0,0,52,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3510","M85",0,0,34,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3511","M13",7,1,75,0.0933333333333333,0.0133333333333333,206,"Baardmannetje","alleen_beschrijvend"
"3512","M14",24,9,140,0.171428571428571,0.0642857142857143,206,"Baardmannetje","alleen_beschrijvend"
"3513","M17a",6,3,133,0.0451127819548872,0.0225563909774436,206,"Baardmannetje","alleen_beschrijvend"
"3515","M35",0,0,23,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3516","M64",0,0,93,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3517","M84",0,0,75,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3518","M65",0,0,12,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3519","M12a",0,0,65,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3520","M62",0,0,56,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3521","M6",2,1,102,0.0196078431372549,0.00980392156862745,206,"Baardmannetje","alleen_beschrijvend"
"3522","M61",0,0,46,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3523","M2",91,15,94,0.968085106382979,0.159574468085106,206,"Baardmannetje","alleen_beschrijvend"
"3524","M15",0,0,139,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3525","M16",3,1,131,0.0229007633587786,0.00763358778625954,206,"Baardmannetje","alleen_beschrijvend"
"3526","M72",0,0,123,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3527","M73",0,0,106,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3528","M74",0,0,140,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3529","M17b",6,3,133,0.0451127819548872,0.0225563909774436,206,"Baardmannetje","alleen_beschrijvend"
"3530","M8",0,0,76,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3531","M75",0,0,137,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3532","M77",0,0,142,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3533","M36",0,0,56,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3534","M1a",32,6,91,0.351648351648352,0.0659340659340659,206,"Baardmannetje","alleen_beschrijvend"
"3581","M4-5",0,0,98,0,0,206,"Baardmannetje","alleen_beschrijvend"
"3583","M75a",0,0,55,0,0,206,"Baardmannetje","alleen_beschrijvend"
"9917","M51",0,0,11,0,0,206,"Baardmannetje","alleen_beschrijvend"
"10626","M43",0,0,42,0,0,240,"Barmsijs","alleen_beschrijvend"
"12381","M54a",0,0,39,0,0,240,"Barmsijs","alleen_beschrijvend"
"12382","M54b",0,0,2,0,0,240,"Barmsijs","alleen_beschrijvend"
"20247","M52",0,0,19,0,0,240,"Barmsijs","alleen_beschrijvend"
"20758","M78/79",0,0,9,0,0,240,"Barmsijs","alleen_beschrijvend"
"27371","M53",2,1,27,0.0740740740740741,0.037037037037037,240,"Barmsijs","alleen_beschrijvend"
"29455","M55",2,1,9,0.222222222222222,0.111111111111111,240,"Barmsijs","alleen_beschrijvend"
"29456","M16s",14,1,33,0.424242424242424,0.0303030303030303,240,"Barmsijs","alleen_beschrijvend"
"29457","M42",1,1,62,0.0161290322580645,0.0161290322580645,240,"Barmsijs","alleen_beschrijvend"
"29459","M31",0,0,3,0,0,240,"Barmsijs","alleen_beschrijvend"
"3490","M33",2,1,76,0.0263157894736842,0.0131578947368421,240,"Barmsijs","alleen_beschrijvend"
"3496","M34",0,0,37,0,0,240,"Barmsijs","alleen_beschrijvend"
"3497","M83",12,1,135,0.0888888888888889,0.00740740740740741,240,"Barmsijs","alleen_beschrijvend"
"3498","M7",1,1,128,0.0078125,0.0078125,240,"Barmsijs","alleen_beschrijvend"
"3500","M46",1,1,31,0.032258064516129,0.032258064516129,240,"Barmsijs","alleen_beschrijvend"
"3501","M71",5,4,118,0.0423728813559322,0.0338983050847458,240,"Barmsijs","alleen_beschrijvend"
"3502","M10-12-76",0,0,85,0,0,240,"Barmsijs","alleen_beschrijvend"
"3504","M3",0,0,118,0,0,240,"Barmsijs","alleen_beschrijvend"
"3505","M1b",19,3,62,0.306451612903226,0.0483870967741935,240,"Barmsijs","alleen_beschrijvend"
"3506","M13s",0,0,151,0,0,240,"Barmsijs","alleen_beschrijvend"
"3507","M45",3,1,49,0.0612244897959184,0.0204081632653061,240,"Barmsijs","alleen_beschrijvend"
"3508","M32",0,0,90,0,0,240,"Barmsijs","alleen_beschrijvend"
"3509","M63",0,0,52,0,0,240,"Barmsijs","alleen_beschrijvend"
"3510","M85",0,0,34,0,0,240,"Barmsijs","alleen_beschrijvend"
"3511","M13",0,0,75,0,0,240,"Barmsijs","alleen_beschrijvend"
"3512","M14",6,2,140,0.0428571428571429,0.0142857142857143,240,"Barmsijs","alleen_beschrijvend"
"3513","M17a",0,0,133,0,0,240,"Barmsijs","alleen_beschrijvend"
"3515","M35",0,0,23,0,0,240,"Barmsijs","alleen_beschrijvend"
"3516","M64",0,0,93,0,0,240,"Barmsijs","alleen_beschrijvend"
"3517","M84",0,0,75,0,0,240,"Barmsijs","alleen_beschrijvend"
"3518","M65",0,0,12,0,0,240,"Barmsijs","alleen_beschrijvend"
"3519","M12a",0,0,65,0,0,240,"Barmsijs","alleen_beschrijvend"
"3520","M62",0,0,56,0,0,240,"Barmsijs","alleen_beschrijvend"
"3521","M6",5,1,102,0.0490196078431373,0.00980392156862745,240,"Barmsijs","alleen_beschrijvend"
