"soort_id","soort_naam","seizoen_start","seizoen","index","index_ondergrens","index_bovengrens","schatting_aantal","ondergrens_aantal","bovengrens_aantal","schatting_detectie","ondergrens_detectie","bovengrens_detectie","totaal_aantal","gemiddeld_per_bezoek","waarnemingsfrequentie","geldige_bezoeken","geldige_plots","detecties","modelstatus","weergavetype"
5,"Aalscholver",2000,"00/01",182.258921214955,115.548542372604,258.078144208332,0.153115100169542,0.0425541747859986,0.431750534555728,0.145275197192123,0.0567246493101291,0.301157482367527,111,1.06730769230769,0.355769230769231,104,21,37,"indicatief","modelindex"
5,"Aalscholver",2001,"01/02",69.4657755019971,38.8657137644927,111.560675069982,0.0565444028317655,0.0159746342475612,0.153580636966228,0.0826788953732663,0.0305225629235352,0.181684658684845,60,0.437956204379562,0.248175182481752,137,24,34,"indicatief","modelindex"
5,"Aalscholver",2002,"02/03",40.9905457871976,22.1433165361413,69.3265131241993,0.0330657086702811,0.00980475160719089,0.0877977366426792,0.0401740471985479,0.0133262942873586,0.0917119495904573,35,0.243055555555556,0.159722222222222,144,23,23,"indicatief","modelindex"
5,"Aalscholver",2003,"03/04",89.5195950167353,53.4958224381239,139.30758436253,0.0726973727944207,0.0226774868075578,0.19127977002474,0.0412775068463747,0.014539957847849,0.0976098404322223,83,0.62406015037594,0.218045112781955,133,24,29,"indicatief","modelindex"
5,"Aalscholver",2004,"04/05",117.765162479115,67.9081920328396,179.588171875672,0.0970095077103007,0.0272144630560287,0.248665731660395,0.0493419534079347,0.0170924645198151,0.107530931076645,340,2.32876712328767,0.198630136986301,146,25,29,"indicatief","modelindex"
5,"Aalscholver",2005,"05/06",27.6376853849923,13.4005446989432,49.9201193352299,0.0223562213396263,0.00620317320513587,0.0648467447787586,0.0252063088651897,0.00737687050767516,0.0633487266158434,28,0.198581560283688,0.106382978723404,141,24,15,"indicatief","modelindex"
5,"Aalscholver",2006,"06/07",84.9361675273719,46.3403101734884,145.681054228768,0.0684179729671408,0.0214217034843673,0.198261391981525,0.0436103845971503,0.0142967918647681,0.0968030791256928,78,0.549295774647887,0.147887323943662,142,22,21,"indicatief","modelindex"
5,"Aalscholver",2007,"07/08",85.8374757462286,45.4634035412051,150.53362546314,0.0692262115085181,0.0193419348007275,0.185392873523202,0.0538320648821094,0.0183567165291596,0.121681120966659,132,1.03937007874016,0.15748031496063,127,20,20,"indicatief","modelindex"
5,"Aalscholver",2008,"08/09",62.4627136669286,35.1146539926137,105.971973960443,0.050364054001398,0.014699164231133,0.135969497362161,0.0272598482774617,0.00990559556684576,0.0679545525561114,350,2.46478873239437,0.176056338028169,142,24,25,"indicatief","modelindex"
5,"Aalscholver",2009,"09/10",89.1217018585395,47.5341782887243,144.020865526145,0.0711600329363692,0.019791035972316,0.188599949719637,0.059501951735937,0.0212506645156455,0.131671807368076,325,2.32142857142857,0.278571428571429,140,27,39,"indicatief","modelindex"
