"soort_id","soort_naam","soortgroep","protocolgroep","telkarakteristiek","bron_soort_ids","voorlopige_klasse","geldige_bezoeken","detecties","winters","plots","maximum_bezoektotaal","pct_nul","trend_aantal_pct_per_jaar","trend_aantal_laag","trend_aantal_hoog","trend_detectie_pct_per_jaar","trend_detectie_laag","trend_detectie_hoog","trend_getrimd_pct_per_jaar","trend_vanaf_2012_pct_per_jaar","zelfde_trendrichting","robuust_tegen_extremen","robuust_met_telduur","modellen_geconvergeerd","voorspellingen_geldig","model_getest","advies","reden_status"
233,"Vink","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","233","kansrijk",3757,2707,25,50,790,27.9478307159968,2.92219443627713,2.14936902600127,3.70086676582879,3.53890847178648,2.24098361342322,4.85331017611135,2.76791480713778,-5.26131601394284,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"indicatief","kernmodellen bruikbaar; minimaal één gevoeligheidscontrole vraagt terughoudendheid"
63,"Visarend","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","63","alleen_beschrijvend",3757,14,25,50,2,99.62736225712,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
116,"Visdief","water_wetland","alle_volledige_bezoeken","water- of wetlandsoort","116","alleen_beschrijvend",3757,1,25,50,1,99.9733830183657,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
202,"Vuurgoudhaan","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","202","kansrijk",3757,419,25,50,20,88.8474846952356,2.06797367824476,0.165653194304172,4.00642254659873,2.20071157820769,0.342036953263514,4.09381515702112,2.05224032543474,3.06517071223635,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"alleen_beschrijvend","minimaal één kernmodel, Hessiaan of voorspelling is niet stabiel"
77,"Waterhoen","water_wetland","alle_volledige_bezoeken","water- of wetlandsoort","77","kansrijk",3757,321,25,50,14,91.4559488953953,-1.15494171807995,-2.94365329291854,0.666735131122587,-1.72185528268086,-3.5779191699517,0.169936656961123,-1.26726615065196,3.47739640478766,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"indicatief","kernmodellen bruikbaar; minimaal één gevoeligheidscontrole vraagt terughoudendheid"
497,"Waterpieper","water_wetland","alle_volledige_bezoeken","water- of wetlandsoort","497","alleen_beschrijvend",3757,9,25,50,2,99.7604471652915,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
72,"Waterral","water_wetland","alle_volledige_bezoeken","water- of wetlandsoort","72","kansrijk",3757,819,25,50,10,78.2006920415225,2.71024050051683,1.79116713356828,3.63761218919232,4.89713128649507,3.28442552783084,6.5350181879186,2.54616382579633,3.6937134503495,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"betrouwbaar","kernmodellen en gevoeligheidscontroles groen"
93,"Watersnip","water_wetland","alle_volledige_bezoeken","water- of wetlandsoort","93","kansrijk",3757,679,25,50,43,81.9270694703221,1.26855717125858,-0.117251019976372,2.67359254999593,1.29281195223039,-0.121749663752069,2.72740780548348,1.34542724237194,0.4730911521166,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"betrouwbaar","kernmodellen en gevoeligheidscontroles groen"
53,"Wespendief","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","53","alleen_beschrijvend",3757,10,25,50,3,99.7338301836572,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
36,"Wilde Eend","water_wetland","alle_volledige_bezoeken","water- of wetlandsoort","36","kansrijk",3757,1219,25,50,110,67.5538993878094,1.07356607901647,-0.0147359054976759,2.17371382120524,0.690035399476141,-0.732761968006712,2.13322572226884,1.05271515656091,-0.202286674659902,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"betrouwbaar","kernmodellen en gevoeligheidscontroles groen"
19,"Wilde Zwaan","water_wetland","alle_volledige_bezoeken","water- of wetlandsoort","19","alleen_beschrijvend",3757,31,25,50,26,99.1748735693372,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
164,"Winterkoning","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","164","kansrijk",3757,2958,25,50,61,21.2669683257919,0.601365389136355,0.148155870814226,1.0566258575305,2.14917718487333,0.713355799167692,3.60546837853335,0.545206972089685,3.31966314412049,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"betrouwbaar","kernmodellen en gevoeligheidscontroles groen"
35,"Wintertaling","water_wetland","alle_volledige_bezoeken","water- of wetlandsoort","35","kansrijk",3757,383,25,50,120,89.8056960340697,-0.474003566264025,-3.02900812390695,2.14832059039793,2.8415470604293,0.905977616224374,4.81424442472225,-0.274435998664679,-6.24040806906639,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"indicatief","kernmodellen bruikbaar; minimaal één gevoeligheidscontrole vraagt terughoudendheid"
100,"Witgat","water_wetland","alle_volledige_bezoeken","water- of wetlandsoort","100","nader_beoordelen",3757,150,25,50,6,96.0074527548576,-1.78885726636067,-4.77653824472292,1.29256361038301,-0.706867161564406,-3.26212352258858,1.91588432451639,-0.871541921446228,-19.8423038436316,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"alleen_beschrijvend","minimaal één kernmodel, Hessiaan of voorspelling is niet stabiel"
637,"Witkopstaartmees","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","637","alleen_beschrijvend",3757,6,25,50,1,99.8402981101943,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
162,"Witte Kwikstaart","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","162","alleen_beschrijvend",3757,78,25,50,25,97.923875432526,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
161,"Witte Kwikstaart (spec)","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","161","alleen_beschrijvend",3757,24,25,50,6,99.3611924407772,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
97,"Wulp","water_wetland","alle_volledige_bezoeken","water- of wetlandsoort","97","alleen_beschrijvend",3757,14,25,50,30,99.62736225712,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
177,"Zanglijster","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","177","kansrijk",3757,1349,25,50,325,64.0936917753527,-2.04491851615042,-3.13798064885821,-0.939521467920901,-1.77419084339802,-3.00300887305692,-0.529805384971771,-1.98580460117626,-10.1022332547544,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"indicatief","kernmodellen bruikbaar; minimaal één gevoeligheidscontrole vraagt terughoudendheid"
108,"Zilvermeeuw","water_wetland","alle_volledige_bezoeken","water- of wetlandsoort","108","nader_beoordelen",3757,131,25,50,410,96.513175405909,-14.0500609516342,-18.4971266797183,-9.36034864209538,-10.9923372008555,-14.3144485219521,-7.54142442561184,-10.1453663547287,-10.8155222406862,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"alleen_beschrijvend","minimaal één kernmodel, Hessiaan of voorspelling is niet stabiel"
39,"Zomertaling","water_wetland","alle_volledige_bezoeken","water- of wetlandsoort","39","alleen_beschrijvend",3757,3,25,50,2,99.9201490550972,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
226,"Zwarte Kraai","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","226","kansrijk",3757,2519,25,50,80,32.951823263242,-6.39808369441772,-6.98276536999464,-5.80972686484257,-10.1141818928461,-11.3649353631812,-8.84577870058705,-6.1641182822353,-9.00518909598563,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"betrouwbaar","kernmodellen en gevoeligheidscontroles groen"
212,"Zwarte Mees","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","212","nader_beoordelen",3757,148,25,50,29,96.0606867181262,-9.59402171107371,-12.8072902058459,-6.26233627016154,-7.39886458699247,-10.3064287990923,-4.39704691241711,-8.54628801515788,-13.428164822585,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"alleen_beschrijvend","minimaal één kernmodel, Hessiaan of voorspelling is niet stabiel"
290,"Zwarte Ooievaar","water_wetland","alle_volledige_bezoeken","water- of wetlandsoort","290","alleen_beschrijvend",3757,2,25,50,1,99.9467660367314,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
169,"Zwarte Roodstaart","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","169","alleen_beschrijvend",3757,14,25,50,4,99.62736225712,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
426,"Zwarte ruiter","water_wetland","alle_volledige_bezoeken","water- of wetlandsoort","426","alleen_beschrijvend",3757,2,25,50,1,99.9467660367314,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
143,"Zwarte Specht","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","143","alleen_beschrijvend",3757,8,25,50,1,99.7870641469257,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
120,"Zwarte Stern","water_wetland","alle_volledige_bezoeken","water- of wetlandsoort","120","alleen_beschrijvend",3757,2,25,50,1,99.9467660367314,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
629,"Zwarte zee-eend","water_wetland","alle_volledige_bezoeken","water- of wetlandsoort","629","alleen_beschrijvend",3757,1,25,50,1,99.9733830183657,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"alleen_beschrijvend","onvoldoende winters of positieve bezoeken voor volledige modelvalidatie"
195,"Zwartkop","overige_vogels","alle_volledige_bezoeken","overige vogelsoort","195","kansrijk",3757,393,25,50,50,89.5395262177269,-1.57435862359855,-3.30928775439422,0.191700478411283,-2.30808084456252,-4.31523566225649,-0.258822453848584,-1.22079082383235,-6.41400118320355,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"indicatief","kernmodellen bruikbaar; minimaal één gevoeligheidscontrole vraagt terughoudendheid"
