"maand","totaal_aantal","detecties","geldige_bezoeken","gemiddeld_per_bezoek","waarnemingsfrequentie","schatting_aantal","ondergrens_aantal","bovengrens_aantal","schatting_detectie","ondergrens_detectie","bovengrens_detectie","maandindex","soort_id","soort_naam","modelstatus","weergavetype"
"mrt",1,1,451,0.00221729490022173,0.00221729490022173,,,,,,,,131,"Bosuil","alleen_beschrijvend","beschrijvend"
"nov",4,4,570,0.00701754385964912,0.00701754385964912,,,,,,,,131,"Bosuil","alleen_beschrijvend","beschrijvend"
"okt",4,4,547,0.00731261425959781,0.00731261425959781,,,,,,,,131,"Bosuil","alleen_beschrijvend","beschrijvend"
"sep",6,5,508,0.0118110236220472,0.00984251968503937,,,,,,,,131,"Bosuil","alleen_beschrijvend","beschrijvend"
"dec",0,0,563,0,0,,,,,,,,192,"Braamsluiper","alleen_beschrijvend","beschrijvend"
"feb",0,0,556,0,0,,,,,,,,192,"Braamsluiper","alleen_beschrijvend","beschrijvend"
"jan",0,0,562,0,0,,,,,,,,192,"Braamsluiper","alleen_beschrijvend","beschrijvend"
"mrt",0,0,451,0,0,,,,,,,,192,"Braamsluiper","alleen_beschrijvend","beschrijvend"
"nov",0,0,570,0,0,,,,,,,,192,"Braamsluiper","alleen_beschrijvend","beschrijvend"
"okt",0,0,547,0,0,,,,,,,,192,"Braamsluiper","alleen_beschrijvend","beschrijvend"
"sep",51,35,508,0.100393700787402,0.0688976377952756,,,,,,,,192,"Braamsluiper","alleen_beschrijvend","beschrijvend"
"dec",10,1,563,0.0177619893428064,0.00177619893428064,,,,,,,,26,"Brandgans","alleen_beschrijvend","beschrijvend"
"feb",20,2,556,0.0359712230215827,0.00359712230215827,,,,,,,,26,"Brandgans","alleen_beschrijvend","beschrijvend"
"jan",7,2,562,0.0124555160142349,0.00355871886120996,,,,,,,,26,"Brandgans","alleen_beschrijvend","beschrijvend"
"mrt",2,2,451,0.00443458980044346,0.00443458980044346,,,,,,,,26,"Brandgans","alleen_beschrijvend","beschrijvend"
"nov",0,0,570,0,0,,,,,,,,26,"Brandgans","alleen_beschrijvend","beschrijvend"
"okt",0,0,547,0,0,,,,,,,,26,"Brandgans","alleen_beschrijvend","beschrijvend"
"sep",0,0,508,0,0,,,,,,,,26,"Brandgans","alleen_beschrijvend","beschrijvend"
"dec",109,46,563,0.19360568383659,0.0817051509769094,0.00857406165517586,0.000788371464344452,0.0358322758867823,0.00782490626283934,0.000950820072458234,0.030503739833096,95.5678752328098,47,"Brilduiker","indicatief","modelindex"
"feb",171,64,556,0.307553956834532,0.115107913669065,0.0196698828389409,0.00187984951951737,0.0859383598406452,0.0154842775580257,0.00194742295706577,0.0513044985413137,219.243689233459,47,"Brilduiker","indicatief","modelindex"
"jan",116,54,562,0.206405693950178,0.096085409252669,0.0095918755070199,0.000880403919854633,0.040051112815388,0.0100662885548855,0.00133489197107175,0.0365305897089514,106.912592720879,47,"Brilduiker","indicatief","modelindex"
"mrt",151,50,451,0.334811529933481,0.110864745011086,0.0156738278926995,0.00144060964652197,0.0674112707556822,0.0151221112400593,0.00206895176277038,0.053565373191906,174.703015759841,47,"Brilduiker","indicatief","modelindex"
"nov",89,41,570,0.156140350877193,0.0719298245614035,0.00824580054834547,0.000740767875686243,0.032883946214653,0.00683347995384288,0.00080367942495758,0.0239178320931585,91.9090239482016,47,"Brilduiker","indicatief","modelindex"
"okt",8,5,547,0.0146252285191956,0.00914076782449726,0.000706969260025376,5.83799577000029e-05,0.00324512331191236,0.000631100090879404,5.1908097907189e-05,0.00243169601170117,7.87999349115378,47,"Brilduiker","indicatief","modelindex"
"sep",3,3,508,0.00590551181102362,0.00590551181102362,0.000339471991397751,2.34372275464055e-05,0.00161316757668499,0.000414107550526953,3.40273443594237e-05,0.00179254907281127,3.78380961365601,47,"Brilduiker","indicatief","modelindex"
"dec",0,0,563,0,0,,,,,,,,635,"Bruine boszanger","alleen_beschrijvend","beschrijvend"
"feb",0,0,556,0,0,,,,,,,,635,"Bruine boszanger","alleen_beschrijvend","beschrijvend"
"jan",0,0,562,0,0,,,,,,,,635,"Bruine boszanger","alleen_beschrijvend","beschrijvend"
"mrt",0,0,451,0,0,,,,,,,,635,"Bruine boszanger","alleen_beschrijvend","beschrijvend"
