"groep_100","korte_beschrijving","n_jaren","deviance_explained","r_sq_adj","aic","edf_pre","p_pre","edf_post","p_post"
100,"Watervogels",68,0.780171600044325,0.760576289382529,-34.4468059323928,2.31393429813901,0.00636987503679076,2.31393429813901,0.00636987503679076
200,"Rietvogels",68,0.831104327046274,0.809287901740651,-13.8023395004621,2.69902176420166,0,2.69902176420166,0
300,"Vogels van pionierbegroeiingen",68,0.480470361451594,0.427103670134363,42.0626108301442,1.00002533117548,0.000158557576211027,1.00002533117548,0.000158557576211027
400,"Vogels van open heide",68,0.555145382809849,0.50915243671034,64.1214681255364,1.00020084166379,0.000326874577911529,1.00020084166379,0.000326874577911529
500,"Weidevogels",68,0.767247342050215,0.744116356325073,21.5292972234022,1.00002543135021,0.685267645420552,1.00002543135021,0.685267645420552
600,"Struweelvogels",68,0.892613944110756,0.886078861320563,-47.5741878268822,1.84341337007253,0,1.84341337007253,0
700,"Bosrandvogels",68,0.734474860519027,0.713437582562834,-64.2395817473845,1.00006308343573,0,1.00006308343573,0
800,"Bosvogels",68,0.874519190470949,0.861252313633163,-42.1346501788411,2.85790579528107,0,2.85790579528107,0
900,"Vogels van bebouwing/overige",68,0.732421424545489,0.704478660513604,32.8653049443642,3.0740097031781,0,3.0740097031781,0
