"groep_100","korte_beschrijving","n_jaren","pre_trend_pct_per_jaar","post_trend_pct_per_jaar","overall_trend_pct_per_jaar","break_level_shift_pct","p_pre_slope","p_break_shift","p_slope_change","p_overall_trend","r2_break_model","r2_spliced_model"
100,"Watervogels",68,1.14199968446136,-1.78966913174177,-1.17480986717362,-6.1646528303344,0.0106761884610053,0.438170926312861,6.16670964028633e-08,1.10120197940232e-13,0.682126886854312,0.569123023281952
200,"Rietvogels",68,7.34353177834506,-2.92967236418402,1.42074458551171,60.7568821200269,1.43812067391533e-18,4.59126454934291e-05,1.09037723613106e-23,0.000169092862298426,0.872550806491338,0.194219831533852
300,"Vogels van pionierbegroeiingen",68,0.681092451342513,-1.64028664597353,-1.9256762680527,-22.373731152362,0.36051839902967,0.0735906264851252,0.00594687515057603,4.24098966021509e-15,0.54801678648514,0.609231574063527
400,"Vogels van open heide",68,-0.50068896234936,-2.28690831275414,-2.71513895462324,-46.8107769294543,0.468253198654714,8.00344013183611e-06,0.0209329154249135,1.86611576601969e-23,0.855086176659624,0.781093443227196
500,"Weidevogels",68,-2.54338730159361,-1.77049309226678,-2.27702522883837,-22.0261857525894,4.45132004296701e-09,0.000943330577608552,0.06603645132232,1.67947735869086e-34,0.928695633645347,0.898508842635875
600,"Struweelvogels",68,4.28405968655992,-0.987269530995705,0.947347027634104,21.7786350708365,3.63626120665183e-20,0.00148979577224368,2.10969444567697e-22,6.2652957017645e-07,0.888023594572082,0.315429774134357
700,"Bosrandvogels",68,3.55160103573098,0.159681135947554,1.2783693240316,7.89469879401927,1.48312368265096e-13,0.286076053476021,3.11298907261769e-11,1.22627968086633e-14,0.834412091282578,0.596576505435896
800,"Bosvogels",68,8.5949465708715,0.886113122829113,3.10849863323532,21.0109938738787,1.86410637280371e-30,0.012309704757435,2.82211379030703e-25,4.13847928260606e-21,0.967210144441153,0.742353270571102
900,"Vogels van bebouwing/overige",68,14.1197067981597,-3.49537552207804,1.25927654913771,11.6421889602203,9.01574254974111e-26,0.448857253723891,7.16233866806015e-29,0.0177568173202081,0.899917800816342,0.0822168096266066
