"groep_100","jaar","log_index_spliced","msi","periode","n_soorten","density_per_km2","korte_beschrijving","post_break","log_msi","gam_fit_log","gam_fit_se","gam_fit_msi","gam_fit_lower","gam_fit_upper"
100,1958,3.65811219624096,38.78804948571,"1958-1983",8,56.417161961367,"Watervogels","pre",3.65811219624096,4.05395220714195,0.0956105975941924,57.6247525487049,47.7775295492622,69.5015447141459
100,1959,4.13507929395079,62.4945463134828,"1958-1983",9,87.5486381322957,"Watervogels","pre",4.13507929395079,4.1072569336396,0.0817151993595236,60.7797657635063,51.7847209238311,71.3372566340634
100,1960,4.08318244820875,59.3339970744094,"1958-1983",10,91.7960971724413,"Watervogels","pre",4.08318244820875,4.1600170156948,0.0696068515194714,64.0726128306862,55.9012972615096,73.4383621858751
100,1961,4.48536670315444,88.709474893527,"1958-1983",9,100.559776089564,"Watervogels","pre",4.48536670315444,4.21143861271978,0.0601835084165663,67.4535095192521,59.9480849128387,75.8986038182746
100,1962,4.54257557090707,93.9324184375115,"1958-1983",9,105.757696921232,"Watervogels","pre",4.54257557090707,4.26054676201926,0.054182278147566,70.8487102500193,63.7105071795939,78.7866863144189
100,1963,4.16641878676199,64.4841067693578,"1958-1983",9,79.2803781064187,"Watervogels","pre",4.16641878676199,4.30632122360323,0.0516254575299552,74.1671421258478,67.0296679660179,82.0646310512001
100,1964,4.31957371864044,75.1565836118413,"1958-1983",10,127.083646193122,"Watervogels","pre",4.31957371864044,4.34781464201289,0.0515833033286381,77.3093296231961,69.8752400918552,85.5343386145252
100,1965,4.50801691288429,90.7416912867242,"1958-1983",11,150.141110065851,"Watervogels","pre",4.50801691288429,4.38424924613222,0.0526696614184199,80.1780066632124,72.3139249172603,88.8973010363006
100,1966,4.55911904871717,95.499312519986,"1958-1983",11,153.660797034291,"Watervogels","pre",4.55911904871717,4.41508893739848,0.053729260535648,82.6891947409508,74.4240830782444,91.8721822843072
100,1967,4.62284438153238,101.783130838783,"1958-1983",11,148.387096774194,"Watervogels","pre",4.62284438153238,4.4400847115358,0.0541390468091816,84.7821233935174,76.2465508560618,94.2732276596109
100,1968,4.6825213542566,108.042141950122,"1958-1983",10,135.714285714286,"Watervogels","pre",4.6825213542566,4.45929277670042,0.0537871497571108,86.4263647386796,77.7788826554598,96.0352767605483
100,1969,4.27555024955761,71.9197022082506,"1958-1983",11,112.142857142857,"Watervogels","pre",4.27555024955761,4.47306631696356,0.0529361040249671,87.6249975122212,78.9892330817791,97.2048960276326
100,1970,4.25909846276943,70.7461743853441,"1958-1983",12,133.866666666667,"Watervogels","pre",4.25909846276943,4.48202344656029,0.0520442371461549,88.4133915736669,79.8393700449744,97.9081849613191
100,1971,4.24568048335951,69.8032439320424,"1958-1983",12,130.008904719501,"Watervogels","pre",4.24568048335951,4.48699535703568,0.0515543024530912,88.8540696395507,80.3143993438612,98.3017460879955
100,1972,4.34189490124412,76.8530303520385,"1958-1983",12,134.100974313552,"Watervogels","pre",4.34189490124412,4.48895984409733,0.0516902036273654,89.0287938752914,80.4508987561618,98.5212876603452
100,1973,4.54209774447891,93.8875457670485,"1958-1983",13,142.432195975503,"Watervogels","pre",4.54209774447891,4.48896620886263,0.0523578157609381,89.0293605244726,80.3462073917499,98.6509169841711
100,1974,4.5029516204407,90.2832202088303,"1958-1983",12,123.99658411614,"Watervogels","pre",4.5029516204407,4.48805788934868,0.0532164102962097,88.9485301344613,80.1382866219194,98.7273542596195
100,1975,4.52206085398524,92.0250528886379,"1958-1983",13,139.69118982743,"Watervogels","pre",4.52206085398524,4.48719906214186,0.0538742587063668,88.8721715109002,79.966317524953,98.7698710347424
100,1976,4.50557514086167,90.5203910559646,"1958-1983",13,128.043143297381,"Watervogels","pre",4.50557514086167,4.48721087198512,0.0541068816356982,88.8732210835137,79.9308098821372,98.816081526083
100,1977,4.4628694783584,86.7360395377837,"1958-1983",13,120.971659919028,"Watervogels","pre",4.4628694783584,4.48872194871196,0.0540422268636993,89.0076168551207,80.0618278302693,98.9529726328923
100,1978,4.59165905300766,98.6579732683734,"1958-1983",13,120.062695924765,"Watervogels","pre",4.59165905300766,4.49213654119518,0.0542990826108866,89.3120610752526,80.295239822605,99.3414338276133
100,1979,4.51630399399565,91.4967995428209,"1958-1983",14,130.141287284144,"Watervogels","pre",4.51630399399565,4.49762204822185,0.0560172092265644,89.803329209361,80.4654836658927,100.224811554861
100,1980,4.48585310427662,88.7526337770772,"1958-1983",14,110.501567398119,"Watervogels","pre",4.48585310427662,4.50511608490987,0.0606169356816826,90.4788466680205,80.3431543744289,101.893207431506
100,1981,4.60397623143576,99.8806757927824,"1958-1983",14,118.181818181818,"Watervogels","pre",4.60397623143576,4.51435162481922,0.069252890349203,91.3183382794737,79.7276107844598,104.594115188885
100,1982,4.52229968004822,92.047033494381,"1958-1983",14,106.545153272577,"Watervogels","pre",4.52229968004822,4.52489733113856,0.0823957161774271,92.2864503974616,78.5237971637409,108.461246584951
100,1983,4.44691527929517,85.3632157682433,"1958-1983",14,105.485893416928,"Watervogels","pre",4.44691527929517,4.53620904777924,0.0999422206751708,93.3362951529501,76.7322657987131,113.533256214946
100,1984,4.59777058016729,99.2627703860537,"1984-2025",14,120.07914982427,"Watervogels","post",4.59777058016729,4.6158111255019,0.0754899577075062,101.069775565756,87.1691782846843,117.187057787227
100,1985,4.54170391209631,93.8505770914111,"1984-2025",13,118.125879818512,"Watervogels","post",4.54170391209631,4.5876580683146,0.0680985949811514,98.2640328278271,85.9860283622765,112.29522204359
