"groep_100","jaar","territoria","surveyed_km2","density_per_km2","periode","korte_beschrijving","index_raw","index_spliced","bridge_factor"
100,1958,243,4.3072,56.417161961367,"1958-1983","Watervogels",47.4320798113947,47.4320798113947,0.682057463784356
100,1959,441,5.0372,87.5486381322957,"1958-1983","Watervogels",73.6055102189218,73.6055102189218,0.682057463784356
100,1960,461,5.022,91.7960971724413,"1958-1983","Watervogels",77.1765125377866,77.1765125377866,0.682057463784356
100,1961,503,5.002,100.559776089564,"1958-1983","Watervogels",84.544474756855,84.544474756855,0.682057463784356
100,1962,529,5.002,105.757696921232,"1958-1983","Watervogels",88.9145668914041,88.9145668914041,0.682057463784356
100,1963,416,5.2472,79.2803781064187,"1958-1983","Watervogels",66.6540657326266,66.6540657326266,0.682057463784356
100,1964,677,5.3272,127.083646193122,"1958-1983","Watervogels",106.844113376049,106.844113376049,0.682057463784356
100,1965,798,5.315,150.141110065851,"1958-1983","Watervogels",126.229410839409,126.229410839409,0.682057463784356
100,1966,829,5.395,153.660797034291,"1958-1983","Watervogels",129.188547162368,129.188547162368,0.682057463784356
100,1967,851,5.735,148.387096774194,"1958-1983","Watervogels",124.754744345246,124.754744345246,0.682057463784356
100,1968,760,5.6,135.714285714286,"1958-1983","Watervogels",114.100224253649,114.100224253649,0.682057463784356
100,1969,628,5.6,112.142857142857,"1958-1983","Watervogels",94.2828168832786,94.2828168832786,0.682057463784356
100,1970,753,5.625,133.866666666667,"1958-1983","Watervogels",112.546859797143,112.546859797143,0.682057463784356
100,1971,730,5.615,130.008904719501,"1958-1983","Watervogels",109.303490825542,109.303490825542,0.682057463784356
100,1972,757,5.645,134.100974313552,"1958-1983","Watervogels",112.743851255436,112.743851255436,0.682057463784356
100,1973,814,5.715,142.432195975503,"1958-1983","Watervogels",119.748230012855,119.748230012855,0.682057463784356
100,1974,726,5.855,123.99658411614,"1958-1983","Watervogels",104.248701453017,104.248701453017,0.682057463784356
100,1975,769,5.505,139.69118982743,"1958-1983","Watervogels",117.443760630507,117.443760630507,0.682057463784356
100,1976,831,6.49,128.043143297381,"1958-1983","Watervogels",107.650799526961,107.650799526961,0.682057463784356
100,1977,747,6.175,120.971659919028,"1958-1983","Watervogels",101.705531237559,101.705531237559,0.682057463784356
100,1978,766,6.38,120.062695924765,"1958-1983","Watervogels",100.941330217467,100.941330217467,0.682057463784356
100,1979,829,6.37,130.141287284144,"1958-1983","Watervogels",109.414789943638,109.414789943638,0.682057463784356
100,1980,705,6.38,110.501567398119,"1958-1983","Watervogels",92.9029214142483,92.9029214142483,0.682057463784356
100,1981,754,6.38,118.181818181818,"1958-1983","Watervogels",99.3600038955223,99.3600038955223,0.682057463784356
100,1982,643,6.035,106.545153272577,"1958-1983","Watervogels",89.5766117587189,89.5766117587189,0.682057463784356
100,1983,673,6.38,105.485893416928,"1958-1983","Watervogels",88.6860512223959,88.6860512223959,0.682057463784356
100,1984,363,3.02300608,120.07914982427,"1984-2025","Watervogels",136.139921101272,92.8552493061359,0.682057463784356
100,1985,606,5.13012052,118.125879818512,"1984-2025","Watervogels",133.925398223132,91.3448174483791,0.682057463784356
100,1986,512,4.23796013,120.812840209518,"1984-2025","Watervogels",136.971743705834,93.4226001221221,0.682057463784356
100,1987,556,5.02247314,110.702433741637,"1984-2025","Watervogels",125.509054797281,85.604387597005,0.682057463784356
100,1988,525,4.70180252,111.659304653229,"1984-2025","Watervogels",126.593908667406,86.3443202762397,0.682057463784356
100,1989,543,4.70180252,115.487623669911,"1984-2025","Watervogels",130.934271250289,89.304696971425,0.682057463784356
100,1990,674,4.85514176,138.821899198264,"1984-2025","Watervogels",157.38954207819,107.348711896032,0.682057463784356
100,1991,569,5.55688703,102.395459351276,"1984-2025","Watervogels",116.091009784895,79.1807397020505,0.682057463784356
100,1992,734,6.1308353,119.722674657399,"1984-2025","Watervogels",135.735766831664,92.5795928700296,0.682057463784356
100,1993,734,6.1308353,119.722674657399,"1984-2025","Watervogels",135.735766831664,92.5795928700296,0.682057463784356
100,1994,799,6.1308353,130.324818870929,"1984-2025","Watervogels",147.755964166893,100.778058178683,0.682057463784356
100,1995,730,6.09164596,119.836248658154,"1984-2025","Watervogels",135.864531529986,92.6674177935921,0.682057463784356
100,1996,795,6.44975091,123.260574104869,"1984-2025","Watervogels",139.746865780546,95.3153928460918,0.682057463784356
100,1997,567,6.09164596,93.0782917659909,"1984-2025","Watervogels",105.52765668151,71.9759258752969,0.682057463784356
100,1998,530,5.62796272,94.1726209586548,"1984-2025","Watervogels",106.768354089562,72.8221528027567,0.682057463784356
100,1999,584,6.09164596,95.8689989265233,"1984-2025","Watervogels",108.691625223989,74.1339342348737,0.682057463784356
100,2000,551,5.70172844,96.6373628274727,"1984-2025","Watervogels",109.562758980394,74.7280975153841,0.682057463784356
100,2001,597,6.44975091,92.5617141391279,"1984-2025","Watervogels",104.94198600124,71.5764648164991,0.682057463784356
100,2002,512,6.09164596,84.0495333054451,"1984-2025","Watervogels",95.2912878676067,64.9941341237248,0.682057463784356
100,2003,458,6.2141484,73.7027780025337,"1984-2025","Watervogels",83.560638103231,56.9931568968922,0.682057463784356
100,2004,435,6.2141484,70.0015467927995,"1984-2025","Watervogels",79.3643615172608,54.1310551313277,0.682057463784356
100,2005,359,6.2141484,57.771391491069,"1984-2025","Watervogels",65.4984041027509,44.6736753842452,0.682057463784356
100,2006,388,5.65793112,68.5763032053314,"1984-2025","Watervogels",77.748489404309,53.0289374961679,0.682057463784356
100,2007,482,6.1308353,78.6189770910988,"1984-2025","Watervogels",89.1343863935451,60.7947735195562,0.682057463784356
100,2008,404,6.02064405,67.1024555919395,"1984-2025","Watervogels",76.0775124020892,51.8892351599919,0.682057463784356
100,2009,480,5.98606767,80.1861967591155,"1984-2025","Watervogels",90.9112241065402,62.006678943638,0.682057463784356
100,2010,439,6.44975091,68.0646440654559,"1984-2025","Watervogels",77.1683950662384,52.6332798231878,0.682057463784356
100,2011,425,6.44975091,65.8940176032318,"1984-2025","Watervogels",74.7074439707319,50.9547697604893,0.682057463784356
100,2012,426,6.44975091,66.0490623505335,"1984-2025","Watervogels",74.8832261918395,51.0746633363963,0.682057463784356
100,2013,444,6.44975091,68.8398678019645,"1984-2025","Watervogels",78.0473061717764,53.2327477027229,0.682057463784356
100,2014,448,6.44975091,69.4600467911714,"1984-2025","Watervogels",78.7504350562068,53.7123220063511,0.682057463784356
100,2015,475,6.57225335,72.2735376596521,"1984-2025","Watervogels",81.9402346626719,55.887948635917,0.682057463784356
100,2016,493,6.44975091,76.4370604197488,"1984-2025","Watervogels",86.660635006049,59.1075329221676,0.682057463784356
100,2017,444,6.57225335,67.5567383597591,"1984-2025","Watervogels",76.5925561899502,52.2405246196782,0.682057463784356
100,2018,397,6.57225335,60.4054620018566,"1984-2025","Watervogels",68.4847856022753,46.7105591757033,0.682057463784356
100,2019,431,6.10857011,70.5566101786135,"1984-2025","Watervogels",79.9936654860307,54.5602766002163,0.682057463784356
100,2020,487,6.44975091,75.5067919359385,"1984-2025","Watervogels",85.6059416794034,58.3881714667254,0.682057463784356
100,2021,469,6.57225335,71.3606087628987,"1984-2025","Watervogels",80.9052001195645,55.181995600516,0.682057463784356
