"jaar","groep_100","soort_id","soort_naam","territoria","surveyed_km2","density_per_km2","periode","index_raw","bridge_factor","index_spliced","log_index_spliced"
1984,100,1,"Dodaars",16,3.02300608,5.2927448958356,"1984-2025",102.752081627116,1.25657312541749,129.115504353338,4.86070738632982
1985,100,1,"Dodaars",8,5.13012052,1.55941755535989,"1984-2025",30.274158889685,1.25657312541749,38.0416944553972,3.63868278072817
1986,100,1,"Dodaars",7,4.23796013,1.65173804973951,"1984-2025",32.0664468538781,1.25657312541749,40.2938353442114,3.6961984881254
1987,100,1,"Dodaars",6,5.02247314,1.19463057994572,"1984-2025",23.19227192707,1.25657312541749,29.1427856209306,3.37220739060214
1988,100,1,"Dodaars",10,4.70180252,2.12684389815674,"1984-2025",41.2900379920979,1.25657312541749,51.8839520883374,3.9490095340399
1989,100,1,"Dodaars",25,4.70180252,5.31710974539186,"1984-2025",103.225094980245,1.25657312541749,129.709880220843,4.86530026591405
1990,100,1,"Dodaars",41,4.85514176,8.44465558921188,"1984-2025",163.942520845526,1.25657312541749,206.005765807684,5.32790415775558
1991,100,1,"Dodaars",32,5.55688703,5.75861985806827,"1984-2025",111.796466552039,1.25657312541749,140.480435385927,4.9450682291554
1992,100,1,"Dodaars",44,6.1308353,7.17683608300487,"1984-2025",139.329376635093,1.25657312541749,175.07755026083,5.16522902011165
1993,100,1,"Dodaars",50,6.1308353,8.15549554886917,"1984-2025",158.328837085333,1.25657312541749,198.951761660033,5.29306239162154
1994,100,1,"Dodaars",50,6.1308353,8.15549554886917,"1984-2025",158.328837085333,1.25657312541749,198.951761660033,5.29306239162154
1995,100,1,"Dodaars",51,6.09164596,8.37212148159707,"1984-2025",162.534361054516,1.25657312541749,204.236310058008,5.31927770607402
1996,100,1,"Dodaars",44,6.44975091,6.82196888127576,"1984-2025",132.440069782699,1.25657312541749,166.420632417356,5.11451851359339
1997,100,1,"Dodaars",32,6.09164596,5.25309583159032,"1984-2025",101.982344191069,1.25657312541749,128.148272977573,4.85318797614942
1998,100,1,"Dodaars",33,5.62796272,5.86357828610492,"1984-2025",113.834104333063,1.25657312541749,143.040876260897,4.96313043739146
1999,100,1,"Dodaars",40,6.09164596,6.5663697894879,"1984-2025",127.477930238836,1.25657312541749,160.185341221967,5.07633152746363
2000,100,1,"Dodaars",36,5.70172844,6.31387488527952,"1984-2025",122.57605464909,1.25657312541749,154.025776091752,5.03711996562679
2001,100,1,"Dodaars",36,6.44975091,5.58161090286198,"1984-2025",108.360057094935,1.25657312541749,136.1623356142,4.91384781813124
2002,100,1,"Dodaars",35,6.09164596,5.74557356580191,"1984-2025",111.543188958982,1.25657312541749,140.162173569221,4.9428001348391
2003,100,1,"Dodaars",34,6.2141484,5.47138526656364,"1984-2025",106.220162994383,1.25657312541749,133.473402196207,4.89390222350513
