"groep_100","jaar","territoria","surveyed_km2","density_per_km2","periode","korte_beschrijving"
200,1971,151,5.615,26.8922528940338,"1958-1983","Rietvogels"
200,1972,161,5.645,28.5208148804252,"1958-1983","Rietvogels"
200,1973,160,5.715,27.9965004374453,"1958-1983","Rietvogels"
200,1974,149,5.855,25.4483347566183,"1958-1983","Rietvogels"
200,1975,189,5.505,34.3324250681199,"1958-1983","Rietvogels"
200,1976,216,6.49,33.2819722650231,"1958-1983","Rietvogels"
200,1977,191,6.175,30.9311740890688,"1958-1983","Rietvogels"
200,1978,231,6.38,36.2068965517241,"1958-1983","Rietvogels"
200,1979,272,6.37,42.7001569858713,"1958-1983","Rietvogels"
200,1980,334,6.38,52.3510971786834,"1958-1983","Rietvogels"
200,1981,464,6.38,72.7272727272727,"1958-1983","Rietvogels"
200,1982,476,6.035,78.8732394366197,"1958-1983","Rietvogels"
200,1983,497,6.38,77.8996865203762,"1958-1983","Rietvogels"
200,1984,166,3.02300608,54.9122282942944,"1984-2025","Rietvogels"
200,1985,395,5.13012052,76.9962417958945,"1984-2025","Rietvogels"
200,1986,321,4.23796013,75.7439877094832,"1984-2025","Rietvogels"
200,1987,452,5.02247314,89.9955036892442,"1984-2025","Rietvogels"
200,1988,485,4.70180252,103.151929060602,"1984-2025","Rietvogels"
200,1989,492,4.70180252,104.640719789312,"1984-2025","Rietvogels"
200,1990,496,4.85514176,102.159735908514,"1984-2025","Rietvogels"
200,1991,450,5.55688703,80.980591754085,"1984-2025","Rietvogels"
200,1992,560,6.1308353,91.3415501473347,"1984-2025","Rietvogels"
200,1993,593,6.1308353,96.7241772095884,"1984-2025","Rietvogels"
200,1994,618,6.1308353,100.801924984023,"1984-2025","Rietvogels"
200,1995,560,6.09164596,91.9291770528306,"1984-2025","Rietvogels"
200,1996,645,6.44975091,100.003862009611,"1984-2025","Rietvogels"
200,1997,468,6.09164596,76.8265265370084,"1984-2025","Rietvogels"
200,1998,408,5.62796272,72.4951497191154,"1984-2025","Rietvogels"
200,1999,403,6.09164596,66.1561756290906,"1984-2025","Rietvogels"
200,2000,373,5.70172844,65.4187592280351,"1984-2025","Rietvogels"
200,2001,496,6.44975091,76.902194661654,"1984-2025","Rietvogels"
200,2002,351,6.09164596,57.6198949027563,"1984-2025","Rietvogels"
200,2003,358,6.2141484,57.6104683949936,"1984-2025","Rietvogels"
