"groep_100","overall_trend_pct_per_jaar_oud","pre_trend_pct_per_jaar_oud","post_trend_pct_per_jaar_oud","korte_beschrijving","overall_trend_pct_per_jaar_msi","pre_trend_pct_per_jaar_msi","post_trend_pct_per_jaar_msi","trend_pre_pct_per_jaar_oud_periodetabel","trend_post_pct_per_jaar_oud_periodetabel","trend_pre_pct_per_jaar_msi_periodetabel","trend_post_pct_per_jaar_msi_periodetabel","delta_overall_trend","delta_pre_trend","delta_post_trend","richting_gewijzigd_overall","richting_gewijzigd_pre","richting_gewijzigd_post"
100,-1.2386069327592,1.57295223311056,-2.50461726406641,"Watervogels",-1.2386069327592,1.57295223311056,-2.50461726406641,1.57295223311054,-2.50461726406643,1.57295223311054,-2.50461726406643,-8.88178419700125e-16,-1.77635683940025e-15,-8.88178419700125e-16,FALSE,FALSE,FALSE
200,1.24780053358871,4.29695052654808,-1.30626789527881,"Rietvogels",1.24780053358871,4.29695052654808,-1.30626789527881,4.29695052654806,-1.30626789527882,4.29695052654806,-1.30626789527882,-4.44089209850063e-15,2.66453525910038e-15,-1.99840144432528e-15,FALSE,FALSE,FALSE
300,0.0715120364462862,3.28569123095792,0.987358413349737,"Vogels van pionierbegroeiingen",0.0715120364462862,3.28569123095792,0.987358413349737,3.28569123095797,0.987358413349759,3.28569123095797,0.987358413349759,2.77555756156289e-17,1.33226762955019e-15,1.11022302462516e-16,FALSE,FALSE,FALSE
400,-0.875180917506513,3.66523371190131,-0.128341266521659,"Vogels van open heide",-0.875180917506513,3.66523371190131,-0.128341266521659,3.66523371190137,-0.128341266521625,3.66523371190137,-0.128341266521625,1.11022302462516e-16,-4.44089209850063e-15,2.22044604925031e-16,FALSE,FALSE,FALSE
500,-1.96783136120927,0.28166802602585,-1.0871976385781,"Weidevogels",-1.96783136120927,0.28166802602585,-1.0871976385781,0.281668026025828,-1.08719763857807,0.281668026025828,-1.08719763857807,-1.33226762955019e-15,-2.77555756156289e-16,3.10862446895044e-15,FALSE,FALSE,FALSE
600,1.82422437752432,6.06268595232415,-0.171105826463647,"Struweelvogels",1.82422437752432,6.06268595232415,-0.171105826463647,6.06268595232413,-0.171105826463658,6.06268595232413,-0.171105826463658,-6.66133814775094e-16,3.5527136788005e-15,3.05311331771918e-16,FALSE,FALSE,FALSE
700,0.947973766195642,2.90691685848303,0.161199982625804,"Bosrandvogels",0.947973766195642,2.90691685848303,0.161199982625804,2.90691685848301,0.161199982625804,2.90691685848301,0.161199982625804,2.22044604925031e-16,3.10862446895044e-15,-3.05311331771918e-16,FALSE,FALSE,FALSE
800,1.69696256395984,4.18127914200537,0.110072808663086,"Bosvogels",1.69696256395984,4.18127914200537,0.110072808663086,4.18127914200539,0.110072808663086,4.18127914200539,0.110072808663086,-3.77475828372553e-15,-2.66453525910038e-15,4.44089209850063e-16,FALSE,FALSE,FALSE
900,0.231199658341352,5.89567278998835,-2.32641211193382,"Vogels van bebouwing/overige",0.231199658341352,5.89567278998835,-2.32641211193382,5.89567278998846,-2.32641211193383,5.89567278998846,-2.32641211193383,2.4980018054066e-16,-8.88178419700125e-16,2.22044604925031e-15,FALSE,FALSE,FALSE
