jaar	reeks	territoria	geteld_oppervlak_km2	territoria_per_km2	index_1990
2020	M1a + M1b	41	0.72356250	56.6641	46.06743765
2021	Landelijk	NULL	NULL	NULL	101.00000000
2021	M10-12-76 + M14	12	1.02777093	11.6758	14.35802211
2021	M1a + M1b	44	0.72356250	60.8102	49.43818215
2022	Landelijk	NULL	NULL	NULL	98.00000000
2022	M10-12-76 + M14	13	1.02777093	12.6487	15.55442148
2022	M1a + M1b	16	0.29445564	54.3376	44.17601268
2023	Landelijk	NULL	NULL	NULL	99.00000000
2023	M10-12-76 + M14	10	1.02777093	9.7298	11.96497743
2023	M1a + M1b	24	0.72356250	33.1692	26.96628117
2024	Landelijk	NULL	NULL	NULL	87.00000000
2024	M10-12-76 + M14	6	1.02777093	5.8379	7.17901106
2024	M1a + M1b	30	0.72356250	41.4615	33.70785147
2025	M10-12-76 + M14	5	1.02777093	4.8649	5.98248872
2025	M1a + M1b	31	0.72356250	42.8436	34.83148716
