kavel_nummer,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
35,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.215,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.19137915,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914,0.1914
36,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.40029839,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003,0.4003
41,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.18061456,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
42,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.39934582,0.3982,0.3982,0.3982,0.3982,0.3982,0.3982,0.3982,0.3982,0.3982,0.3982,0.3982,0.3982,0.3982,0.3982,0.3982,0.3982,0.3982,0.3982,0.3982,0.3982,0.3982,0.3982,0.3982,0.3982,0.3982,0.3982,0.3982,0.3982,0.3982
43,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3232999,0.3233,0.3233,0.3233,0.3233,0.3233,0.3233,0.3233,0.3233,0.3233,0.3233,0.3233,0.3233,0.3233,0.3233,0.3233,0.3233,0.3233,0.3233,0.3233,0.3233,0.3233,0.3233,0.3233,0.3233,0.3233,0.3233,0.3233,0.3233,0.3233
45,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,,0.395,0.395,0.395,0.395,0.395,0.395,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.39893068,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937,0.3937
46,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.29,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.29083889,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908,0.2908
51,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.40503516,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405,0.405
52,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.305,0.305,0.305,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.28390529,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809,0.2809
53,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.44751061,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,0.4411,,0.4411,0.4411,0.4411,0.4411
54a,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.23652066,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365,0.2365
54b,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.06658184,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663,0.0663
55,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.46230733,0.4599,0.4599,0.4599,0.4599,0.4599,0.4599,0.4599,0.4599,0.4599,0.4599,0.4599,0.4599,0.4599,0.4599,0.4599,0.4599,0.4599,0.4599,0.4599,0.4599,0.4599,0.4599,0.4599,0.4599,0.4599,0.4599,0.4599,0.4599,0.4599
61,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.21,0.23,0.23,0.23,0.23,0.22,0.24,0.23,0.23,0.23,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.19528551,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951,0.1951
62,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.215,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051323,0.2051,0.2051,0.2051,0.2051,0.2051,0.2051,0.2051,0.2051,0.2051,0.2051,0.2051,0.2051,0.2051,0.2051,0.2051,0.2051,0.2051,0.2051,0.2051,0.2051,0.2051,0.2051,0.2051,0.2051,0.2051,0.2051,0.2051,0.2051,0.2051
63,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.355,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.33888858,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389,0.3389
64,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.295,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.305,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.30833684,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083,0.3083
65,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.30803665,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308
66,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.57690923,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769,0.5769
71,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.48463054,0.48463054,,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.48463054,0.4846,0.4846,0.4846,0.4846,0.4846,0.4846,0.4846,0.4846,0.4846,0.4846,0.4846,0.4846,0.4846,0.4846,0.4846,0.4846,0.4846,0.4846,0.4846,0.4846,0.4846,0.4846,0.4846,0.4846,0.4846,0.4846,0.4846,0.4846,0.4846
72,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.08998431,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765,0.0765
73,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,0.47182172,,0.47182172,0.47182172,0.47182172,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718,0.4718
74,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.12519234,0.1252,0.1252,0.1252,0.1252,0.1252,0.1252,0.1252,0.1252,0.1252,0.1252,0.1252,0.1252,0.1252,0.1252,0.1252,0.1252,0.1252,0.1252,0.1252,0.1252,0.1252,0.1252,0.1252,0.1252,0.1252,0.1252,0.1252,0.1252,0.1252
75,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.48348721,0.4835,0.4835,0.4835,0.4835,0.4835,0.4835,0.4835,0.4835,0.4835,0.4835,0.4835,0.4835,0.4835,0.4835,0.4835,0.4835,0.4835,0.4835,0.4835,0.4835,0.4835,0.4835,0.4835,0.4835,0.4835,0.4835,0.4835,0.4835,0.4835
75a,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.06448681,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638
77,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.34,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.33433729,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343
