EURING,JAAR,AA_GEB,SUBDOELTYP,AANTAL,OPPERVLAKT
8760.0,1992,HO,13.7,26.0,360.1123
8760.0,1992,HO,3.2,1.0,5.0461
8760.0,1992,HO,3.3,6.0,73.4046
8760.0,1992,HO,5.4,9.0,283.6797
8760.0,1992,HO,6.3,1.0,46.9263
8760.0,1992,HO,99.1,1.0,1.4418
8760.0,1992,HO,99.11,2.0,45.0719
8760.0,1998,HO,13.6,27.0,459.3625
8760.0,1998,HO,13.7,20.0,360.1123
8760.0,1998,HO,20.9,1.0,6.8918
8760.0,1998,HO,3.3,7.0,73.4046
8760.0,1998,HO,5.4,1.0,283.6797
8760.0,1998,HO,99.3,1.0,1.439
8870.0,1992,HO,13.7,1.0,360.1123
8870.0,1992,HO,99.11,1.0,45.0719
9740.0,1992,HO,5.4,1.0,283.6797
9740.0,1998,HO,13.6,1.0,459.3625
9740.0,1998,HO,13.7,1.0,360.1123
9740.0,1998,HO,19.2,1.0,26.0694
9740.0,1998,HO,5.4,3.0,283.6797
9740.0,1998,HO,6.3,4.0,46.9263
9740.0,1998,HO,99.11,2.0,45.0719
9760.0,1992,HO,13.6,2.0,459.3625
9760.0,1992,HO,18.1,4.0,109.189
9760.0,1992,HO,6.5,3.0,46.8044
9760.0,1992,HO,9.2,1.0,29.3921
9760.0,1998,HO,18.1,1.0,109.189
9760.0,1998,HO,5.4,2.0,283.6797
9760.0,1998,HO,6.3,1.0,46.9263
9760.0,1998,HO,6.5,5.0,46.8044
10090.0,1992,HO,13.6,56.0,459.3625
10090.0,1992,HO,13.7,48.0,360.1123
10090.0,1992,HO,18.1,4.0,109.189
10090.0,1992,HO,19.2,3.0,26.0694
10090.0,1992,HO,3.3,22.0,73.4046
10090.0,1992,HO,5.4,49.0,283.6797
10090.0,1992,HO,6.3,13.0,46.9263
10090.0,1992,HO,6.5,4.0,46.8044
10090.0,1992,HO,99.11,9.0,45.0719
10090.0,1992,HO,99.4,1.0,1.4265
10090.0,1992,HO,99.8,2.0,4.5274
10090.0,1992,HO,9.2,5.0,29.3921
10090.0,1998,HO,13.6,48.0,459.3625
10090.0,1998,HO,13.7,35.0,360.1123
10090.0,1998,HO,18.1,5.0,109.189
10090.0,1998,HO,19.2,5.0,26.0694
10090.0,1998,HO,20.9,2.0,6.8918
10090.0,1998,HO,3.2,1.0,5.0461
10090.0,1998,HO,3.3,21.0,73.4046
10090.0,1998,HO,5.4,41.0,283.6797
10090.0,1998,HO,6.3,11.0,46.9263
10090.0,1998,HO,6.5,1.0,46.8044
10090.0,1998,HO,99.11,17.0,45.0719
10090.0,1998,HO,99.8,1.0,4.5274
10090.0,1998,HO,9.2,3.0,29.3921
10110.0,1992,HO,13.6,2.0,459.3625
10110.0,1992,HO,13.7,3.0,360.1123
10110.0,1992,HO,19.2,1.0,26.0694
10110.0,1992,HO,5.4,15.0,283.6797
10110.0,1992,HO,6.3,1.0,46.9263
10110.0,1992,HO,6.5,6.0,46.8044
10110.0,1992,HO,9.2,2.0,29.3921
10110.0,1998,HO,5.4,6.0,283.6797
10110.0,1998,HO,6.3,4.0,46.9263
10110.0,1998,HO,6.5,3.0,46.8044
10110.0,1998,HO,9.2,1.0,29.3921
10171.0,1992,HO,18.1,1.0,109.189
10171.0,1992,HO,6.5,1.0,46.8044
10171.0,1998,HO,6.5,1.0,46.8044
10840.0,1998,HO,13.6,5.0,459.3625
10840.0,1998,HO,13.7,6.0,360.1123
10840.0,1998,HO,5.4,3.0,283.6797
11210.0,1992,HO,13.6,1.0,459.3625
11220.0,1998,HO,13.6,16.0,459.3625
11220.0,1998,HO,13.7,6.0,360.1123
11220.0,1998,HO,20.9,1.0,6.8918
11220.0,1998,HO,3.3,15.0,73.4046
11220.0,1998,HO,5.4,3.0,283.6797
11220.0,1998,HO,99.11,8.0,45.0719
11370.0,1998,HO,5.4,1.0,283.6797
11390.0,1992,HO,5.4,3.0,283.6797
11390.0,1998,HO,13.6,1.0,459.3625
11390.0,1998,HO,5.4,8.0,283.6797
11390.0,1998,HO,6.3,3.0,46.9263
11390.0,1998,HO,6.5,2.0,46.8044
11390.0,1998,HO,99.11,2.0,45.0719
11390.0,1998,HO,9.2,2.0,29.3921
11460.0,1992,HO,6.3,1.0,46.9263
12020.0,1992,HO,13.6,6.0,459.3625
12020.0,1992,HO,13.7,11.0,360.1123
12020.0,1992,HO,3.2,1.0,5.0461
12020.0,1992,HO,3.3,2.0,73.4046
12020.0,1992,HO,5.4,4.0,283.6797
12020.0,1992,HO,6.3,5.0,46.9263
12020.0,1992,HO,99.11,3.0,45.0719
12020.0,1998,HO,13.6,7.0,459.3625
12020.0,1998,HO,13.7,4.0,360.1123
12020.0,1998,HO,3.3,1.0,73.4046
12020.0,1998,HO,5.4,1.0,283.6797
12020.0,1998,HO,6.3,2.0,46.9263
12020.0,1998,HO,99.11,1.0,45.0719
12360.0,1998,HO,5.4,1.0,283.6797
12500.0,1992,HO,6.5,1.0,46.8044
12510.0,1992,HO,5.4,4.0,283.6797
12510.0,1998,HO,13.6,1.0,459.3625
12510.0,1998,HO,5.4,4.0,283.6797
12590.0,1992,HO,99.11,1.0,45.0719
12740.0,1992,HO,13.6,2.0,459.3625
12740.0,1992,HO,13.7,1.0,360.1123
12740.0,1992,HO,5.4,5.0,283.6797
12740.0,1992,HO,99.11,1.0,45.0719
12750.0,1992,HO,13.7,4.0,360.1123
12750.0,1992,HO,3.3,1.0,73.4046
12750.0,1992,HO,5.4,1.0,283.6797
12750.0,1992,HO,6.5,1.0,46.8044
12750.0,1992,HO,99.11,1.0,45.0719
12750.0,1998,HO,13.6,6.0,459.3625
12750.0,1998,HO,13.7,3.0,360.1123
12750.0,1998,HO,19.2,1.0,26.0694
12750.0,1998,HO,5.4,7.0,283.6797
12750.0,1998,HO,6.3,1.0,46.9263
12750.0,1998,HO,6.5,1.0,46.8044
12750.0,1998,HO,99.11,3.0,45.0719
12750.0,1998,HO,9.2,1.0,29.3921
12760.0,1998,HO,13.6,4.0,459.3625
12760.0,1998,HO,13.7,7.0,360.1123
12760.0,1998,HO,3.3,2.0,73.4046
12760.0,1998,HO,5.4,7.0,283.6797
12760.0,1998,HO,6.3,1.0,46.9263
12760.0,1998,HO,99.11,2.0,45.0719
12760.0,1998,HO,9.2,1.0,29.3921
12770.0,1998,HO,13.6,40.0,459.3625
