CHANGE,X,Y
1,179.5,492.0
1,177.9,492.1
1,173.0,489.5
1,170.0,486.4
1,167.0,486.6
1,165.2,484.5
1,166.2,481.4
1,164.6,476.2
1,156.3,473.8
1,150.0,479.6
1,146.0,482.0
1,141.8,483.2
1,138.9,482.7
0,137.6,481.6
1,138.8,482.7
1,137.0,487.7
1,154.5,500.0
1,158.0,503.3
1,160.0,507.2
1,162.3,507.6
1,167.0,511.9
1,172.8,514.3
1,169.0,519.3
1,169.0,525.0
1,169.0,531.0
1,173.6,538.3
1,176.9,538.7
1,176.0,539.8
1,173.3,539.7
1,172.3,541.5
1,170.6,540.4
1,166.0,538.5
1,160.0,540.8
1,157.6,540.2
1,153.0,543.6
1,153.0,545.0
1,156.3,547.0
1,155.7,550.7
1,156.5,551.6
1,155.7,556.0
1,156.2,558.8
1,153.5,565.0
1,154.5,569.0
1,155.9,570.0
1,156.5,576.5
1,159.0,581.5
1,165.0,586.5
1,167.8,590.0
1,170.0,591.4
1,175.0,593.0
1,180.0,595.0
1,185.0,598.0
1,190.0,600.0
1,195.0,602.0
1,200.0,602.5
1,205.0,602.2
1,207.6,603.4
1,209.3,602.6
1,212.5,603.6
1,216.0,601.4
1,222.0,604.0
1,225.0,605.0
1,230.0,605.0
1,235.0,606.4
1,240.0,608.8
1,245.0,610.0
1,250.0,608.0
1,255.0,600.2
1,255.8,597.0
1,259.0,594.3
1,264.3,591.9
1,267.7,592.0
1,269.1,592.8
1,268.1,590.9
1,267.6,587.5
1,272.1,584.8
1,276.6,584.5
1,278.2,587.0
1,278.8,594.3
1,280.0,594.3
1,280.0,595.0
1,275.0,595.7
1,270.0,595.7
1,264.0,595.8
1,262.3,598.3
1,263.0,600.0
0,110.0,556.2
1,109.0,560.0
1,110.0,563.7
1,115.0,572.3
1,119.0,577.5
1,119.7,577.6
1,120.6,576.5
1,122.8,572.0
1,122.0,565.7
1,120.0,563.0
1,116.6,560.0
1,114.8,557.8
1,111.0,555.8
1,110.0,556.2
0,120.0,582.0
1,124.3,585.0
1,130.0,589.8
1,133.5,591.4
1,135.8,591.0
1,135.7,590.0
1,134.0,589.1
1,130.0,587.8
1,127.0,586.6
1,128.0,584.7
1,124.0,581.2
1,120.0,582.0
0,139.4,597.7
1,141.6,600.0
1,143.0,601.7
1,160.0,606.0
1,165.0,607.5
1,168.3,605.4
1,165.0,604.0
1,160.0,602.2
1,155.0,601.8
1,152.0,599.6
1,150.0,599.0
1,148.9,598.3
1,145.0,597.8
1,141.4,595.4
1,139.6,596.2
1,139.4,597.7
0,170.0,607.0
1,170.5,608.5
1,171.7,609.4
1,176.0,608.3
1,180.0,608.3
1,185.0,609.0
1,190.0,609.4
1,192.2,609.1
1,193.4,608.5
1,193.0,608.0
1,190.0,608.0
1,182.8,605.8
1,180.0,606.0
1,177.5,606.4
1,176.1,604.9
1,174.4,604.3
1,171.0,605.0
1,170.0,607.0
0,204.8,607.9
1,203.5,609.0
1,204.4,611.3
1,207.5,613.3
1,209.0,613.0
1,216.0,614.0
1,217.8,613.7
1,217.8,613.0
1,214.5,611.9
1,212.0,610.5
1,208.8,609.9
1,206.3,609.8
1,204.8,608.0
1,204.8,607.8
0,225.0,619.1
1,230.0,617.7
1,228.4,616.8
1,226.4,616.6
1,224.5,617.6
1,224.3,618.4
1,225.0,619.1
0,233.4,618.9
1,236.6,618.2
1,235.0,618.0
1,232.9,618.0
