EURING,VARIABELE,WAARDE,VARNR
70,Vocht-opt,1,21
70,Voedsel-eco1,1,6
70,Voedsel-pl1,1,8
70,Voedsel-pl2,2,9
70,Voedselrijk-max,3,29
70,Voedselrijk-min,1,28
70,Voedselrijk-opt,2,27
70,Zout-max,3,32
70,Zout-min,1,31
70,Zout-opt,1,30
70,Zuur-max,3,26
70,Zuur-min,1,25
70,Zuur-opt,2,24
90,AORO_LIJST,-,36
90,APBL_LIJST,-,37
90,AQNBP,-,38
90,ARBMP,*,39
90,ASPTT,*,40
90,ATOE_GROEP,II,41
90,AUPMI73_77,   5000,42
90,AVPMA73_77,   7500,43
90,AWPMI79_85,  7000,44
90,AXPMA79_85, 10000,45
90,AYTRST_BR,SDe,46
90,AZTRST_NBR,WDo,47
90,BAWINT_GEB, 12,48
90,BBBROEDGEB,1234,49
90,BCBRV_NED,*,50
90,BDPRESENT,762,51
90,BEBROEDBIO,d1e,52
90,BFBRTYBEG,3,53
90,BGBRTYEND,7,54
90,BHBRDUUR,27,55
90,BIEI_MIN, 3,56
90,BJEI_NORM, 4,57
90,BKEI_MAX, 6,58
90,BLLEG_MIN,1,59
90,BMLEG_NORM,1,60
90,BNLEG_MAX,2,61
90,Bodem1,x,19
90,BONESTH,1,62
90,BPHOLBROED,-,63
90,BQKOLBROED,-,64
90,BRNESTPER, 75,65
90,Broed-eco1,1,2
90,Broedvogel,1,1
90,BSNESTVLIE,*,66
90,BTGESLRIJP,-,67
90,BULEEF_MAX,10,68
90,BVOVERLEV,-,69
90,BWONVKLEED,6,70
90,BXGEW_MAN, 1110,71
90,BYGEW_VR,1011,72
90,BZLENG_MAN,198,73
90,CALENG_VR,184,74
90,Kolonievogel,o,15
90,Nest-pl1,2,4
90,Openh-max,5,12
90,Openh-min,2,11
90,Openh-opt.,4,10
90,Stroming-max,3,35
90,Stroming-min,1,34
90,Stroming-opt,1,33
90,Ter-gem,2,16
90,Ter-max,3,18
90,Ter-min,1,17
90,Vocht-max,1,23
90,Vocht-min,1,22
90,Vocht-opt,1,21
90,Voedsel-eco1,1,6
90,Voedsel-pl1,1,8
90,Voedselrijk-max,3,29
90,Voedselrijk-min,2,28
90,Voedselrijk-opt,3,27
90,Zout-max,3,32
90,Zout-min,1,31
90,Zout-opt,1,30
90,Zuur-max,3,26
90,Zuur-min,1,25
90,Zuur-opt,3,24
100,AORO_LIJST,-,36
100,APBL_LIJST,-,37
100,AQNBP,-,38
100,ARBMP,-,39
100,ASPTT,-,40
100,ATOE_GROEP,II,41
100,AUPMI73_77,      0,42
100,AVPMA73_77,      0,43
100,AWPMI79_85,     0,44
100,AXPMA79_85,     1,45
100,AYTRST_BR,Z,46
100,AZTRST_NBR,WDo,47
100,BAWINT_GEB,  1,48
100,BBBROEDGEB,1234,49
100,BCBRV_NED,i,50
100,BDPRESENT,3,51
100,BEBROEDBIO,d1,52
100,BFBRTYBEG,4,53
100,BGBRTYEND,6,54
100,BHBRDUUR,24,55
100,BIEI_MIN, 2,56
100,BJEI_NORM, 4,57
100,BKEI_MAX, 7,58
100,BLLEG_MIN,1,59
100,BMLEG_NORM,1,60
100,BNLEG_MAX,2,61
100,Bodem1,x,19
100,BONESTH,1,62
100,BPHOLBROED,-,63
100,BQKOLBROED,-,64
100,BRNESTPER, 72,65
100,Broed-eco1,1,2
100,Broedvogel,2,1
100,BSNESTVLIE,*,66
100,BTGESLRIJP,2,67
100,BULEEF_MAX,-,68
100,BVOVERLEV,-,69
100,BWONVKLEED,6,70
100,BXGEW_MAN,  834,71
100,BYGEW_VR, 783,72
100,BZLENG_MAN,175,73
100,CALENG_VR,169,74
100,Nest-pl1,2,4
100,Openh-max,5,12
100,Openh-min,2,11
100,Openh-opt.,3,10
100,Stroming-max,3,35
100,Stroming-min,1,34
100,Stroming-opt,1,33
100,Ter-gem,2,16
100,Ter-max,3,18
100,Ter-min,2,17
100,Vocht-max,1,23
100,Vocht-min,1,22
100,Vocht-opt,1,21
100,Voedsel-eco1,1,6
100,Voedsel-pl1,1,8
100,Voedselrijk-max,3,29
100,Voedselrijk-min,2,28
100,Voedselrijk-opt,3,27
100,Zout-max,3,32
100,Zout-min,1,31
100,Zout-opt,1,30
100,Zuur-max,3,26
100,Zuur-min,2,25
100,Zuur-opt,3,24
