SUBNHLVOLG,SUBNHLCODE,SUBNHLOMS,GROEPNR,GROEPNAAM,REFERENTIE,ONDERGRENS,REF_KLAS,ONDER_KLAS
1.0,1.1,Kwelders,502.0,Grutto-groep,18.0547,5.9581,24.95,8.2335
1.0,1.1,Kwelders,503.0,Veldleeuwerik-groep,2.5701,0.8481,3.0,0.99
1.0,1.1,Kwelders,600.0,Struweelvogels,3.4268,1.1309,4.0,1.32
1.0,1.1,Kwelders,601.0,Rietgors-groep,1.7225,0.5684,2.25,0.7425
1.0,1.1,Kwelders,602.0,Roodborsttapuit-groep,1.0116,0.3338,0.95,0.3135
1.0,1.1,Kwelders,603.0,Grasmus-groep,1.522,0.5023,1.55,0.5115
1.0,1.1,Kwelders,604.0,Winterkoning-groep,0.1823,0.0602,0.2,0.066
1.0,1.1,Kwelders,611.0,Zwartkop-groep,0.1823,0.0602,0.2,0.066
1.0,1.1,Kwelders,700.0,Bosrandvogels,0.1342,0.0443,0.4,0.132
1.0,1.1,Kwelders,701.0,Buidelmees-groep,0.0522,0.0172,0.2,0.066
1.0,1.1,Kwelders,702.0,Geelgors-groep,0.082,0.0271,0.2,0.066
1.0,1.1,Kwelders,711.0,Bosrandstruweelvogels,1.6563,0.5466,1.95,0.6435
1.0,1.1,Kwelders,800.0,Bosvogels,3.5636,1.176,4.7,1.551
1.0,1.1,Kwelders,804.0,Grote Bonte Specht-groep,0.082,0.0271,0.2,0.066
1.0,1.1,Kwelders,806.0,Boomklever-groep,3.4815,1.1489,4.5,1.485
1.0,1.1,Kwelders,811.0,Loofhoutvogels,3.4815,1.1489,4.5,1.485
1.0,1.1,Kwelders,812.0,Holenbroeders,3.5636,1.176,4.7,1.551
1.0,1.1,Kwelders,813.0,Vogels van oud bos,3.5636,1.176,4.7,1.551
1.0,1.1,Kwelders,901.0,Zwarte Roodstaart-groep,3.5636,1.176,4.9,1.617
1.0,1.1,Kwelders,911.0,Rode Lijst soorten,148.375,48.9637,137.15,45.2595
1.0,1.1,Kwelders,912.0,Blauwe Lijst soorten,10.9276,3.6061,14.45,4.7685
1.0,1.1,Kwelders,921.0,Roofvogels,0.72,0.2376,1.15,0.3795
1.0,1.1,Kwelders,999.0,Overige soorten,0.2187,0.0722,0.2,0.066
4.0,2.1,Grote Stuifzanden,300.0,Pioniervogels,35.1292,11.5926,42.4,13.992
4.0,2.1,Grote Stuifzanden,303.0,Scholekster-groep,19.8398,6.5471,27.2,8.976
4.0,2.1,Grote Stuifzanden,304.0,Tapuit-groep,17.6556,5.8264,18.2,6.006
4.0,2.1,Grote Stuifzanden,305.0,Fazant-groep,0.182,0.0601,0.2,0.066
4.0,2.1,Grote Stuifzanden,306.0,Kievit-groep,0.182,0.0601,0.2,0.066
4.0,2.1,Grote Stuifzanden,400.0,Vogels van open heide,0.182,0.0601,0.2,0.066
4.0,2.1,Grote Stuifzanden,402.0,Wulp-groep,0.182,0.0601,0.2,0.066
4.0,2.1,Grote Stuifzanden,500.0,Weidevogels,0.182,0.0601,0.2,0.066
4.0,2.1,Grote Stuifzanden,503.0,Veldleeuwerik-groep,0.182,0.0601,0.2,0.066
4.0,2.1,Grote Stuifzanden,600.0,Struweelvogels,5.7335,1.8921,5.85,1.9305
4.0,2.1,Grote Stuifzanden,602.0,Roodborsttapuit-groep,2.9123,0.961,3.2,1.056
4.0,2.1,Grote Stuifzanden,603.0,Grasmus-groep,3.0943,1.0211,3.4,1.122
4.0,2.1,Grote Stuifzanden,604.0,Winterkoning-groep,2.6392,0.871,2.45,0.8085
4.0,2.1,Grote Stuifzanden,611.0,Zwartkop-groep,2.6392,0.871,2.45,0.8085
4.0,2.1,Grote Stuifzanden,700.0,Bosrandvogels,25.3003,8.3491,25.75,8.4975
4.0,2.1,Grote Stuifzanden,702.0,Geelgors-groep,24.7543,8.1689,25.35,8.3655
4.0,2.1,Grote Stuifzanden,703.0,Putter-groep,0.5461,0.1802,0.4,0.132
4.0,2.1,Grote Stuifzanden,711.0,Bosrandstruweelvogels,28.3946,9.3702,29.15,9.6195
4.0,2.1,Grote Stuifzanden,800.0,Bosvogels,18.2017,6.0066,17.9,5.907
4.0,2.1,Grote Stuifzanden,801.0,Vink-groep,0.364,0.1201,0.2,0.066
4.0,2.1,Grote Stuifzanden,802.0,Kruisbek-groep,0.364,0.1201,0.2,0.066
4.0,2.1,Grote Stuifzanden,803.0,Appelvink-groep,1.4561,0.4805,1.9,0.627
4.0,2.1,Grote Stuifzanden,804.0,Grote Bonte Specht-groep,13.4692,4.4448,12.75,4.2075
4.0,2.1,Grote Stuifzanden,805.0,Kleine Bonte Specht-groep,1.0921,0.3604,1.15,0.3795
4.0,2.1,Grote Stuifzanden,806.0,Boomklever-groep,1.4561,0.4805,1.7,0.561
4.0,2.1,Grote Stuifzanden,808.0,Torenvalk-groep,0.364,0.1201,0.4,0.132
4.0,2.1,Grote Stuifzanden,811.0,Loofhoutvogels,4.0044,1.3214,4.75,1.5675
4.0,2.1,Grote Stuifzanden,812.0,Holenbroeders,16.0175,5.2858,15.6,5.148
4.0,2.1,Grote Stuifzanden,813.0,Vogels van oud bos,17.4736,5.7663,17.5,5.775
4.0,2.1,Grote Stuifzanden,901.0,Zwarte Roodstaart-groep,1.6382,0.5406,1.7,0.561
4.0,2.1,Grote Stuifzanden,911.0,Rode Lijst soorten,11.4671,3.7841,13.75,4.5375
4.0,2.1,Grote Stuifzanden,921.0,Roofvogels,0.364,0.1201,0.4,0.132
4.0,2.1,Grote Stuifzanden,999.0,Overige soorten,1.0921,0.3604,1.5,0.495
6.0,2.3,Klei-oermoeras,100.0,Watervogels,12.158,4.0121,14.85,4.9005
6.0,2.3,Klei-oermoeras,101.0,Dodaars-groep,1.526,0.5036,1.7,0.561
6.0,2.3,Klei-oermoeras,102.0,Slobeend-groep,10.6022,3.4987,13.35,4.4055
6.0,2.3,Klei-oermoeras,103.0,Kuifeend-groep,1.5833,0.5225,1.5,0.495
6.0,2.3,Klei-oermoeras,104.0,IJsvogel-groep,0.129,0.0426,0.2,0.066
6.0,2.3,Klei-oermoeras,200.0,Rietvogels,71.3914,23.5592,85.9,28.347
6.0,2.3,Klei-oermoeras,201.0,Roerdomp-groep,11.7242,3.869,13.7,4.521
6.0,2.3,Klei-oermoeras,202.0,Rietzanger-groep,12.9765,4.2822,16.5,5.445
