INDEX,SOM,SOM_D,TEL_G,SOM_G,TEL_K,SOM_K,TEL_G_K,SOM_D_K
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2.0,6.06,0.0,0.0,0.0,0.0,0.0,0.0
48,4.0,0.8,4.0,0.8,2.0,0.4,2.0,0.4
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1.0,0.2,1.0,0.2,1.0,0.2,1.0,0.2
50,2.0,24.24,0.0,0.0,1.0,10.61,0.0,0.0
50,5.0,1.0,5.0,1.0,1.0,0.2,1.0,0.2
51,8.0,225.76,8.0,225.76,6.0,165.15,6.0,165.15
51,17.0,134.6,17.0,134.6,15.0,116.6,15.0,116.6
52,8.0,225.76,8.0,225.76,6.0,165.15,6.0,165.15
52,17.0,134.6,17.0,134.6,15.0,116.6,15.0,116.6
