SDT_CODE0,SUBNHL,OMSCHRIJVI,ECOGROEP,GROEPNAAM,HABITAT,STATUS,ONDERGRENS,REFERENTIE
13.07,13.7,Wintereiken-Beukenbos met exoten op leemhoudend za,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,7.178,21.53
13.07,13.7,Wintereiken-Beukenbos met exoten op leemhoudend za,812,Holenbroeders,"oud bos, dode bomen",Standaard,37.661,112.98
13.08,13.8,Vochtig Wintereiken-Beukenbos op leemhoudend zand,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,25.633,76.9
13.08,13.8,Vochtig Wintereiken-Beukenbos op leemhoudend zand,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,3.559,10.68
13.08,13.8,Vochtig Wintereiken-Beukenbos op leemhoudend zand,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,9.349,28.05
13.08,13.8,Vochtig Wintereiken-Beukenbos op leemhoudend zand,812,Holenbroeders,"oud bos, dode bomen",Standaard,65.395,196.18
13.09,13.9,Vochtig Wintereiken-Beukenbos met exoten op leemho,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,20.0,60.0
13.09,13.9,Vochtig Wintereiken-Beukenbos met exoten op leemho,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,4.985,14.96
13.09,13.9,Vochtig Wintereiken-Beukenbos met exoten op leemho,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,7.942,23.83
13.09,13.9,Vochtig Wintereiken-Beukenbos met exoten op leemho,812,Holenbroeders,"oud bos, dode bomen",Standaard,42.553,127.66
13.10,13.10,Eiken-Haagbeukenbos op natte lemige gronden,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,48.733,146.2
13.10,13.10,Eiken-Haagbeukenbos op natte lemige gronden,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,15.253,45.76
13.10,13.10,Eiken-Haagbeukenbos op natte lemige gronden,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,11.65,34.95
13.10,13.10,Eiken-Haagbeukenbos op natte lemige gronden,812,Holenbroeders,"oud bos, dode bomen",Standaard,71.842,215.53
13.11,13.11,Essen-Iepenbos op vochtige klei en zavel,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,46.667,140.0
13.11,13.11,Essen-Iepenbos op vochtige klei en zavel,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,5.484,16.45
13.11,13.11,Essen-Iepenbos op vochtige klei en zavel,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,7.473,22.42
13.11,13.11,Essen-Iepenbos op vochtige klei en zavel,812,Holenbroeders,"oud bos, dode bomen",Standaard,75.375,226.13
13.12,13.12,Essen-Iepenbos met exoten op vochtige  klei en zav,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,55.433,151.2
13.12,13.12,Essen-Iepenbos met exoten op vochtige  klei en zav,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,5.874,17.62
13.12,13.12,Essen-Iepenbos met exoten op vochtige  klei en zav,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,10.056,30.17
13.12,13.12,Essen-Iepenbos met exoten op vochtige  klei en zav,812,Holenbroeders,"oud bos, dode bomen",Standaard,39.402,118.21
13.13,13.13,Elzen-Wilgenbos op nat veen en klei met cultuurinv,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,62.4,187.2
13.13,13.13,Elzen-Wilgenbos op nat veen en klei met cultuurinv,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,15.495,46.48
13.13,13.13,Elzen-Wilgenbos op nat veen en klei met cultuurinv,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,13.968,41.9
13.13,13.13,Elzen-Wilgenbos op nat veen en klei met cultuurinv,812,Holenbroeders,"oud bos, dode bomen",Standaard,67.758,203.27
13.14,13.14,Essenbos met exoten op nat veen en klei met cultuu,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,50.4,151.2
13.14,13.14,Essenbos met exoten op nat veen en klei met cultuu,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,5.874,17.62
13.14,13.14,Essenbos met exoten op nat veen en klei met cultuu,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,10.056,30.17
13.14,13.14,Essenbos met exoten op nat veen en klei met cultuu,812,Holenbroeders,"oud bos, dode bomen",Standaard,39.402,118.21
13.15,13.15,Elzenbos op zeer nat veen met cultuurinvloed,611,Zwartkop-groep,"jong bos, struiklaag in bossen",Standaard,65.3,195.9
13.15,13.15,Elzenbos op zeer nat veen met cultuurinvloed,711,Bosrandstruweelvogels,bosranden en boomgroepen met struwelen,Standaard,12.972,38.92
13.15,13.15,Elzenbos op zeer nat veen met cultuurinvloed,803,Appelvink-groep,opgaand bos met loofbomen,Standaard,8.037,24.11
13.15,13.15,Elzenbos op zeer nat veen met cultuurinvloed,812,Holenbroeders,"oud bos, dode bomen",Standaard,27.073,81.22
14.01,14.1,Rietcultuur,201,Roerdomp-groep,"nat, vnl. overjarig rietland",Standaard,0.0,0.0
14.01,14.1,Rietcultuur,202,Rietzanger-groep,"zegge-riet, nat tot verlandend. Vnl. overjarig",Facultatief,0.0,0.0
14.01,14.1,Rietcultuur,203,Porseleinhoen-groep,"natte, lage vegetaties (vnl. zeggen; incl. gemaaid riet) met",Standaard,0.0,0.0
14.01,14.1,Rietcultuur,402,Wulp-groep,"open heide, al dan niet grenzend aan cultuurland",Facultatief,0.0,0.0
15.01,15.1,Weidevogelgrasland,501,Zomertaling-groep,"drassig, structuurrijk grasland. Plaatselijk open water",Standaard,3.585,10.75
15.01,15.1,Weidevogelgrasland,502,Grutto-groep,vochtig tot drassig grasland,Standaard,15.8,47.4
15.01,15.1,Weidevogelgrasland,503,Veldleeuwerik-groep,nat tot droog grasland,Standaard,12.123,36.37
15.01,15.1,Weidevogelgrasland,603,Grasmus-groep,"struwelen, opslag en zeer jong bos, bosranden met struiken",Facultatief,0.0,10.1
15.02,15.2,Wintergastenweide,0,,,,0.0,0.0
16.01,16.1,Akker,306,Kievit-groep,akkers,Standaard,0.0,0.0
16.01,16.1,Akker,603,Grasmus-groep,"struwelen, opslag en zeer jong bos, bosranden met struiken",Facultatief,0.0,5.49
16.01,16.1,Akker,702,Geelgors-groep,"open bos, bosranden, boomgroepen met kale, zandige bodem",Facultatief,0.0,16.48
17.01,17.1,Overig water,0,,,,0.0,0.0
18.01,18.1,"Houtwallen, brede singels en graften",603,Grasmus-groep,"struwelen, opslag en zeer jong bos, bosranden met struiken",Standaard,9.272,27.82
18.01,18.1,"Houtwallen, brede singels en graften",702,Geelgors-groep,"open bos, bosranden, boomgroepen met kale, zandige bodem",Standaard,3.424,10.27
18.02,18.2,Bloemdijken,603,Grasmus-groep,"struwelen, opslag en zeer jong bos, bosranden met struiken",Standaard,0.0,0.0
18.02,18.2,Bloemdijken,703,Putter-groep,"bomen en boomgroepen met struwelen, bosranden, (vrij) voedse",Facultatief,0.0,0.0
19.02,19.2,Overige korte vegetaties,0,,,,0.0,0.0
20.01,20.1,Knotwilgen en heggen,0,,,,0.0,0.0
20.02,20.2,Landschappelijke beplantingen en Overige bossen,0,,,,0.0,0.0
20.03,20.3,Dijken,0,,,,0.0,0.0
20.04,20.4,Demonstratie kooien,0,,,,0.0,0.0
20.05,20.5,Rustende eendekooien,0,,,,0.0,0.0
20.06,20.6,Forten,0,,,,0.0,0.0
20.08,20.8,Historische tuinen,0,,,,0.0,0.0
20.09,20.9,Lanen en singels,0,,,,0.0,0.0
20.10,20.10,Hoogstamboomgaarden,0,,,,0.0,0.0
99.01,99.1,Erven en ondergrond van gebouwen in eigen beheer,0,,,,0.0,0.0
99.02,99.2,Ondergrond hunebed e.d.,0,,,,0.0,0.0
99.03,99.3,"Wegen, paden, parkeerterreinen",0,,,,0.0,0.0
99.04,99.4,Recreatieweide,0,,,,0.0,0.0
99.05,99.5,Zandwinputten,0,,,,0.0,0.0
99.06,99.6,Vuilstorten en vervuilde gronden,0,,,,0.0,0.0
99.07,99.7,In erfpacht gegeven aan Natuurmonumenten,0,,,,0.0,0.0
99.08,99.8,In erfpacht gegeven aan Prov. Landschappen,0,,,,0.0,0.0
99.09,99.9,In erfpacht gegeven aan Recreatieschappen,0,,,,0.0,0.0
99.10,99.10,Beheer uitbesteed aan SBNL,0,,,,0.0,0.0
99.11,99.11,Beheer uitbesteed aan andere overheden,0,,,,0.0,0.0
