LANDSCHAP,LAND,ECOCODE,DISTRICT,PERIODE,EURING,MEDIAAN,MAX_DICHT,PRESENTIE
1130, NL,, 1,1990,18770,4,71.0,73
1140, NL,, 1,1990, 1730,5,9.7,86
1140, NL,, 1,1990, 1820,1,1.9,20
1140, NL,, 1,1990, 1860,6,17.4,100
1140, NL,, 1,1990, 1940,1,1.9,26
1140, NL,, 1,1990, 2060,3,7.5,66
1140, NL,, 1,1990, 3940,1,2.2,26
1140, NL,, 1,1990, 4500,10,206.9,100
1140, NL,, 1,1990, 4560,9,168.1,73
1140, NL,, 1,1990, 4930,3,1.4,66
1140, NL,, 1,1990, 5320,2,1.9,46
1140, NL,, 1,1990, 5460,8,84.0,100
1140, NL,, 1,1990, 5820,11,1600.0,80
1140, NL,, 1,1990, 5920,3,2.8,66
1140, NL,, 1,1990, 6150,7,32.6,73
1140, NL,, 1,1990, 6160,1,2.8,33
1140, NL,, 1,1990, 9760,4,11.1,80
1140, NL,, 1,1990,10110,7,39.1,100
1140, NL,, 1,1990,10171,3,3.8,66
1140, NL,, 1,1990,16600,1,2.2,26
1140, NL,, 1,1990,18770,5,12.3,73
1200, NL,,,1990, 1220,1,0.4,33
1200, NL,,,1990, 1520,1,0.4,33
1200, NL,,,1990, 1610,4,3.7,50
1200, NL,,,1990, 1700,1,0.4,33
1200, NL,,,1990, 1820,4,2.4,100
1200, NL,,,1990, 1860,8,36.6,100
1200, NL,,,1990, 1910,3,1.6,83
1200, NL,,,1990, 1940,6,8.1,100
1200, NL,,,1990, 2030,4,3.3,66
1200, NL,,,1990, 2600,4,2.4,66
1200, NL,,,1990, 4500,5,5.7,66
1200, NL,,,1990, 4930,7,27.3,66
1200, NL,,,1990, 5320,5,7.3,50
1200, NL,,,1990, 5460,5,6.1,50
1200, NL,,,1990, 6680,1,0.4,50
1200, NL,,,1990, 6700,6,10.2,83
1200, NL,,,1990, 7240,4,2.4,83
1200, NL,,,1990, 7670,1,0.4,83
1200, NL,,,1990, 7680,1,0.4,33
1200, NL,,,1990, 9760,5,4.1,83
1200, NL,,,1990,10110,5,7.3,83
1200, NL,,,1990,10171,5,5.7,83
1200, NL,,,1990,10201,3,1.6,83
1200, NL,,,1990,10660,7,17.9,83
1200, NL,,,1990,10840,6,9.4,50
