GROEP,GROEP_NAAM,EURING,NEDERLANDS,VEELEISEND
400,Vogels van open heide,9760,Veldleeuwerik,1
400,Vogels van open heide,7680,Velduil,3
400,Vogels van open heide,5190,Watersnip,3
400,Vogels van open heide,5410,Wulp,2
500,Weidevogels,5780,Dwergmeeuw,3
500,Weidevogels,10171,Gele Kwikstaart,3
500,Weidevogels,10110,Graspieper,1
500,Weidevogels,18820,Grauwe Gors,3
500,Weidevogels,5320,Grutto,2
500,Weidevogels,5170,Kemphaan,3
500,Weidevogels,4930,Kievit,2
500,Weidevogels,1820,Krakeend,2
500,Weidevogels,3700,Kwartel,2
500,Weidevogels,4210,Kwartelkoning,4
500,Weidevogels,1340,Ooievaar,3
500,Weidevogels,11370,Paapje,3
500,Weidevogels,3670,Patrijs,2
500,Weidevogels,1240,Purperreiger,3
500,Weidevogels,4500,Scholekster,1
500,Weidevogels,1940,Slobeend,2
500,Weidevogels,5460,Tureluur,2
500,Weidevogels,9760,Veldleeuwerik,1
500,Weidevogels,7680,Velduil,3
500,Weidevogels,6150,Visdief,2
500,Weidevogels,5190,Watersnip,3
500,Weidevogels,1860,Wilde Eend,1
500,Weidevogels,1840,Wintertaling,2
500,Weidevogels,5410,Wulp,2
500,Weidevogels,1910,Zomertaling,3
500,Weidevogels,6270,Zwarte Stern,3
600,Struweelvogels,11060,Blauwborst,2
600,Struweelvogels,12500,Bosrietzanger,2
600,Struweelvogels,12740,Braamsluiper,2
600,Struweelvogels,3940,Fazant,1
600,Struweelvogels,13120,Fitis,1
600,Struweelvogels,17100,Goudvink,2
600,Struweelvogels,12750,Grasmus,2
600,Struweelvogels,15150,Grauwe Klauwier,3
600,Struweelvogels,10840,Heggenmus,1
600,Struweelvogels,16600,Kneu,2
600,Struweelvogels,12370,Krekelzanger,2
600,Struweelvogels,14420,Matkop,1
600,Struweelvogels,11870,Merel,1
600,Struweelvogels,11040,Nachtegaal,2
600,Struweelvogels,12600,Orpheusspotvogel,2
600,Struweelvogels,11370,Paapje,3
600,Struweelvogels,18770,Rietgors,1
600,Struweelvogels,10990,Roodborst,1
600,Struweelvogels,11390,Roodborsttapuit,2
600,Struweelvogels,12590,Spotvogel,2
600,Struweelvogels,12360,Sprinkhaanzanger,2
600,Struweelvogels,14370,Staartmees,1
600,Struweelvogels,12760,Tuinfluiter,1
600,Struweelvogels,10660,Winterkoning,1
600,Struweelvogels,12000,Zanglijster,2
600,Struweelvogels,6870,Zomertortel (Tortelduif),2
600,Struweelvogels,12770,Zwartkop,1
700,Bosrandvogels,16630,Barmsijs,2
700,Bosrandvogels,9740,Boomleeuwerik,2
700,Bosrandvogels,10090,Boompieper,1
700,Bosrandvogels,14900,Buidelmees,2
700,Bosrandvogels,12200,Cetti's Zanger,2
700,Bosrandvogels,8480,Draaihals,3
700,Bosrandvogels,15490,Ekster,1
700,Bosrandvogels,16400,Europese Kanarie,2
700,Bosrandvogels,18570,Geelgors,2
700,Bosrandvogels,11220,Gekraagde Roodstaart,2
700,Bosrandvogels,8560,Groene Specht,2
700,Bosrandvogels,16490,Groenling,2
700,Bosrandvogels,8460,Hop,5
700,Bosrandvogels,15200,Klapekster,3
700,Bosrandvogels,11980,Kramsvogel,2
700,Bosrandvogels,7780,Nachtzwaluw,3
700,Bosrandvogels,18660,Ortolaan,4
700,Bosrandvogels,16530,Putter,2
700,Bosrandvogels,15230,Roodkopklauwier,5
700,Bosrandvogels,16790,Roodmus,3
700,Bosrandvogels,8410,Scharrelaar,5
700,Bosrandvogels,15671,Zwarte Kraai,1
800,Bosvogels,17170,Appelvink,2
800,Bosvogels,13070,Bergfluiter,2
800,Bosvogels,14790,Boomklever,2
800,Bosvogels,14870,Boomkruiper,2
800,Bosvogels,7610,Bosuil,2
800,Bosvogels,2870,Buizerd,2
800,Bosvogels,13080,Fluiter,2
800,Bosvogels,15390,Gaai,1
800,Bosvogels,11220,Gekraagde Roodstaart,2
800,Bosvogels,14400,Glanskop,2
800,Bosvogels,13140,Goudhaan,1
800,Bosvogels,13350,Grauwe Vliegenvanger,2
800,Bosvogels,8560,Groene Specht,2
800,Bosvogels,8760,Grote Bonte Specht,2
800,Bosvogels,16680,Grote Kruisbek,2
800,Bosvogels,12020,Grote Lijster,2
800,Bosvogels,2670,Havik,2
800,Bosvogels,6680,Holenduif,2
800,Bosvogels,6700,Houtduif,1
800,Bosvogels,5290,Houtsnip,2
800,Bosvogels,15600,Kauw,2
800,Bosvogels,16380,Keep,2
800,Bosvogels,8870,Kleine Bonte Specht,3
800,Bosvogels,13430,Kleine Vliegenvanger,3
