LANDSCHAP,EURING,CODE
1120,11040,2
1120,11060,2
1120,11210,1
1120,11220,2
1120,11370,3
1120,11390,2
1120,11460,2
1120,11860,2
1120,11870,1
1120,11980,2
1120,12000,2
1120,12020,2
1120,12200,2
1120,12260,2
1120,12360,2
1120,12370,2
1120,12380,2
1120,12420,5
1120,12430,1
1120,12500,1
1120,12510,1
1120,12530,3
1120,12590,2
1120,12600,2
1120,12740,2
1120,12750,2
1120,12760,1
1120,12770,1
1120,13070,2
1120,13080,2
1120,13110,1
1120,13120,1
1120,13140,1
1120,13150,2
1120,13350,2
1120,13430,3
1120,13490,2
1120,13640,3
1120,14370,1
1120,14400,2
1120,14420,1
1120,14540,1
1120,14610,1
1120,14620,1
1120,14640,1
1120,14790,2
1120,14860,2
1120,14870,2
1120,14900,2
1120,15080,2
1120,15150,3
1120,15200,3
1120,15230,5
1120,15390,1
1120,15490,1
1120,15600,2
1120,15630,2
1120,15671,1
1120,15673,1
1120,15720,2
1120,15820,1
1120,15910,1
1120,15980,1
1120,16360,1
1120,16380,1
1120,16400,2
1120,16490,2
1120,16530,2
1120,16540,1
1120,16600,2
1120,16630,2
1120,16660,2
1120,16680,2
1120,16790,2
1120,17100,2
1120,17170,2
1120,18570,2
1120,18660,4
1120,18770,1
1120,18820,4
1130,   70,2
1130,   90,1
1130,  100,2
1130,  120,3
1130,  720,2
1130,  950,3
1130,  980,4
1130, 1040,4
1130, 1190,2
1130, 1210,4
1130, 1220,2
1130, 1240,3
1130, 1310,5
1130, 1340,3
1130, 1440,3
1130, 1520,1
1130, 1590,2
1130, 1610,2
1130, 1620,1
1130, 1660,1
1130, 1670,2
1130, 1700,1
1130, 1710,2
1130, 1730,1
1130, 1780,2
1130, 1790,3
1130, 1820,2
1130, 1840,2
1130, 1860,1
1130, 1890,3
1130, 1910,3
1130, 1940,2
1130, 1960,4
1130, 1980,2
1130, 2030,1
1130, 2060,2
1130, 2180,2
1130, 2210,2
1130, 2250,1
1130, 2310,3
1130, 2380,2
1130, 2390,3
1130, 2430,5
1130, 2600,3
1130, 2610,3
1130, 2630,4
1130, 2670,2
1130, 2690,2
1130, 2870,2
1130, 3010,5
1130, 3040,2
1130, 3100,2
1130, 3200,3
1130, 3320,4
1130, 3580,2
1130, 3670,3
1130, 3700,2
1130, 3940,1
1130, 4070,2
1130, 4080,2
1130, 4100,3
1130, 4110,3
1130, 4210,3
1130, 4240,1
1130, 4290,1
1130, 4330,5
1130, 4500,1
1130, 4560,2
1130, 4590,5
1130, 4690,2
1130, 4700,2
1130, 4770,3
1130, 4820,2
1130, 4850,5
1130, 4930,2
1130, 5120,5
1130, 5170,4
1130, 5190,3
1130, 5200,5
1130, 5290,2
1130, 5320,2
1130, 5410,2
1130, 5460,2
1130, 5530,5
1130, 5540,5
1130, 5560,2
1130, 5750,2
1130, 5780,3
1130, 5820,1
1130, 5900,2
1130, 5910,2
1130, 5920,2
1130, 5927,2
1130, 6000,2
1130, 6050,5
1130, 6110,3
1130, 6150,2
1130, 6160,2
1130, 6240,3
1130, 6260,5
1130, 6270,3
1130, 6680,2
1130, 6700,1
1130, 6840,1
1130, 6870,2
1130, 7120,2
1130, 7240,1
1130, 7350,3
1130, 7440,3
1130, 7570,2
1130, 7610,2
1130, 7670,2
1130, 7680,3
1130, 7700,2
1130, 7780,3
1130, 7950,2
1130, 8310,3
1130, 8400,4
1130, 8410,5
1130, 8460,5
1130, 8480,3
1130, 8560,2
1130, 8630,2
1130, 8760,2
1130, 8830,5
1130, 8870,3
1130, 9720,3
1130, 9740,2
1130, 9760,1
1130, 9810,2
1130, 9920,1
1130,10010,2
1130,10050,3
1130,10090,1
1130,10110,1
1130,10171,2
1130,10190,3
1130,10201,1
1130,10500,5
1130,10660,1
1130,10840,1
1130,10990,1
1130,11030,2
1130,11040,2
1130,11060,2
1130,11210,1
1130,11220,2
1130,11370,3
1130,11390,2
1130,11460,2
1130,11860,2
1130,11870,1
1130,11980,2
1130,12000,2
